,ID,Tweet,Sentiment,predictions
0,260097528899452929,won the match plus tomorrow is a very busy day with awareness days and debates gulp debates,1,2
9,263790847424880641,snc halloween pr pumped lets work it for sundaypackers vswho knows or caresn,2,0
12,264091690632105984,going to a bulls game with aaliyah hope next thursday,1,2
16,264249030572392448,oh cause my friend got something from china and they said it will take at least 6 to 8 weeks and it came in the 2nd week p,1,0
18,264255668180090880,chris bosh may be ugly but he has a gorgeous wife and adorbs baby i want to be happy like them one,2,0
19,263972796454027265,is this one of your little jokes like elvis playing at the marquee next tuesday,0,1
21,264222689177264128,gold edges down ahead of us jobs data singapore reuters gold edged lower on friday with investors waiting for,0,2
23,264030775568109568,lana del rey at hammersmith apollo in may very badly want tickets,2,0
24,251535900759175169,shaw wouldnt let luck throw late in the fiesta bowl but hes fine with nunes throwing a fade route on 4th and 4 w 150 left,1,0
25,264247453551833088,monday before i leave singapore i am going to post something that might be offensive,0,1
26,264205556212957184,abc has and the country music awards they may still have a little credibility come wednesday,2,1
27,264238968747487232,here in the philippines its november 2 and i was like wheres my phone what is the time in london,2,1
30,264148090074849280,wont get emojis till tomorrow beeeotch when is your grandma going back to brazil i wanna see your fam before they leave,1,0
31,259176690578771968,lovecheat daniel radcliffe splits with girlfriend rosie coker london oct 19 daniel radcliffe has split wit,0,1
33,262664195248623616,patriots extend lead cruise into 4th with 387 lead pats pulpit the patriots extended their lead in the 3rd,2,1
34,263950623299469312,yeah i think so we saw suarez score up near us and we played pretty well 2nd half so it wasnt so bad probably shouldve had et,2,0
35,264224174153818113,i may exit off twitter and fb and thug with instagram btw its blondeinsta,1,0
38,263153174498643968,pretty little liars was the shit i cant wait til tomorrow i wanna see who all innocent who got something to do with allison dying,2,0
44,263764134603153409,cardinal men take 4th in cypress point tournament a good host never outshines their guests but the stanford me,0,1
47,260242911575281664,so friday at onyx there was a bachelor party the best man tells the bachelor you getting married tomorrow the bachelor says,1,2
56,263683449771130881,tom brady wins afc offensive player of the week for 22nd time via,2,1
63,263964366225948672,free to watch justified justified follows marshal raylan givens a modern day 19th centurystyle lawman w,2,1
66,264145535190052865,well i went maths on mon tues wed but cba now youu nopee just town today and thats itt x,1,0
68,263944763470913536,come see the david bowie tribute show im in king king hwood nov 4 5 my bday 6 singersdancers 6 pc band killin,2,1
70,256143206696251392,but i wanna wear my concords tomorrow though but i dont feel like it,1,0
72,263439915025567744,heey do you know anything about uvas fallll fest loll they invited me so im going this sat but i really dont know what it is loll,1,0
74,262784216729796608,up 20 points in my money league with vernon davis and l fitz still to go tomorrow thats what i like to see,2,0
78,256470013043675137,lol yep looks like it was after el clasico on sunday i didnt like her lol and this doesnt look serious so im cool lol,1,0
80,264121585538060288,back in stoke on trent for the 2nd time today,1,2
83,264171267635163136,slide thru sometime this weekend ill have somethin yu can sip on lol gotta make a abc run tomorrow anyway,1,2
85,253740684677378048,sure absolutely i meant out of the bachmann perry santorum herman cain bunch this election and romney was not my 1st choice,0,2
86,264134402815180800,re levein discussion on wed cant keep changing boss but he is far too negative brazil gone new boss cud experiment,0,1
87,264118859366289408,today in history november 02 1958 elvis gave a party at his hotel before going out on maneuvers he sang and,1,2
88,263641145890963457,hustle cause you got to then kick back n party everyday like its fri,2,0
96,264245061900959744,its that you can listen to the deluxe version of tmh on itunes 9pm gmt on nov 5th monday,2,1
102,264190645273493505,thursday night is reserved for comedys on nbc fx and tonight nfl network,2,1
105,263276487526993920,its going down in this saturday geaux tigers,2,1
