Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes
"Wed, Apr 1, 2015",7:00p,Detroit Pistons,78,Charlotte Hornets,102,Box Score,,15372,
"Wed, Apr 1, 2015",7:00p,San Antonio Spurs,103,Orlando Magic,91,Box Score,,17229,
"Wed, Apr 1, 2015",7:00p,Philadelphia 76ers,93,Washington Wizards,106,Box Score,,17501,
"Wed, Apr 1, 2015",7:30p,Indiana Pacers,87,Boston Celtics,100,Box Score,,18624,
"Wed, Apr 1, 2015",7:30p,Brooklyn Nets,100,New York Knicks,98,Box Score,,19812,
"Wed, Apr 1, 2015",8:00p,Sacramento Kings,111,Houston Rockets,115,Box Score,,18312,
"Wed, Apr 1, 2015",8:00p,Chicago Bulls,91,Milwaukee Bucks,95,Box Score,,15215,
"Wed, Apr 1, 2015",8:00p,Toronto Raptors,113,Minnesota Timberwolves,99,Box Score,,12699,
"Wed, Apr 1, 2015",8:00p,Dallas Mavericks,135,Oklahoma City Thunder,131,Box Score,,18203,
"Wed, Apr 1, 2015",9:00p,Denver Nuggets,84,Utah Jazz,98,Box Score,,18275,
"Wed, Apr 1, 2015",10:00p,Los Angeles Clippers,126,Portland Trail Blazers,122,Box Score,,19639,
"Wed, Apr 1, 2015",10:30p,New Orleans Pelicans,113,Los Angeles Lakers,92,Box Score,,17165,
"Thu, Apr 2, 2015",8:00p,Miami Heat,88,Cleveland Cavaliers,114,Box Score,,20562,
"Thu, Apr 2, 2015",8:30p,Houston Rockets,108,Dallas Mavericks,101,Box Score,,20062,
"Thu, Apr 2, 2015",10:30p,Phoenix Suns,106,Golden State Warriors,107,Box Score,,19596,
"Fri, Apr 3, 2015",7:00p,Charlotte Hornets,74,Indiana Pacers,93,Box Score,,18165,
"Fri, Apr 3, 2015",7:00p,New York Knicks,87,Washington Wizards,101,Box Score,,19389,
"Fri, Apr 3, 2015",7:30p,Milwaukee Bucks,110,Boston Celtics,101,Box Score,,18624,
"Fri, Apr 3, 2015",7:30p,Toronto Raptors,109,Brooklyn Nets,114,Box Score,,17732,
"Fri, Apr 3, 2015",8:00p,Detroit Pistons,82,Chicago Bulls,88,Box Score,,22058,
"Fri, Apr 3, 2015",8:00p,Oklahoma City Thunder,92,Memphis Grizzlies,100,Box Score,,18119,
"Fri, Apr 3, 2015",8:00p,Orlando Magic,97,Minnesota Timberwolves,84,Box Score,,18334,
"Fri, Apr 3, 2015",8:30p,Denver Nuggets,93,San Antonio Spurs,123,Box Score,,18581,
"Fri, Apr 3, 2015",10:00p,New Orleans Pelicans,101,Sacramento Kings,95,Box Score,,17021,
"Fri, Apr 3, 2015",10:30p,Portland Trail Blazers,107,Los Angeles Lakers,77,Box Score,,18997,
"Sat, Apr 4, 2015",7:00p,Philadelphia 76ers,91,Charlotte Hornets,92,Box Score,,17286,
"Sat, Apr 4, 2015",7:30p,Brooklyn Nets,99,Atlanta Hawks,131,Box Score,,18769,
"Sat, Apr 4, 2015",7:30p,Miami Heat,98,Detroit Pistons,99,Box Score,,16133,
"Sat, Apr 4, 2015",7:30p,Boston Celtics,117,Toronto Raptors,116,Box Score,OT,19800,
"Sat, Apr 4, 2015",8:00p,Washington Wizards,92,Memphis Grizzlies,83,Box Score,,18119,
"Sat, Apr 4, 2015",8:30p,Golden State Warriors,123,Dallas Mavericks,110,Box Score,,20407,
"Sat, Apr 4, 2015",8:30p,Orlando Magic,97,Milwaukee Bucks,90,Box Score,,14090,
"Sat, Apr 4, 2015",9:00p,Los Angeles Clippers,107,Denver Nuggets,92,Box Score,,15566,
"Sat, Apr 4, 2015",10:00p,Utah Jazz,85,Phoenix Suns,87,Box Score,,18055,
"Sat, Apr 4, 2015",10:00p,New Orleans Pelicans,90,Portland Trail Blazers,99,Box Score,,19781,
"Sun, Apr 5, 2015",1:00p,Houston Rockets,115,Oklahoma City Thunder,112,Box Score,,18203,
"Sun, Apr 5, 2015",3:30p,Chicago Bulls,94,Cleveland Cavaliers,99,Box Score,,20562,
"Sun, Apr 5, 2015",6:00p,Miami Heat,89,Indiana Pacers,112,Box Score,,18165,
"Sun, Apr 5, 2015",7:00p,Golden State Warriors,92,San Antonio Spurs,107,Box Score,,18581,
"Sun, Apr 5, 2015",7:30p,Philadelphia 76ers,91,New York Knicks,101,Box Score,,19812,
"Sun, Apr 5, 2015",9:00p,Utah Jazz,101,Sacramento Kings,95,Box Score,,16716,
"Sun, Apr 5, 2015",9:30p,Los Angeles Clippers,106,Los Angeles Lakers,78,Box Score,,18997,
"Mon, Apr 6, 2015",7:00p,Portland Trail Blazers,96,Brooklyn Nets,106,Box Score,,17416,
"Tue, Apr 7, 2015",7:30p,Phoenix Suns,69,Atlanta Hawks,96,Box Score,,18650,
"Tue, Apr 7, 2015",7:30p,Charlotte Hornets,100,Miami Heat,105,Box Score,,19694,
"Tue, Apr 7, 2015",8:00p,Golden State Warriors,100,New Orleans Pelicans,103,Box Score,,18097,
"Tue, Apr 7, 2015",8:00p,San Antonio Spurs,113,Oklahoma City Thunder,88,Box Score,,18203,
"Tue, Apr 7, 2015",10:00p,Minnesota Timberwolves,111,Sacramento Kings,116,Box Score,,16770,
"Tue, Apr 7, 2015",10:30p,Los Angeles Lakers,100,Los Angeles Clippers,105,Box Score,,19438,
"Wed, Apr 8, 2015",7:00p,Toronto Raptors,92,Charlotte Hornets,74,Box Score,,15593,
"Wed, Apr 8, 2015",7:00p,Boston Celtics,113,Detroit Pistons,103,Box Score,,14284,
"Wed, Apr 8, 2015",7:00p,Chicago Bulls,103,Orlando Magic,105,Box Score,,18249,
"Wed, Apr 8, 2015",7:00p,Washington Wizards,119,Philadelphia 76ers,90,Box Score,,12611,
"Wed, Apr 8, 2015",7:30p,Atlanta Hawks,114,Brooklyn Nets,111,Box Score,,17732,
"Wed, Apr 8, 2015",7:30p,Indiana Pacers,102,New York Knicks,86,Box Score,,19812,
"Wed, Apr 8, 2015",8:00p,New Orleans Pelicans,74,Memphis Grizzlies,110,Box Score,,17518,
"Wed, Apr 8, 2015",8:00p,Cleveland Cavaliers,104,Milwaukee Bucks,99,Box Score,,14629,
"Wed, Apr 8, 2015",8:30p,Houston Rockets,98,San Antonio Spurs,110,Box Score,,18581,
"Wed, Apr 8, 2015",9:00p,Los Angeles Lakers,101,Denver Nuggets,119,Box Score,,13338,
"Wed, Apr 8, 2015",9:00p,Sacramento Kings,91,Utah Jazz,103,Box Score,,18351,
"Wed, Apr 8, 2015",9:30p,Phoenix Suns,104,Dallas Mavericks,107,Box Score,,20262,
"Wed, Apr 8, 2015",10:00p,Minnesota Timberwolves,91,Portland Trail Blazers,116,Box Score,,19499,
"Thu, Apr 9, 2015",8:00p,Chicago Bulls,89,Miami Heat,78,Box Score,,19641,
"Thu, Apr 9, 2015",10:30p,Portland Trail Blazers,105,Golden State Warriors,116,Box Score,,19596,
"Fri, Apr 10, 2015",7:00p,Toronto Raptors,101,Orlando Magic,99,Box Score,,16227,
"Fri, Apr 10, 2015",7:30p,Charlotte Hornets,80,Atlanta Hawks,104,Box Score,,18462,
"Fri, Apr 10, 2015",7:30p,Washington Wizards,80,Brooklyn Nets,117,Box Score,,17732,
"Fri, Apr 10, 2015",7:30p,Boston Celtics,99,Cleveland Cavaliers,90,Box Score,,20562,
"Fri, Apr 10, 2015",7:30p,Indiana Pacers,107,Detroit Pistons,103,Box Score,,18561,
"Fri, Apr 10, 2015",7:30p,Milwaukee Bucks,99,New York Knicks,91,Box Score,,19812,
