Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes
"Thu, Jan 1, 2015",8:00p,Denver Nuggets,101,Chicago Bulls,106,Box Score,,21794,
"Thu, Jan 1, 2015",8:00p,Sacramento Kings,110,Minnesota Timberwolves,107,Box Score,,13337,
"Fri, Jan 2, 2015",7:00p,Cleveland Cavaliers,91,Charlotte Hornets,87,Box Score,,19307,
"Fri, Jan 2, 2015",7:00p,Brooklyn Nets,100,Orlando Magic,98,Box Score,,17008,
"Fri, Jan 2, 2015",7:30p,Dallas Mavericks,119,Boston Celtics,101,Box Score,,18624,
"Fri, Jan 2, 2015",7:30p,Detroit Pistons,97,New York Knicks,81,Box Score,,19812,
"Fri, Jan 2, 2015",8:00p,Houston Rockets,83,New Orleans Pelicans,111,Box Score,,17705,
"Fri, Jan 2, 2015",8:00p,Washington Wizards,102,Oklahoma City Thunder,109,Box Score,,18203,
"Fri, Jan 2, 2015",8:30p,Indiana Pacers,94,Milwaukee Bucks,91,Box Score,,16238,
"Fri, Jan 2, 2015",9:00p,Philadelphia 76ers,96,Phoenix Suns,112,Box Score,,16514,
"Fri, Jan 2, 2015",9:00p,Atlanta Hawks,98,Utah Jazz,92,Box Score,,19029,
"Fri, Jan 2, 2015",10:30p,Toronto Raptors,105,Golden State Warriors,126,Box Score,,19596,
"Fri, Jan 2, 2015",10:30p,Memphis Grizzlies,109,Los Angeles Lakers,106,Box Score,,18997,
"Sat, Jan 3, 2015",7:00p,Charlotte Hornets,98,Orlando Magic,90,Box Score,,15274,
"Sat, Jan 3, 2015",8:00p,Boston Celtics,104,Chicago Bulls,109,Box Score,OT,21820,
"Sat, Jan 3, 2015",8:00p,Miami Heat,79,Houston Rockets,115,Box Score,,18338,
"Sat, Jan 3, 2015",8:00p,Utah Jazz,101,Minnesota Timberwolves,89,Box Score,,13702,
"Sat, Jan 3, 2015",8:30p,Washington Wizards,92,San Antonio Spurs,101,Box Score,,18581,
"Sat, Jan 3, 2015",9:00p,Memphis Grizzlies,85,Denver Nuggets,114,Box Score,,16350,
"Sat, Jan 3, 2015",10:00p,Atlanta Hawks,115,Portland Trail Blazers,107,Box Score,,19829,
"Sat, Jan 3, 2015",10:30p,Philadelphia 76ers,91,Los Angeles Clippers,127,Box Score,,19060,
"Sun, Jan 4, 2015",1:00p,Dallas Mavericks,109,Cleveland Cavaliers,90,Box Score,,20562,
"Sun, Jan 4, 2015",6:00p,Sacramento Kings,95,Detroit Pistons,114,Box Score,,12254,
"Sun, Jan 4, 2015",6:00p,Brooklyn Nets,84,Miami Heat,88,Box Score,,20181,
"Sun, Jan 4, 2015",7:30p,Milwaukee Bucks,95,New York Knicks,82,Box Score,,19812,
"Sun, Jan 4, 2015",8:00p,Toronto Raptors,109,Phoenix Suns,125,Box Score,,17166,
"Sun, Jan 4, 2015",9:30p,Indiana Pacers,87,Los Angeles Lakers,88,Box Score,,18997,
"Mon, Jan 5, 2015",7:00p,Cleveland Cavaliers,92,Philadelphia 76ers,95,Box Score,,17771,
"Mon, Jan 5, 2015",7:30p,Charlotte Hornets,104,Boston Celtics,95,Box Score,,16720,
"Mon, Jan 5, 2015",7:30p,Dallas Mavericks,96,Brooklyn Nets,88,Box Score,OT,17732,
"Mon, Jan 5, 2015",8:00p,Houston Rockets,105,Chicago Bulls,114,Box Score,,21510,
"Mon, Jan 5, 2015",8:00p,New York Knicks,83,Memphis Grizzlies,105,Box Score,,16888,
"Mon, Jan 5, 2015",8:00p,Denver Nuggets,110,Minnesota Timberwolves,101,Box Score,,10386,
"Mon, Jan 5, 2015",8:00p,Washington Wizards,92,New Orleans Pelicans,85,Box Score,,16182,
"Mon, Jan 5, 2015",9:00p,Indiana Pacers,105,Utah Jazz,101,Box Score,,17378,
"Mon, Jan 5, 2015",10:00p,Los Angeles Lakers,94,Portland Trail Blazers,98,Box Score,,19827,
"Mon, Jan 5, 2015",10:30p,Oklahoma City Thunder,91,Golden State Warriors,117,Box Score,,19596,
"Mon, Jan 5, 2015",10:30p,Atlanta Hawks,107,Los Angeles Clippers,98,Box Score,,19060,
"Tue, Jan 6, 2015",8:00p,Phoenix Suns,102,Milwaukee Bucks,96,Box Score,,12311,
"Tue, Jan 6, 2015",8:30p,Detroit Pistons,105,San Antonio Spurs,104,Box Score,,18581,
"Wed, Jan 7, 2015",7:00p,New Orleans Pelicans,94,Charlotte Hornets,98,Box Score,,15171,
"Wed, Jan 7, 2015",7:00p,Houston Rockets,105,Cleveland Cavaliers,93,Box Score,,20562,
"Wed, Jan 7, 2015",7:00p,Milwaukee Bucks,97,Philadelphia 76ers,77,Box Score,,10288,
"Wed, Jan 7, 2015",7:00p,New York Knicks,91,Washington Wizards,101,Box Score,,16902,
"Wed, Jan 7, 2015",7:30p,Memphis Grizzlies,86,Atlanta Hawks,96,Box Score,,17126,
