Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes
"Fri, May 1, 2015",8:00p,Atlanta Hawks,111,Brooklyn Nets,87,Box Score,,17732,
"Sat, May 2, 2015",8:00p,San Antonio Spurs,109,Los Angeles Clippers,111,Box Score,,19588,
"Sun, May 3, 2015",1:00p,Washington Wizards,104,Atlanta Hawks,98,Box Score,,18148,
"Sun, May 3, 2015",3:30p,Memphis Grizzlies,86,Golden State Warriors,101,Box Score,,19596,
"Mon, May 4, 2015",7:00p,Chicago Bulls,99,Cleveland Cavaliers,92,Box Score,,20562,
"Mon, May 4, 2015",9:30p,Los Angeles Clippers,117,Houston Rockets,101,Box Score,,18231,
"Tue, May 5, 2015",8:00p,Washington Wizards,90,Atlanta Hawks,106,Box Score,,18131,
"Tue, May 5, 2015",10:30p,Memphis Grizzlies,97,Golden State Warriors,90,Box Score,,19596,
"Wed, May 6, 2015",7:00p,Chicago Bulls,91,Cleveland Cavaliers,106,Box Score,,20562,
"Wed, May 6, 2015",9:30p,Los Angeles Clippers,109,Houston Rockets,115,Box Score,,18310,
"Fri, May 8, 2015",8:00p,Cleveland Cavaliers,96,Chicago Bulls,99,Box Score,,22246,
"Fri, May 8, 2015",10:30p,Houston Rockets,99,Los Angeles Clippers,124,Box Score,,19367,
"Sat, May 9, 2015",5:00p,Atlanta Hawks,101,Washington Wizards,103,Box Score,,20356,
"Sat, May 9, 2015",8:00p,Golden State Warriors,89,Memphis Grizzlies,99,Box Score,,18119,
"Sun, May 10, 2015",3:30p,Cleveland Cavaliers,86,Chicago Bulls,84,Box Score,,22256,
"Sun, May 10, 2015",8:30p,Houston Rockets,95,Los Angeles Clippers,128,Box Score,,19490,
"Mon, May 11, 2015",7:00p,Atlanta Hawks,106,Washington Wizards,101,Box Score,,20356,
"Mon, May 11, 2015",9:30p,Golden State Warriors,101,Memphis Grizzlies,84,Box Score,,18119,
"Tue, May 12, 2015",7:00p,Chicago Bulls,101,Cleveland Cavaliers,106,Box Score,,20562,
"Tue, May 12, 2015",9:30p,Los Angeles Clippers,103,Houston Rockets,124,Box Score,,18142,
"Wed, May 13, 2015",8:00p,Washington Wizards,81,Atlanta Hawks,82,Box Score,,18854,
"Wed, May 13, 2015",10:30p,Memphis Grizzlies,78,Golden State Warriors,98,Box Score,,19596,
"Thu, May 14, 2015",8:00p,Cleveland Cavaliers,94,Chicago Bulls,73,Box Score,,22695,
"Thu, May 14, 2015",10:30p,Houston Rockets,119,Los Angeles Clippers,107,Box Score,,19417,
"Fri, May 15, 2015",7:00p,Atlanta Hawks,94,Washington Wizards,91,Box Score,,20356,
"Fri, May 15, 2015",9:30p,Golden State Warriors,108,Memphis Grizzlies,95,Box Score,,18119,
"Sun, May 17, 2015",3:30p,Los Angeles Clippers,100,Houston Rockets,113,Box Score,,18463,
"Tue, May 19, 2015",9:00p,Houston Rockets,106,Golden State Warriors,110,Box Score,,19596,
"Wed, May 20, 2015",8:30p,Cleveland Cavaliers,97,Atlanta Hawks,89,Box Score,,18489,
"Thu, May 21, 2015",9:00p,Houston Rockets,98,Golden State Warriors,99,Box Score,,19596,
"Fri, May 22, 2015",8:30p,Cleveland Cavaliers,94,Atlanta Hawks,82,Box Score,,18670,
"Sat, May 23, 2015",9:00p,Golden State Warriors,115,Houston Rockets,80,Box Score,,18282,
"Sun, May 24, 2015",8:30p,Atlanta Hawks,111,Cleveland Cavaliers,114,Box Score,OT,20562,
"Mon, May 25, 2015",9:00p,Golden State Warriors,115,Houston Rockets,128,Box Score,,18239,
"Tue, May 26, 2015",8:30p,Atlanta Hawks,88,Cleveland Cavaliers,118,Box Score,,20562,
"Wed, May 27, 2015",9:00p,Houston Rockets,90,Golden State Warriors,104,Box Score,,19596,
