Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes
"Sat, Nov 1, 2014",7:00p,Memphis Grizzlies,71,Charlotte Hornets,69,Box Score,,18133,
"Sat, Nov 1, 2014",7:00p,Dallas Mavericks,109,New Orleans Pelicans,104,Box Score,,14547,
"Sat, Nov 1, 2014",7:00p,Toronto Raptors,108,Orlando Magic,95,Box Score,,16141,
"Sat, Nov 1, 2014",7:00p,Miami Heat,114,Philadelphia 76ers,96,Box Score,,19753,
"Sat, Nov 1, 2014",7:00p,Milwaukee Bucks,97,Washington Wizards,108,Box Score,,17992,
"Sat, Nov 1, 2014",7:30p,Indiana Pacers,92,Atlanta Hawks,102,Box Score,,19118,
"Sat, Nov 1, 2014",7:30p,Brooklyn Nets,102,Detroit Pistons,90,Box Score,,19904,
"Sat, Nov 1, 2014",8:00p,Boston Celtics,90,Houston Rockets,104,Box Score,,18309,
"Sat, Nov 1, 2014",8:00p,Chicago Bulls,106,Minnesota Timberwolves,105,Box Score,,19356,
"Sat, Nov 1, 2014",8:00p,Denver Nuggets,91,Oklahoma City Thunder,102,Box Score,,18203,
"Sat, Nov 1, 2014",9:00p,Phoenix Suns,91,Utah Jazz,118,Box Score,,17721,
"Sat, Nov 1, 2014",10:30p,Los Angeles Lakers,104,Golden State Warriors,127,Box Score,,19596,
"Sun, Nov 2, 2014",3:30p,Sacramento Kings,98,Los Angeles Clippers,92,Box Score,,19060,
"Sun, Nov 2, 2014",6:00p,Toronto Raptors,102,Miami Heat,107,Box Score,,19666,
"Sun, Nov 2, 2014",7:30p,Charlotte Hornets,93,New York Knicks,96,Box Score,,19812,
"Sun, Nov 2, 2014",9:00p,Golden State Warriors,95,Portland Trail Blazers,90,Box Score,,19441,
"Mon, Nov 3, 2014",7:00p,Houston Rockets,104,Philadelphia 76ers,93,Box Score,,12896,
