,index,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes,Capacity,Attendance Ratio
0,2,2018-10-17,7:00p,Milwaukee Bucks,113,Charlotte Hornets,112,Box Score,,17889,,19077,0.9377260575562195
1,22,2018-10-19,8:30p,Indiana Pacers,101,Milwaukee Bucks,118,Box Score,,17341,,17500,0.9909142857142857
2,41,2018-10-22,8:00p,New York Knicks,113,Milwaukee Bucks,124,Box Score,,16228,,17500,0.9273142857142858
3,58,2018-10-24,9:30p,Philadelphia 76ers,108,Milwaukee Bucks,123,Box Score,,17341,,17500,0.9909142857142857
4,70,2018-10-26,8:00p,Milwaukee Bucks,125,Minnesota Timberwolves,95,Box Score,,16334,,18978,0.8606807882811677
5,80,2018-10-27,8:30p,Orlando Magic,91,Milwaukee Bucks,113,Box Score,,17341,,17500,0.9909142857142857
6,91,2018-10-29,8:00p,Toronto Raptors,109,Milwaukee Bucks,124,Box Score,,17341,,17500,0.9909142857142857
7,114,2018-11-01,8:00p,Milwaukee Bucks,113,Boston Celtics,117,Box Score,,18624,,18624,1.0
8,132,2018-11-04,3:30p,Sacramento Kings,109,Milwaukee Bucks,144,Box Score,,17341,,17500,0.9909142857142857
9,151,2018-11-06,10:00p,Milwaukee Bucks,103,Portland Trail Blazers,118,Box Score,,19512,,19441,1.0
10,165,2018-11-08,10:30p,Milwaukee Bucks,134,Golden State Warriors,111,Box Score,,19596,,18064,1.0
11,174,2018-11-10,3:30p,Milwaukee Bucks,126,Los Angeles Clippers,128,Box Score,OT,17486,,19068,0.9170337738619677
12,186,2018-11-11,8:00p,Milwaukee Bucks,121,Denver Nuggets,114,Box Score,,19520,,19520,1.0
13,206,2018-11-14,8:00p,Memphis Grizzlies,116,Milwaukee Bucks,113,Box Score,,16817,,17500,0.9609714285714286
14,222,2018-11-16,9:30p,Chicago Bulls,104,Milwaukee Bucks,123,Box Score,,17341,,17500,0.9909142857142857
