,index,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes,Capacity,Attendance Ratio
0,6,2018-10-17,7:30p,Atlanta Hawks,107,New York Knicks,126,Box Score,,18249,,19812,0.9211084191399153
1,17,2018-10-19,7:30p,New York Knicks,105,Brooklyn Nets,107,Box Score,,17732,,17732,1.0
2,27,2018-10-20,7:30p,Boston Celtics,103,New York Knicks,101,Box Score,,19427,,19812,0.9805673329295377
3,41,2018-10-22,8:00p,New York Knicks,113,Milwaukee Bucks,124,Box Score,,16228,,17500,0.9273142857142858
4,53,2018-10-24,7:30p,New York Knicks,87,Miami Heat,110,Box Score,,19600,,19600,1.0
5,67,2018-10-26,7:30p,Golden State Warriors,128,New York Knicks,100,Box Score,,19812,,19812,1.0
6,89,2018-10-29,7:30p,Brooklyn Nets,96,New York Knicks,115,Box Score,,19221,,19812,0.9701695941853422
7,106,2018-10-31,8:00p,Indiana Pacers,107,New York Knicks,101,Box Score,,18295,,19812,0.923430244296386
8,120,2018-11-02,8:30p,New York Knicks,118,Dallas Mavericks,106,Box Score,,20008,,19200,1.0
9,134,2018-11-04,6:00p,New York Knicks,95,Washington Wizards,108,Box Score,,16679,,20356,0.8193652977009236
10,142,2018-11-05,7:30p,Chicago Bulls,116,New York Knicks,115,Box Score,2OT,19812,,19812,1.0
11,154,2018-11-07,7:30p,New York Knicks,112,Atlanta Hawks,107,Box Score,,12412,,18118,0.6850645766640909
12,173,2018-11-10,3:00p,New York Knicks,112,Toronto Raptors,128,Box Score,,19800,,19800,1.0
13,185,2018-11-11,7:30p,Orlando Magic,115,New York Knicks,89,Box Score,,19812,,19812,1.0
14,208,2018-11-14,8:00p,New York Knicks,103,Oklahoma City Thunder,128,Box Score,,18203,,18203,1.0
15,221,2018-11-16,8:00p,New York Knicks,124,New Orleans Pelicans,129,Box Score,,14717,,16867,0.8725321633959803
16,235,2018-11-18,6:00p,New York Knicks,117,Orlando Magic,131,Box Score,,15898,,18846,0.843574233259047
17,250,2018-11-20,7:30p,Portland Trail Blazers,118,New York Knicks,114,Box Score,,19812,,19812,1.0
18,254,2018-11-21,7:30p,New York Knicks,117,Boston Celtics,109,Box Score,,18624,,18624,1.0
19,268,2018-11-23,7:30p,New Orleans Pelicans,109,New York Knicks,114,Box Score,,18948,,19812,0.9563900666262871
20,289,2018-11-25,6:00p,New York Knicks,103,Memphis Grizzlies,98,Box Score,,14331,,17794,0.8053838372485107
21,300,2018-11-27,7:00p,New York Knicks,108,Detroit Pistons,115,Box Score,,13935,,20332,0.6853728113318907
22,306,2018-11-28,7:00p,New York Knicks,91,Philadelphia 76ers,117,Box Score,,20274,,20478,0.9900380896571931
23,329,2018-12-01,5:00p,Milwaukee Bucks,134,New York Knicks,136,Box Score,OT,19812,,19812,1.0
24,345,2018-12-03,7:30p,Washington Wizards,110,New York Knicks,107,Box Score,,19440,,19812,0.9812235009085403
25,364,2018-12-06,8:00p,New York Knicks,100,Boston Celtics,128,Box Score,,18624,,18624,1.0
26,381,2018-12-08,7:30p,Brooklyn Nets,112,New York Knicks,104,Box Score,,18662,,19812,0.9419543710882293
