,index,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes,Capacity,Attendance Ratio
0,15,2018-10-18,10:30p,Los Angeles Lakers,119,Portland Trail Blazers,128,Box Score,,19996,,19441,1.0
1,34,2018-10-20,10:30p,Houston Rockets,124,Los Angeles Lakers,115,Box Score,,18997,,18997,1.0
2,47,2018-10-22,10:30p,San Antonio Spurs,143,Los Angeles Lakers,142,Box Score,OT,18997,,18997,1.0
3,59,2018-10-24,10:00p,Los Angeles Lakers,131,Phoenix Suns,113,Box Score,,18055,,18055,1.0
4,65,2018-10-25,10:30p,Denver Nuggets,114,Los Angeles Lakers,121,Box Score,,18997,,18997,1.0
5,81,2018-10-27,8:30p,Los Angeles Lakers,106,San Antonio Spurs,110,Box Score,,18589,,18418,1.0
6,92,2018-10-29,8:00p,Los Angeles Lakers,120,Minnesota Timberwolves,124,Box Score,,18978,,18978,1.0
7,108,2018-10-31,10:30p,Dallas Mavericks,113,Los Angeles Lakers,114,Box Score,,18997,,18997,1.0
8,131,2018-11-03,10:00p,Los Angeles Lakers,114,Portland Trail Blazers,110,Box Score,,19848,,19441,1.0
9,138,2018-11-04,9:30p,Toronto Raptors,121,Los Angeles Lakers,107,Box Score,,18997,,18997,1.0
10,161,2018-11-07,10:30p,Minnesota Timberwolves,110,Los Angeles Lakers,114,Box Score,,18997,,18997,1.0
11,182,2018-11-10,10:00p,Los Angeles Lakers,101,Sacramento Kings,86,Box Score,,17583,,17583,1.0
12,188,2018-11-11,9:30p,Atlanta Hawks,106,Los Angeles Lakers,107,Box Score,,18997,,18997,1.0
13,211,2018-11-14,10:30p,Portland Trail Blazers,117,Los Angeles Lakers,126,Box Score,,18997,,18997,1.0
14,227,2018-11-17,7:00p,Los Angeles Lakers,117,Orlando Magic,130,Box Score,,19249,,18846,1.0
15,234,2018-11-18,6:00p,Los Angeles Lakers,113,Miami Heat,97,Box Score,,19686,,19600,1.0
16,256,2018-11-21,8:00p,Los Angeles Lakers,109,Cleveland Cavaliers,105,Box Score,,19432,,19432,1.0
17,277,2018-11-23,10:30p,Utah Jazz,83,Los Angeles Lakers,90,Box Score,,18997,,18997,1.0
18,285,2018-11-25,3:30p,Orlando Magic,108,Los Angeles Lakers,104,Box Score,,18997,,18997,1.0
19,303,2018-11-27,9:00p,Los Angeles Lakers,85,Denver Nuggets,117,Box Score,,19583,,19520,1.0
20,316,2018-11-29,10:30p,Indiana Pacers,96,Los Angeles Lakers,104,Box Score,,18997,,18997,1.0
21,327,2018-11-30,10:30p,Dallas Mavericks,103,Los Angeles Lakers,114,Box Score,,18997,,18997,1.0
