,index,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes,Capacity,Attendance Ratio
0,8,2018-10-17,8:00p,New Orleans Pelicans,131,Houston Rockets,112,Box Score,,18055,,18055,1.0
1,34,2018-10-20,10:30p,Houston Rockets,124,Los Angeles Lakers,115,Box Score,,18997,,18997,1.0
2,38,2018-10-21,9:00p,Houston Rockets,112,Los Angeles Clippers,115,Box Score,,16149,,19068,0.8469162995594713
3,56,2018-10-24,8:00p,Utah Jazz,100,Houston Rockets,89,Box Score,,18055,,18055,1.0
4,69,2018-10-26,8:00p,Los Angeles Clippers,133,Houston Rockets,113,Box Score,,18055,,18055,1.0
5,100,2018-10-30,8:00p,Portland Trail Blazers,104,Houston Rockets,85,Box Score,,18055,,18055,1.0
6,117,2018-11-02,7:30p,Houston Rockets,119,Brooklyn Nets,111,Box Score,,14013,,17732,0.7902661854274757
7,128,2018-11-03,8:00p,Houston Rockets,96,Chicago Bulls,88,Box Score,,20505,,20917,0.9803031027393986
8,140,2018-11-05,7:00p,Houston Rockets,98,Indiana Pacers,94,Box Score,,14735,,17923,0.8221279919656308
9,162,2018-11-08,8:00p,Houston Rockets,80,Oklahoma City Thunder,98,Box Score,,18203,,18203,1.0
10,180,2018-11-10,8:30p,Houston Rockets,89,San Antonio Spurs,96,Box Score,,18354,,18418,0.9965251384515148
11,184,2018-11-11,7:00p,Indiana Pacers,103,Houston Rockets,115,Box Score,,18055,,18055,1.0
12,199,2018-11-13,9:00p,Houston Rockets,109,Denver Nuggets,99,Box Score,,16741,,19520,0.8576331967213114
13,212,2018-11-15,8:00p,Golden State Warriors,86,Houston Rockets,107,Box Score,,18055,,18055,1.0
14,230,2018-11-17,8:00p,Sacramento Kings,112,Houston Rockets,132,Box Score,,18055,,18055,1.0
15,257,2018-11-21,8:00p,Detroit Pistons,124,Houston Rockets,126,Box Score,,18055,,18055,1.0
16,266,2018-11-23,7:00p,Houston Rockets,111,Detroit Pistons,116,Box Score,OT,17268,,20332,0.8493015935471179
17,278,2018-11-24,7:30p,Houston Rockets,108,Cleveland Cavaliers,117,Box Score,,19432,,19432,1.0
18,295,2018-11-26,7:00p,Houston Rockets,131,Washington Wizards,135,Box Score,OT,16872,,20356,0.8288465317351149
19,308,2018-11-28,8:00p,Dallas Mavericks,128,Houston Rockets,108,Box Score,,18055,,18055,1.0
20,325,2018-11-30,8:00p,Houston Rockets,136,San Antonio Spurs,105,Box Score,,18354,,18418,0.9965251384515148
21,333,2018-12-01,8:00p,Chicago Bulls,105,Houston Rockets,121,Box Score,,18055,,18055,1.0
22,347,2018-12-03,8:00p,Houston Rockets,91,Minnesota Timberwolves,103,Box Score,,13834,,18978,0.7289493097270524
23,366,2018-12-06,10:30p,Houston Rockets,91,Utah Jazz,118,Box Score,,18306,,18306,1.0
24,377,2018-12-08,6:00p,Houston Rockets,104,Dallas Mavericks,107,Box Score,,20254,,19200,1.0
25,401,2018-12-11,8:00p,Portland Trail Blazers,104,Houston Rockets,111,Box Score,,18055,,18055,1.0
26,415,2018-12-13,8:00p,Los Angeles Lakers,111,Houston Rockets,126,Box Score,,18055,,18055,1.0
27,431,2018-12-15,8:00p,Houston Rockets,105,Memphis Grizzlies,97,Box Score,,16777,,17794,0.942845903113409
28,444,2018-12-17,8:00p,Utah Jazz,97,Houston Rockets,102,Box Score,,18055,,18055,1.0
29,460,2018-12-19,8:00p,Washington Wizards,118,Houston Rockets,136,Box Score,,18055,,18055,1.0
30,466,2018-12-20,8:00p,Houston Rockets,99,Miami Heat,101,Box Score,,19600,,19600,1.0
31,481,2018-12-22,8:00p,San Antonio Spurs,101,Houston Rockets,108,Box Score,,18055,,18055,1.0
32,497,2018-12-25,3:00p,Oklahoma City Thunder,109,Houston Rockets,113,Box Score,,18055,,18055,1.0
33,511,2018-12-27,8:00p,Boston Celtics,113,Houston Rockets,127,Box Score,,18055,,18055,1.0
34,527,2018-12-29,7:00p,Houston Rockets,108,New Orleans Pelicans,104,Box Score,,17555,,16867,1.0
