,index,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes,Capacity,Attendance Ratio
0,1,2018-10-16,10:30p,Oklahoma City Thunder,100,Golden State Warriors,108,Box Score,,19596,,18064,1.0
1,24,2018-10-19,10:30p,Golden State Warriors,124,Utah Jazz,123,Box Score,,18306,,18306,1.0
2,37,2018-10-21,8:00p,Golden State Warriors,98,Denver Nuggets,100,Box Score,,19520,,19520,1.0
3,46,2018-10-22,10:30p,Phoenix Suns,103,Golden State Warriors,123,Box Score,,19596,,18064,1.0
4,61,2018-10-24,10:30p,Washington Wizards,122,Golden State Warriors,144,Box Score,,19596,,18064,1.0
5,67,2018-10-26,7:30p,Golden State Warriors,128,New York Knicks,100,Box Score,,19812,,19812,1.0
6,82,2018-10-28,5:00p,Golden State Warriors,120,Brooklyn Nets,114,Box Score,,17732,,17732,1.0
7,90,2018-10-29,8:00p,Golden State Warriors,149,Chicago Bulls,124,Box Score,,21076,,20917,1.0
8,107,2018-10-31,10:30p,New Orleans Pelicans,121,Golden State Warriors,131,Box Score,,19596,,18064,1.0
9,123,2018-11-02,10:30p,Minnesota Timberwolves,99,Golden State Warriors,116,Box Score,,19596,,18064,1.0
10,146,2018-11-05,10:30p,Memphis Grizzlies,101,Golden State Warriors,117,Box Score,,19596,,18064,1.0
11,165,2018-11-08,10:30p,Milwaukee Bucks,134,Golden State Warriors,111,Box Score,,19596,,18064,1.0
12,179,2018-11-10,8:30p,Brooklyn Nets,100,Golden State Warriors,116,Box Score,,19596,,18064,1.0
13,197,2018-11-12,10:30p,Golden State Warriors,116,Los Angeles Clippers,121,Box Score,OT,19068,,19068,1.0
14,200,2018-11-13,10:30p,Atlanta Hawks,103,Golden State Warriors,110,Box Score,,19596,,18064,1.0
15,212,2018-11-15,8:00p,Golden State Warriors,86,Houston Rockets,107,Box Score,,18055,,18055,1.0
16,231,2018-11-17,8:30p,Golden State Warriors,109,Dallas Mavericks,112,Box Score,,20260,,19200,1.0
17,237,2018-11-18,7:00p,Golden State Warriors,92,San Antonio Spurs,104,Box Score,,18354,,18418,0.9965251384515148
