GP,Date,,Opponent,GF,GA,,,W,L,OL,Streak,Att.,LOG,Notes
1,2018-10-03,,Calgary Flames,5,2,W,,1,0,0,W 1,18870,2:31,
2,2018-10-06,@,Calgary Flames,4,7,L,,1,1,0,L 1,18688,2:39,
3,2018-10-09,@,Carolina Hurricanes,3,5,L,,1,2,0,L 2,11932,2:35,
4,2018-10-11,@,Tampa Bay Lightning,4,1,W,,2,2,0,W 1,19092,2:23,
5,2018-10-13,@,Florida Panthers,3,2,W,,3,2,0,W 2,11953,2:32,
6,2018-10-16,@,Pittsburgh Penguins,3,2,W,OT,4,2,0,W 3,18492,2:24,
7,2018-10-18,@,Winnipeg Jets,1,4,L,,4,3,0,L 1,15321,2:32,
8,2018-10-20,,Boston Bruins,2,1,W,OT,5,3,0,W 1,17871,2:30,
9,2018-10-22,,Washington Capitals,2,5,L,,5,4,0,L 1,17227,2:25,
10,2018-10-24,@,Vegas Golden Knights,3,2,W,SO,6,4,0,W 1,18189,2:42,
11,2018-10-25,@,Arizona Coyotes,1,4,L,,6,5,0,L 1,12955,2:20,
12,2018-10-27,,Pittsburgh Penguins,0,5,L,,6,6,0,L 2,17537,2:29,
13,2018-10-29,,Minnesota Wild,5,2,W,,7,6,0,W 1,16546,2:36,
14,2018-10-31,,Chicago Blackhawks,4,2,W,,8,6,0,W 2,16955,2:32,
15,2018-11-02,,Colorado Avalanche,7,6,W,OT,9,6,0,W 3,18334,2:44,
16,2018-11-06,@,Detroit Red Wings,2,3,L,SO,9,6,1,L 1,18640,2:47,
17,2018-11-08,@,Boston Bruins,8,5,W,,10,6,1,W 1,17565,2:38,
18,2018-11-10,@,Buffalo Sabres,3,4,L,SO,10,6,2,L 1,17541,2:42,
19,2018-11-12,@,New York Rangers,1,2,L,,10,7,2,L 2,17100,2:28,
20,2018-11-13,@,New York Islanders,2,5,L,,10,8,2,L 3,8806,2:26,
21,2018-11-15,@,Minnesota Wild,2,6,L,,10,9,2,L 4,19014,2:35,
22,2018-11-17,,Montreal Canadiens,2,3,L,,10,10,2,L 5,17880,2:35,
23,2018-11-19,,Winnipeg Jets,3,6,L,,10,11,2,L 6,17917,2:32,
24,2018-11-21,@,Anaheim Ducks,3,4,L,,10,12,2,L 7,16091,2:32,
25,2018-11-23,@,San Jose Sharks,0,4,L,,10,13,2,L 8,17056,2:21,
