,Date,Game Location,ID,Tweet,User
0,2018-12-16 07:42:06+00:00,Ottawa,1074208029120303105,Thanks to these top players in the NHL for using their talents to make hockey great to watch. #hockey #jackeichel #buffalosabres #johnnygaudreau #calgaryflames #brockboeser… https://www.instagram.com/p/BrcLG-BHyah/?utm_source=ig_twitter_share&amp;igshid=1eed3bzj8mu7y,JamesThomasGoss
1,2019-01-05 23:05:45+00:00,Vancouver,1081688230410502145,"Canuck fans, remember to vote for Brock Boeser for the NHL “Last Man In” All Star team for the Pacific Division. Voting ends Jan 10. You can vote 10 times per day - @… https://www.instagram.com/p/BsRUtduBV3G/?utm_source=ig_twitter_share&amp;igshid=ofhkd9iuizp7",grantokane
2,2019-02-10 15:34:25+00:00,Vancouver,1094620610402017280,The talent... Oh the talent... #eliaspettersson #pettersson #ep40 #brockboeser #boeser #nhl #hockey #vancouver #vancouvercanucks #canucks #icehockey #sweden #canada @Rogers Arena https://www.instagram.com/p/BttNijOBz0V/?utm_source=ig_twitter_share&amp;igshid=10rjedfqtsd6o,kdouchy
3,2019-02-20 02:06:05+00:00,Vancouver,1098041067348389888,"Elias Pettersson, Brock Boeser, Bo Horvat &amp; Antoine Roussel among those joining us on location @CriticPat vancouverbc for canucks Dice &amp; Ice in support of @canucksforkids @Parq Vancouver https://www.instagram.com/p/BuFhH1Jhy-U/?utm_source=ig_twitter_share&amp;igshid=x6995qumvrdb",ScottRintoul
4,2019-03-11 17:08:02+00:00,Vancouver,1105153417440301056,".@patersonjeff on Hughes: I'm going to temper my expectations because ..we saw 2 years ago, Brock Boeser came in and had 4goals in 9 games, and it was remarkable. But a year ago, Adam Gaudette came in as the Hobey Baker winner, and struggled, but it gave him a baseline to work on",TSN1040
5,2019-03-21 03:35:43+00:00,Vancouver,1108572869548625921,Brock Boeser gets his 24th of the season. #canucks 2 for 2 on the PP so far and it’s 4-0 for the home team.,laurence_mira
6,2019-03-23 12:39:00+00:00,Vancouver,1109434367061999617,"#socool #brockboeser #vancouvercanucks #mycollection @Vancouver, British Columbia https://www.instagram.com/p/BvWeMvOhSMU/?utm_source=ig_twitter_share&amp;igshid=j6930uzcb1do",Shaarona29
7,2019-03-27 02:11:49+00:00,Columbus,1110726085891768320,Brock Boeser’s point streak died for the #CBJ to make the playoffs... let’s go boys ,danglebus
8,2019-03-27 16:58:40+00:00,Vancouver,1110949266246287360,"#hadtogethim #lastnightgame #brockboeser #limitededition #adding #tomycollection #@Vancouver, British Columbia https://www.instagram.com/p/BvhPGDBh4nQ/?utm_source=ig_twitter_share&amp;igshid=1wxrf090iu5ab",Shaarona29
9,2019-03-29 02:12:04+00:00,Vancouver,1111450923828736000,Luck has shown up near the end of the canucks season! Thanx rogers for the #brockboeser signed #puck! . . #boysclubyvr @bboeser16 #puckluck #spintowin #gamenight #faceoff #hockey… https://www.instagram.com/p/BvkzOQahD8j/?utm_source=ig_twitter_share&amp;igshid=2li1yfuoziiz,bennettchin
10,2019-03-29 03:59:54+00:00,Vancouver,1111478059415166976,Canucks season summed up- Boeser: I really want to thank you #vancouvercanucks #nhl #brockboeser #funnyaf #eliaspettersson #canucks #goal #onehappydude @Vancouver Canucks - Rogers Arena https://www.instagram.com/p/Bvk_kGmB9So/?utm_source=ig_twitter_share&amp;igshid=1kolkuomsgqa4,julieannmcleod
11,2019-03-29 04:36:03+00:00,Vancouver,1111487158865416192,Shades of 2012. Jonathan Quick absolutely steals one from Brock Boeser. What a stop. #LAKings #Canucks,RandipJanda
12,2019-03-29 17:27:58+00:00,Vancouver,1111681415836368897,"Congratulations go out to Quinn Hughes, in getting his 1st point in the NHL in setting up Brock Boeser. You were very impressive in your NHL debut and have a bright future.",randygo1964
13,2019-03-31 20:00:52+00:00,Vancouver,1112444671622438912,"Good news everybody, we are headed to an early start of Brock Boeser’s boat Instagram stories ",myra_mc
14,2019-04-03 03:29:51+00:00,San Jose,1113282438195585026,Martin Jones Robs Brock Boeser,nhljones
