,Date,Game Location,ID,Tweet,User
0,2018-10-04 20:08:24+00:00,Vancouver,1047941526397972480,The Alien. #Canucks #EliasPettersson #EP40 @Rogers Arena https://www.instagram.com/p/BohiUFcnIXmRGbOLUUnHXJXAob170mMxp8Mth40/?utm_source=ig_twitter_share&amp;igshid=54tdr1besg7w,Silent__C
1,2018-10-30 04:24:25+00:00,Vancouver,1057126051934027776,My 7 year old son's new(est) favorite canucks player. Well DUH! #eliaspettersson #40 #canucks @Rogers Arena https://www.instagram.com/p/BpiyruXFvpB/?utm_source=ig_twitter_share&amp;igshid=91cejxkao770,vancouvergolf
2,2018-11-03 03:16:41+00:00,Vancouver,1058558556360728576,NINETEEN YEAR OLD ELIAS PETTERSSON (In my best Jim Hughson voice) ,kaler
3,2018-11-04 04:14:31+00:00,Newark,1058935498083917827,Thanks to these top players in the NHL for using their talents to make hockey great to watch. #hockey #eliaspettersson #vancouvercanucks #patrickkane #chicagoblackhawks #jeffskinner… https://www.instagram.com/p/Bpvp9VlnH-V/?utm_source=ig_twitter_share&amp;igshid=1ab5vsm6laeq1,JamesThomasGoss
4,2018-11-04 04:14:31+00:00,New York,1058935498083917827,Thanks to these top players in the NHL for using their talents to make hockey great to watch. #hockey #eliaspettersson #vancouvercanucks #patrickkane #chicagoblackhawks #jeffskinner… https://www.instagram.com/p/Bpvp9VlnH-V/?utm_source=ig_twitter_share&amp;igshid=1ab5vsm6laeq1,JamesThomasGoss
5,2018-11-04 04:14:31+00:00,New York,1058935498083917827,Thanks to these top players in the NHL for using their talents to make hockey great to watch. #hockey #eliaspettersson #vancouvercanucks #patrickkane #chicagoblackhawks #jeffskinner… https://www.instagram.com/p/Bpvp9VlnH-V/?utm_source=ig_twitter_share&amp;igshid=1ab5vsm6laeq1,JamesThomasGoss
6,2018-12-07 04:35:33+00:00,Vancouver,1070899591036497920,What a goal @_EPettersson !! #canucks #penaltyshot #gocanucksgo #eliaspettersson @Rogers Arena https://www.instagram.com/p/BrEqevkFNWG/?utm_source=ig_twitter_share&amp;igshid=f54rs305t9p7,vancouvergolf
7,2019-01-24 01:32:08+00:00,Vancouver,1088248050123005952,Pre-game beers. #eliaspettersson #roysmancrush @The Alibi Room https://www.instagram.com/p/Bs_7xN8hQxf/?utm_source=ig_twitter_share&amp;igshid=fu9d049g6ew6,leslyleanne
8,2019-02-10 06:31:30+00:00,Vancouver,1094483980018114560,"After that sexy Saturday night hockey game, I couldn't leave without picking up this sexy lil number! My social media $$$bought this!! #Pettersson #ChurchofPetey #EliasPettersson… https://www.instagram.com/p/BtsPjGBh6Ps/?utm_source=ig_twitter_share&amp;igshid=quau8dptkzyk",jenijealousy
9,2019-02-10 15:34:25+00:00,Vancouver,1094620610402017280,The talent... Oh the talent... #eliaspettersson #pettersson #ep40 #brockboeser #boeser #nhl #hockey #vancouver #vancouvercanucks #canucks #icehockey #sweden #canada @Rogers Arena https://www.instagram.com/p/BttNijOBz0V/?utm_source=ig_twitter_share&amp;igshid=10rjedfqtsd6o,kdouchy
