,index,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes,Capacity,Attendance Ratio,Polarized Sentiment Ratio,Positive Sentiment Ratio,Negative Sentiment Ratio,At Home
0,6,2018-10-17 19:30:00+00:00,7:30p,Atlanta Hawks,107,New York Knicks,126,Box Score,,18249,,19812,0.9211084191399151,0.44594594594594594,0.16216216216216217,0.28378378378378377,Home
1,17,2018-10-19 19:30:00+00:00,7:30p,New York Knicks,105,Brooklyn Nets,107,Box Score,,17732,,17732,1.0,0.55,0.3,0.25,Away
2,27,2018-10-20 19:30:00+00:00,7:30p,Boston Celtics,103,New York Knicks,101,Box Score,,19427,,19812,0.9805673329295376,0.5,0.07142857142857142,0.42857142857142855,Home
3,41,2018-10-22 20:00:00+00:00,8:00p,New York Knicks,113,Milwaukee Bucks,124,Box Score,,16228,,17500,0.9273142857142858,0.4782608695652174,0.17391304347826086,0.30434782608695654,Away
4,53,2018-10-24 19:30:00+00:00,7:30p,New York Knicks,87,Miami Heat,110,Box Score,,19600,,19600,1.0,0.5,0.0625,0.4375,Away
5,67,2018-10-26 19:30:00+00:00,7:30p,Golden State Warriors,128,New York Knicks,100,Box Score,,19812,,19812,1.0,0.48148148148148145,0.1111111111111111,0.37037037037037035,Home
6,89,2018-10-29 19:30:00+00:00,7:30p,Brooklyn Nets,96,New York Knicks,115,Box Score,,19221,,19812,0.9701695941853422,0.5161290322580645,0.22580645161290322,0.2903225806451613,Home
7,106,2018-10-31 20:00:00+00:00,8:00p,Indiana Pacers,107,New York Knicks,101,Box Score,,18295,,19812,0.923430244296386,0.45454545454545453,0.0,0.45454545454545453,Home
8,120,2018-11-02 20:30:00+00:00,8:30p,New York Knicks,118,Dallas Mavericks,106,Box Score,,20008,,19200,1.0,0.34782608695652173,0.08695652173913043,0.2608695652173913,Away
9,134,2018-11-04 18:00:00+00:00,6:00p,New York Knicks,95,Washington Wizards,108,Box Score,,16679,,20356,0.8193652977009236,0.5,0.2,0.3,Away
10,142,2018-11-05 19:30:00+00:00,7:30p,Chicago Bulls,116,New York Knicks,115,Box Score,2OT,19812,,19812,1.0,0.2857142857142857,0.07142857142857142,0.21428571428571427,Home
11,154,2018-11-07 19:30:00+00:00,7:30p,New York Knicks,112,Atlanta Hawks,107,Box Score,,12412,,18118,0.6850645766640909,0.47368421052631576,0.2631578947368421,0.21052631578947367,Away
12,173,2018-11-10 15:00:00+00:00,3:00p,New York Knicks,112,Toronto Raptors,128,Box Score,,19800,,19800,1.0,0.5789473684210527,0.15789473684210525,0.42105263157894735,Away
13,185,2018-11-11 19:30:00+00:00,7:30p,Orlando Magic,115,New York Knicks,89,Box Score,,19812,,19812,1.0,0.3,0.1,0.2,Home
14,208,2018-11-14 20:00:00+00:00,8:00p,New York Knicks,103,Oklahoma City Thunder,128,Box Score,,18203,,18203,1.0,0.5714285714285714,0.14285714285714285,0.42857142857142855,Away
15,221,2018-11-16 20:00:00+00:00,8:00p,New York Knicks,124,New Orleans Pelicans,129,Box Score,,14717,,16867,0.8725321633959803,0.5384615384615384,0.38461538461538464,0.15384615384615385,Away
16,235,2018-11-18 18:00:00+00:00,6:00p,New York Knicks,117,Orlando Magic,131,Box Score,,15898,,18846,0.843574233259047,0.45454545454545453,0.2727272727272727,0.18181818181818182,Away
17,250,2018-11-20 19:30:00+00:00,7:30p,Portland Trail Blazers,118,New York Knicks,114,Box Score,,19812,,19812,1.0,0.4666666666666667,0.13333333333333333,0.3333333333333333,Home
18,254,2018-11-21 19:30:00+00:00,7:30p,New York Knicks,117,Boston Celtics,109,Box Score,,18624,,18624,1.0,0.5625,0.125,0.4375,Away
19,268,2018-11-23 19:30:00+00:00,7:30p,New Orleans Pelicans,109,New York Knicks,114,Box Score,,18948,,19812,0.9563900666262872,0.7777777777777778,0.3333333333333333,0.4444444444444444,Home
20,289,2018-11-25 18:00:00+00:00,6:00p,New York Knicks,103,Memphis Grizzlies,98,Box Score,,14331,,17794,0.8053838372485107,0.4,0.2,0.2,Away
21,300,2018-11-27 19:00:00+00:00,7:00p,New York Knicks,108,Detroit Pistons,115,Box Score,,13935,,20332,0.6853728113318907,0.6,0.0,0.6,Away
22,306,2018-11-28 19:00:00+00:00,7:00p,New York Knicks,91,Philadelphia 76ers,117,Box Score,,20274,,20478,0.9900380896571932,0.8333333333333334,0.3333333333333333,0.5,Away
