,index,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes,Capacity,Attendance Ratio,Polarized Sentiment Ratio,Positive Sentiment Ratio,Negative Sentiment Ratio,At Home
0,15,2018-10-18 22:30:00+00:00,10:30p,Los Angeles Lakers,119,Portland Trail Blazers,128,Box Score,,19996,,19441,1.0,0.6148648648648649,0.19932432432432431,0.4155405405405405,Away
1,34,2018-10-20 22:30:00+00:00,10:30p,Houston Rockets,124,Los Angeles Lakers,115,Box Score,,18997,,18997,1.0,0.5916666666666667,0.20833333333333334,0.38333333333333336,Home
2,47,2018-10-22 22:30:00+00:00,10:30p,San Antonio Spurs,143,Los Angeles Lakers,142,Box Score,OT,18997,,18997,1.0,0.5735294117647058,0.21323529411764705,0.3602941176470588,Home
3,59,2018-10-24 22:00:00+00:00,10:00p,Los Angeles Lakers,131,Phoenix Suns,113,Box Score,,18055,,18055,1.0,0.5806451612903226,0.20967741935483872,0.3709677419354839,Away
4,65,2018-10-25 22:30:00+00:00,10:30p,Denver Nuggets,114,Los Angeles Lakers,121,Box Score,,18997,,18997,1.0,0.631578947368421,0.3333333333333333,0.2982456140350877,Home
5,81,2018-10-27 20:30:00+00:00,8:30p,Los Angeles Lakers,106,San Antonio Spurs,110,Box Score,,18589,,18418,1.0,0.631578947368421,0.23684210526315788,0.39473684210526316,Away
6,92,2018-10-29 20:00:00+00:00,8:00p,Los Angeles Lakers,120,Minnesota Timberwolves,124,Box Score,,18978,,18978,1.0,0.46808510638297873,0.14893617021276595,0.3191489361702128,Away
7,108,2018-10-31 22:30:00+00:00,10:30p,Dallas Mavericks,113,Los Angeles Lakers,114,Box Score,,18997,,18997,1.0,0.6122448979591837,0.24489795918367346,0.3673469387755102,Home
8,131,2018-11-03 22:00:00+00:00,10:00p,Los Angeles Lakers,114,Portland Trail Blazers,110,Box Score,,19848,,19441,1.0,0.5777777777777777,0.3,0.2777777777777778,Away
9,138,2018-11-04 21:30:00+00:00,9:30p,Toronto Raptors,121,Los Angeles Lakers,107,Box Score,,18997,,18997,1.0,0.6,0.13333333333333333,0.4666666666666667,Home
10,161,2018-11-07 22:30:00+00:00,10:30p,Minnesota Timberwolves,110,Los Angeles Lakers,114,Box Score,,18997,,18997,1.0,0.5818181818181818,0.2727272727272727,0.3090909090909091,Home
11,182,2018-11-10 22:00:00+00:00,10:00p,Los Angeles Lakers,101,Sacramento Kings,86,Box Score,,17583,,17583,1.0,0.5694444444444444,0.20833333333333334,0.3611111111111111,Away
12,188,2018-11-11 21:30:00+00:00,9:30p,Atlanta Hawks,106,Los Angeles Lakers,107,Box Score,,18997,,18997,1.0,0.48936170212765956,0.19148936170212766,0.2978723404255319,Home
13,211,2018-11-14 22:30:00+00:00,10:30p,Portland Trail Blazers,117,Los Angeles Lakers,126,Box Score,,18997,,18997,1.0,0.5064935064935064,0.2077922077922078,0.2987012987012987,Home
14,227,2018-11-17 19:00:00+00:00,7:00p,Los Angeles Lakers,117,Orlando Magic,130,Box Score,,19249,,18846,1.0,0.5128205128205128,0.2692307692307692,0.24358974358974358,Away
15,234,2018-11-18 18:00:00+00:00,6:00p,Los Angeles Lakers,113,Miami Heat,97,Box Score,,19686,,19600,1.0,0.5555555555555556,0.16666666666666666,0.3888888888888889,Away
16,256,2018-11-21 20:00:00+00:00,8:00p,Los Angeles Lakers,109,Cleveland Cavaliers,105,Box Score,,19432,,19432,1.0,0.6025641025641025,0.21794871794871795,0.38461538461538464,Away
17,277,2018-11-23 22:30:00+00:00,10:30p,Utah Jazz,83,Los Angeles Lakers,90,Box Score,,18997,,18997,1.0,0.6153846153846154,0.2692307692307692,0.34615384615384615,Home
