,index,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes,Capacity,Attendance Ratio,Polarized Sentiment Ratio,Positive Sentiment Ratio,Negative Sentiment Ratio,At Home
0,8,2018-10-17 20:00:00+00:00,8:00p,New Orleans Pelicans,131,Houston Rockets,112,Box Score,,18055,,18055,1.0,0.4576271186440678,0.1694915254237288,0.288135593220339,Home
1,34,2018-10-20 22:30:00+00:00,10:30p,Houston Rockets,124,Los Angeles Lakers,115,Box Score,,18997,,18997,1.0,0.5517241379310345,0.10344827586206896,0.4482758620689655,Away
2,38,2018-10-21 21:00:00+00:00,9:00p,Houston Rockets,112,Los Angeles Clippers,115,Box Score,,16149,,19068,0.8469162995594713,0.5370370370370371,0.05555555555555555,0.48148148148148145,Away
3,56,2018-10-24 20:00:00+00:00,8:00p,Utah Jazz,100,Houston Rockets,89,Box Score,,18055,,18055,1.0,0.35714285714285715,0.09523809523809523,0.2619047619047619,Home
4,69,2018-10-26 20:00:00+00:00,8:00p,Los Angeles Clippers,133,Houston Rockets,113,Box Score,,18055,,18055,1.0,0.35714285714285715,0.21428571428571427,0.14285714285714285,Home
5,100,2018-10-30 20:00:00+00:00,8:00p,Portland Trail Blazers,104,Houston Rockets,85,Box Score,,18055,,18055,1.0,0.4166666666666667,0.16666666666666666,0.25,Home
6,117,2018-11-02 19:30:00+00:00,7:30p,Houston Rockets,119,Brooklyn Nets,111,Box Score,,14013,,17732,0.7902661854274757,0.39285714285714285,0.07142857142857142,0.32142857142857145,Away
7,128,2018-11-03 20:00:00+00:00,8:00p,Houston Rockets,96,Chicago Bulls,88,Box Score,,20505,,20917,0.9803031027393986,0.46153846153846156,0.15384615384615385,0.3076923076923077,Away
8,140,2018-11-05 19:00:00+00:00,7:00p,Houston Rockets,98,Indiana Pacers,94,Box Score,,14735,,17923,0.8221279919656308,0.5,0.2857142857142857,0.21428571428571427,Away
9,162,2018-11-08 20:00:00+00:00,8:00p,Houston Rockets,80,Oklahoma City Thunder,98,Box Score,,18203,,18203,1.0,0.4117647058823529,0.0,0.4117647058823529,Away
10,180,2018-11-10 20:30:00+00:00,8:30p,Houston Rockets,89,San Antonio Spurs,96,Box Score,,18354,,18418,0.9965251384515148,0.5833333333333334,0.08333333333333333,0.5,Away
11,184,2018-11-11 19:00:00+00:00,7:00p,Indiana Pacers,103,Houston Rockets,115,Box Score,,18055,,18055,1.0,0.46153846153846156,0.15384615384615385,0.3076923076923077,Home
12,199,2018-11-13 21:00:00+00:00,9:00p,Houston Rockets,109,Denver Nuggets,99,Box Score,,16741,,19520,0.8576331967213114,0.5217391304347826,0.21739130434782608,0.30434782608695654,Away
13,212,2018-11-15 20:00:00+00:00,8:00p,Golden State Warriors,86,Houston Rockets,107,Box Score,,18055,,18055,1.0,0.4117647058823529,0.17647058823529413,0.23529411764705882,Home
14,230,2018-11-17 20:00:00+00:00,8:00p,Sacramento Kings,112,Houston Rockets,132,Box Score,,18055,,18055,1.0,0.38461538461538464,0.10256410256410256,0.28205128205128205,Home
15,257,2018-11-21 20:00:00+00:00,8:00p,Detroit Pistons,124,Houston Rockets,126,Box Score,,18055,,18055,1.0,0.375,0.125,0.25,Home
16,266,2018-11-23 19:00:00+00:00,7:00p,Houston Rockets,111,Detroit Pistons,116,Box Score,OT,17268,,20332,0.8493015935471179,0.6666666666666666,0.2,0.4666666666666667,Away
17,278,2018-11-24 19:30:00+00:00,7:30p,Houston Rockets,108,Cleveland Cavaliers,117,Box Score,,19432,,19432,1.0,0.42857142857142855,0.14285714285714285,0.2857142857142857,Away
