G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Notes
1,"Thu, Oct 18, 2018",10:30p,,Box Score,@,Portland Trail Blazers,L,,119,128,0,1,L 1,
2,"Sat, Oct 20, 2018",10:30p,,Box Score,,Houston Rockets,L,,115,124,0,2,L 2,
3,"Mon, Oct 22, 2018",10:30p,,Box Score,,San Antonio Spurs,L,OT,142,143,0,3,L 3,
4,"Wed, Oct 24, 2018",10:00p,,Box Score,@,Phoenix Suns,W,,131,113,1,3,W 1,
5,"Thu, Oct 25, 2018",10:30p,,Box Score,,Denver Nuggets,W,,121,114,2,3,W 2,
6,"Sat, Oct 27, 2018",8:30p,,Box Score,@,San Antonio Spurs,L,,106,110,2,4,L 1,
7,"Mon, Oct 29, 2018",8:00p,,Box Score,@,Minnesota Timberwolves,L,,120,124,2,5,L 2,
8,"Wed, Oct 31, 2018",10:30p,,Box Score,,Dallas Mavericks,W,,114,113,3,5,W 1,
9,"Sat, Nov 3, 2018",10:00p,,Box Score,@,Portland Trail Blazers,W,,114,110,4,5,W 2,
10,"Sun, Nov 4, 2018",9:30p,,Box Score,,Toronto Raptors,L,,107,121,4,6,L 1,
11,"Wed, Nov 7, 2018",10:30p,,Box Score,,Minnesota Timberwolves,W,,114,110,5,6,W 1,
12,"Sat, Nov 10, 2018",10:00p,,Box Score,@,Sacramento Kings,W,,101,86,6,6,W 2,
13,"Sun, Nov 11, 2018",9:30p,,Box Score,,Atlanta Hawks,W,,107,106,7,6,W 3,
14,"Wed, Nov 14, 2018",10:30p,,Box Score,,Portland Trail Blazers,W,,126,117,8,6,W 4,
15,"Sat, Nov 17, 2018",7:00p,,Box Score,@,Orlando Magic,L,,117,130,8,7,L 1,
16,"Sun, Nov 18, 2018",6:00p,,Box Score,@,Miami Heat,W,,113,97,9,7,W 1,
