G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Notes
1,"Wed, Oct 17, 2018",7:30p,,Box Score,,Cleveland Cavaliers,W,,116,104,1,0,W 1,
2,"Fri, Oct 19, 2018",8:00p,,Box Score,,Boston Celtics,W,,113,101,2,0,W 2,
3,"Sat, Oct 20, 2018",7:00p,,Box Score,@,Washington Wizards,W,,117,113,3,0,W 3,
4,"Mon, Oct 22, 2018",7:30p,,Box Score,,Charlotte Hornets,W,,127,106,4,0,W 4,
5,"Wed, Oct 24, 2018",7:30p,,Box Score,,Minnesota Timberwolves,W,,112,105,5,0,W 5,
6,"Fri, Oct 26, 2018",7:30p,,Box Score,,Dallas Mavericks,W,,116,107,6,0,W 6,
7,"Mon, Oct 29, 2018",8:00p,,Box Score,@,Milwaukee Bucks,L,,109,124,6,1,L 1,
8,"Tue, Oct 30, 2018",7:30p,,Box Score,,Philadelphia 76ers,W,,129,112,7,1,W 1,
9,"Fri, Nov 2, 2018",10:00p,,Box Score,@,Phoenix Suns,W,,107,98,8,1,W 2,
10,"Sun, Nov 4, 2018",9:30p,,Box Score,@,Los Angeles Lakers,W,,121,107,9,1,W 3,
11,"Mon, Nov 5, 2018",9:00p,,Box Score,@,Utah Jazz,W,,124,111,10,1,W 4,
12,"Wed, Nov 7, 2018",10:00p,,Box Score,@,Sacramento Kings,W,,114,105,11,1,W 5,
13,"Sat, Nov 10, 2018",3:00p,,Box Score,,New York Knicks,W,,128,112,12,1,W 6,
14,"Mon, Nov 12, 2018",7:30p,,Box Score,,New Orleans Pelicans,L,,110,126,12,2,L 1,
15,"Wed, Nov 14, 2018",7:30p,,Box Score,,Detroit Pistons,L,,104,106,12,3,L 2,
16,"Fri, Nov 16, 2018",7:00p,,Box Score,@,Boston Celtics,L,OT,116,123,12,4,L 3,
17,"Sat, Nov 17, 2018",8:00p,,Box Score,@,Chicago Bulls,W,,122,83,13,4,W 1,
18,"Tue, Nov 20, 2018",7:00p,,Box Score,@,Orlando Magic,W,,93,91,14,4,W 2,
19,"Wed, Nov 21, 2018",7:30p,,Box Score,@,Atlanta Hawks,W,,124,108,15,4,W 3,
20,"Fri, Nov 23, 2018",7:30p,,Box Score,,Washington Wizards,W,,125,107,16,4,W 4,
G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,"Sun, Nov 25, 2018",6:00p,,Box Score,,Miami Heat,W,,125,115,17,4,W 5,
22,"Tue, Nov 27, 2018",8:00p,,Box Score,@,Memphis Grizzlies,W,,122,114,18,4,W 6,
23,"Thu, Nov 29, 2018",8:00p,,Box Score,,Golden State Warriors,W,OT,131,128,19,4,W 7,
24,"Sat, Dec 1, 2018",8:00p,,Box Score,@,Cleveland Cavaliers,W,,106,95,20,4,W 8,
25,"Mon, Dec 3, 2018",7:30p,,Box Score,,Denver Nuggets,L,,103,106,20,5,L 1,
26,"Wed, Dec 5, 2018",8:00p,,Box Score,,Philadelphia 76ers,W,,113,102,21,5,W 1,
27,"Fri, Dec 7, 2018",7:30p,,Box Score,@,Brooklyn Nets,L,OT,105,106,21,6,L 1,
28,"Sun, Dec 9, 2018",6:00p,,Box Score,,Milwaukee Bucks,L,,99,104,21,7,L 2,
29,"Tue, Dec 11, 2018",10:30p,,Box Score,@,Los Angeles Clippers,W,,123,99,22,7,W 1,
30,"Wed, Dec 12, 2018",10:30p,,Box Score,@,Golden State Warriors,W,,113,93,23,7,W 2,
31,"Fri, Dec 14, 2018",10:00p,,Box Score,@,Portland Trail Blazers,L,,122,128,23,8,L 1,
32,"Sun, Dec 16, 2018",8:00p,,Box Score,@,Denver Nuggets,L,,86,95,23,9,L 2,
33,"Wed, Dec 19, 2018",7:30p,,Box Score,,Indiana Pacers,W,,99,96,24,9,W 1,
34,"Fri, Dec 21, 2018",7:00p,,Box Score,,Cleveland Cavaliers,W,,126,110,25,9,W 2,
35,"Sat, Dec 22, 2018",7:30p,,Box Score,@,Philadelphia 76ers,L,,101,126,25,10,L 1,
36,"Wed, Dec 26, 2018",7:30p,,Box Score,@,Miami Heat,W,,106,104,26,10,W 1,
37,"Fri, Dec 28, 2018",7:00p,,Box Score,@,Orlando Magic,L,,87,116,26,11,L 1,
38,"Sun, Dec 30, 2018",6:00p,,Box Score,,Chicago Bulls,W,,95,89,27,11,W 1,
39,"Tue, Jan 1, 2019",7:30p,,Box Score,,Utah Jazz,W,,122,116,28,11,W 2,
40,"Thu, Jan 3, 2019",8:00p,,Box Score,@,San Antonio Spurs,L,,107,125,28,12,L 1,
G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
41,"Sat, Jan 5, 2019",8:30p,,Box Score,@,Milwaukee Bucks,W,,123,116,29,12,W 1,
42,"Sun, Jan 6, 2019",7:30p,,Box Score,,Indiana Pacers,W,,121,105,30,12,W 2,
43,"Tue, Jan 8, 2019",7:30p,,Box Score,,Atlanta Hawks,W,,104,101,31,12,W 3,
44,"Fri, Jan 11, 2019",7:30p,,Box Score,,Brooklyn Nets,W,,122,105,32,12,W 4,
45,"Sun, Jan 13, 2019",1:00p,,Box Score,@,Washington Wizards,W,2OT,140,138,33,12,W 5,
46,"Wed, Jan 16, 2019",8:00p,,Box Score,@,Boston Celtics,L,,108,117,33,13,L 1,
47,"Thu, Jan 17, 2019",7:30p,,Box Score,,Phoenix Suns,W,,111,109,34,13,W 1,
48,"Sat, Jan 19, 2019",7:30p,,Box Score,,Memphis Grizzlies,W,,119,90,35,13,W 2,
49,"Tue, Jan 22, 2019",7:00p,,Box Score,,Sacramento Kings,W,,120,105,36,13,W 3,
50,"Wed, Jan 23, 2019",7:00p,,Box Score,@,Indiana Pacers,L,,106,110,36,14,L 1,
51,"Fri, Jan 25, 2019",8:00p,,Box Score,@,Houston Rockets,L,,119,121,36,15,L 2,
52,"Sun, Jan 27, 2019",7:00p,,Box Score,@,Dallas Mavericks,W,,123,120,37,15,W 1,
53,"Thu, Jan 31, 2019",8:00p,,Box Score,,Milwaukee Bucks,L,,92,105,37,16,L 1,
54,"Sun, Feb 3, 2019",3:00p,,Box Score,,Los Angeles Clippers,W,,121,103,38,16,W 1,
55,"Tue, Feb 5, 2019",8:00p,,Box Score,@,Philadelphia 76ers,W,,119,107,39,16,W 2,
56,"Thu, Feb 7, 2019",7:30p,,Box Score,@,Atlanta Hawks,W,,119,101,40,16,W 3,
57,"Sat, Feb 9, 2019",7:30p,,Box Score,@,New York Knicks,W,,104,99,41,16,W 4,
58,"Mon, Feb 11, 2019",7:30p,,Box Score,,Brooklyn Nets,W,,127,125,42,16,W 5,
59,"Wed, Feb 13, 2019",7:30p,,Box Score,,Washington Wizards,W,,129,120,43,16,W 6,
60,"Fri, Feb 22, 2019",7:00p,,Box Score,,San Antonio Spurs,W,,120,117,44,16,W 7,
G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
61,"Sun, Feb 24, 2019",3:30p,,Box Score,,Orlando Magic,L,,98,113,44,17,L 1,
62,"Tue, Feb 26, 2019",8:00p,,Box Score,,Boston Celtics,W,,118,95,45,17,W 1,
63,"Fri, Mar 1, 2019",8:00p,,Box Score,,Portland Trail Blazers,W,,119,117,46,17,W 2,
64,"Sun, Mar 3, 2019",6:00p,,Box Score,@,Detroit Pistons,L,OT,107,112,46,18,L 1,
65,"Tue, Mar 5, 2019",8:00p,,Box Score,,Houston Rockets,L,,95,107,46,19,L 2,
66,"Fri, Mar 8, 2019",8:00p,,Box Score,@,New Orleans Pelicans,W,,127,104,47,19,W 1,
67,"Sun, Mar 10, 2019",3:30p,,Box Score,@,Miami Heat,W,,125,104,48,19,W 2,
68,"Mon, Mar 11, 2019",7:00p,,Box Score,@,Cleveland Cavaliers,L,,101,126,48,20,L 1,
69,"Thu, Mar 14, 2019",8:00p,,Box Score,,Los Angeles Lakers,W,,111,98,49,20,W 1,
70,"Sun, Mar 17, 2019",4:00p,,Box Score,@,Detroit Pistons,L,,107,110,49,21,L 1,
71,"Mon, Mar 18, 2019",7:30p,,Box Score,,New York Knicks,W,,128,92,50,21,W 1,
72,"Wed, Mar 20, 2019",9:30p,,Box Score,@,Oklahoma City Thunder,W,OT,123,114,51,21,W 2,
73,"Fri, Mar 22, 2019",7:30p,,Box Score,,Oklahoma City Thunder,L,,109,116,51,22,L 1,
74,"Sun, Mar 24, 2019",6:00p,,Box Score,,Charlotte Hornets,L,,114,115,51,23,L 2,
75,"Tue, Mar 26, 2019",7:30p,,Box Score,,Chicago Bulls,W,,112,103,52,23,W 1,
76,"Thu, Mar 28, 2019",7:30p,,Box Score,@,New York Knicks,W,,117,92,53,23,W 2,
77,"Sat, Mar 30, 2019",8:00p,,Box Score,@,Chicago Bulls,W,,124,101,54,23,W 3,
78,"Mon, Apr 1, 2019",7:30p,,Box Score,,Orlando Magic,W,,121,109,55,23,W 4,
79,"Wed, Apr 3, 2019",7:30p,,Box Score,@,Brooklyn Nets,W,,115,105,56,23,W 5,
80,"Fri, Apr 5, 2019",7:00p,,Box Score,@,Charlotte Hornets,L,,111,113,56,24,L 1,
G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
81,"Sun, Apr 7, 2019",12:00p,,Box Score,,Miami Heat,W,OT,117,109,57,24,W 1,
82,"Tue, Apr 9, 2019",8:00p,,Box Score,@,Minnesota Timberwolves,W,,120,100,58,24,W 2,
