G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Notes
1,"Tue, Oct 16, 2018",10:30p,,Box Score,,Oklahoma City Thunder,W,,108,100,1,0,W 1,
2,"Fri, Oct 19, 2018",10:30p,,Box Score,@,Utah Jazz,W,,124,123,2,0,W 2,
3,"Sun, Oct 21, 2018",8:00p,,Box Score,@,Denver Nuggets,L,,98,100,2,1,L 1,
4,"Mon, Oct 22, 2018",10:30p,,Box Score,,Phoenix Suns,W,,123,103,3,1,W 1,
5,"Wed, Oct 24, 2018",10:30p,,Box Score,,Washington Wizards,W,,144,122,4,1,W 2,
6,"Fri, Oct 26, 2018",7:30p,,Box Score,@,New York Knicks,W,,128,100,5,1,W 3,
7,"Sun, Oct 28, 2018",5:00p,,Box Score,@,Brooklyn Nets,W,,120,114,6,1,W 4,
8,"Mon, Oct 29, 2018",8:00p,,Box Score,@,Chicago Bulls,W,,149,124,7,1,W 5,
9,"Wed, Oct 31, 2018",10:30p,,Box Score,,New Orleans Pelicans,W,,131,121,8,1,W 6,
10,"Fri, Nov 2, 2018",10:30p,,Box Score,,Minnesota Timberwolves,W,,116,99,9,1,W 7,
11,"Mon, Nov 5, 2018",10:30p,,Box Score,,Memphis Grizzlies,W,,117,101,10,1,W 8,
12,"Thu, Nov 8, 2018",10:30p,,Box Score,,Milwaukee Bucks,L,,111,134,10,2,L 1,
13,"Sat, Nov 10, 2018",8:30p,,Box Score,,Brooklyn Nets,W,,116,100,11,2,W 1,
14,"Mon, Nov 12, 2018",10:30p,,Box Score,@,Los Angeles Clippers,L,OT,116,121,11,3,L 1,
15,"Tue, Nov 13, 2018",10:30p,,Box Score,,Atlanta Hawks,W,,110,103,12,3,W 1,
16,"Thu, Nov 15, 2018",8:00p,,Box Score,@,Houston Rockets,L,,86,107,12,4,L 1,
17,"Sat, Nov 17, 2018",8:30p,,Box Score,@,Dallas Mavericks,L,,109,112,12,5,L 2,
18,"Sun, Nov 18, 2018",7:00p,,Box Score,@,San Antonio Spurs,L,,92,104,12,6,L 3,
19,"Wed, Nov 21, 2018",10:30p,,Box Score,,Oklahoma City Thunder,L,,95,123,12,7,L 4,
20,"Fri, Nov 23, 2018",10:30p,,Box Score,,Portland Trail Blazers,W,,125,97,13,7,W 1,
G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,"Sat, Nov 24, 2018",8:30p,,Box Score,,Sacramento Kings,W,,117,116,14,7,W 2,
22,"Mon, Nov 26, 2018",10:30p,,Box Score,,Orlando Magic,W,,116,110,15,7,W 3,
23,"Thu, Nov 29, 2018",8:00p,,Box Score,@,Toronto Raptors,L,OT,128,131,15,8,L 1,
24,"Sat, Dec 1, 2018",7:00p,,Box Score,@,Detroit Pistons,L,,102,111,15,9,L 2,
25,"Mon, Dec 3, 2018",7:30p,,Box Score,@,Atlanta Hawks,W,,128,111,16,9,W 1,
26,"Wed, Dec 5, 2018",7:00p,,Box Score,@,Cleveland Cavaliers,W,,129,105,17,9,W 2,
27,"Fri, Dec 7, 2018",9:30p,,Box Score,@,Milwaukee Bucks,W,,105,95,18,9,W 3,
28,"Mon, Dec 10, 2018",10:30p,,Box Score,,Minnesota Timberwolves,W,,116,108,19,9,W 4,
29,"Wed, Dec 12, 2018",10:30p,,Box Score,,Toronto Raptors,L,,93,113,19,10,L 1,
30,"Fri, Dec 14, 2018",10:00p,,Box Score,@,Sacramento Kings,W,,130,125,20,10,W 1,
31,"Mon, Dec 17, 2018",10:30p,,Box Score,,Memphis Grizzlies,W,,110,93,21,10,W 2,
32,"Wed, Dec 19, 2018",9:00p,,Box Score,@,Utah Jazz,L,,103,108,21,11,L 1,
33,"Sat, Dec 22, 2018",8:30p,,Box Score,,Dallas Mavericks,W,,120,116,22,11,W 1,
34,"Sun, Dec 23, 2018",8:30p,,Box Score,,Los Angeles Clippers,W,,129,127,23,11,W 2,
35,"Tue, Dec 25, 2018",8:00p,,Box Score,,Los Angeles Lakers,L,,101,127,23,12,L 1,
36,"Thu, Dec 27, 2018",10:30p,,Box Score,,Portland Trail Blazers,L,OT,109,110,23,13,L 2,
37,"Sat, Dec 29, 2018",10:00p,,Box Score,@,Portland Trail Blazers,W,,115,105,24,13,W 1,
38,"Mon, Dec 31, 2018",9:00p,,Box Score,@,Phoenix Suns,W,,132,109,25,13,W 2,
39,"Thu, Jan 3, 2019",10:30p,,Box Score,,Houston Rockets,L,OT,134,135,25,14,L 1,
40,"Sat, Jan 5, 2019",10:00p,,Box Score,@,Sacramento Kings,W,,127,123,26,14,W 1,
G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
41,"Tue, Jan 8, 2019",10:30p,,Box Score,,New York Knicks,W,,122,95,27,14,W 2,
42,"Fri, Jan 11, 2019",10:30p,,Box Score,,Chicago Bulls,W,,146,109,28,14,W 3,
43,"Sun, Jan 13, 2019",7:00p,,Box Score,@,Dallas Mavericks,W,,119,114,29,14,W 4,
44,"Tue, Jan 15, 2019",9:00p,,Box Score,@,Denver Nuggets,W,,142,111,30,14,W 5,
45,"Wed, Jan 16, 2019",10:30p,,Box Score,,New Orleans Pelicans,W,,147,140,31,14,W 6,
46,"Fri, Jan 18, 2019",10:30p,,Box Score,@,Los Angeles Clippers,W,,112,94,32,14,W 7,
47,"Mon, Jan 21, 2019",10:30p,,Box Score,@,Los Angeles Lakers,W,,130,111,33,14,W 8,
48,"Thu, Jan 24, 2019",8:00p,,Box Score,@,Washington Wizards,W,,126,118,34,14,W 9,
49,"Sat, Jan 26, 2019",8:30p,,Box Score,@,Boston Celtics,W,,115,111,35,14,W 10,
50,"Mon, Jan 28, 2019",7:00p,,Box Score,@,Indiana Pacers,W,,132,100,36,14,W 11,
51,"Thu, Jan 31, 2019",10:30p,,Box Score,,Philadelphia 76ers,L,,104,113,36,15,L 1,
52,"Sat, Feb 2, 2019",8:30p,,Box Score,,Los Angeles Lakers,W,,115,101,37,15,W 1,
53,"Wed, Feb 6, 2019",10:30p,,Box Score,,San Antonio Spurs,W,,141,102,38,15,W 2,
54,"Fri, Feb 8, 2019",9:00p,,Box Score,@,Phoenix Suns,W,,117,107,39,15,W 3,
55,"Sun, Feb 10, 2019",8:30p,,Box Score,,Miami Heat,W,,120,118,40,15,W 4,
56,"Tue, Feb 12, 2019",10:30p,,Box Score,,Utah Jazz,W,,115,108,41,15,W 5,
57,"Wed, Feb 13, 2019",10:30p,,Box Score,@,Portland Trail Blazers,L,,107,129,41,16,L 1,
58,"Thu, Feb 21, 2019",10:30p,,Box Score,,Sacramento Kings,W,,125,123,42,16,W 1,
59,"Sat, Feb 23, 2019",8:30p,,Box Score,,Houston Rockets,L,,112,118,42,17,L 1,
60,"Mon, Feb 25, 2019",7:00p,,Box Score,@,Charlotte Hornets,W,,121,110,43,17,W 1,
G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
61,"Wed, Feb 27, 2019",7:30p,,Box Score,@,Miami Heat,L,,125,126,43,18,L 1,
62,"Thu, Feb 28, 2019",7:00p,,Box Score,@,Orlando Magic,L,,96,103,43,19,L 2,
63,"Sat, Mar 2, 2019",8:30p,,Box Score,@,Philadelphia 76ers,W,,120,117,44,19,W 1,
64,"Tue, Mar 5, 2019",10:30p,,Box Score,,Boston Celtics,L,,95,128,44,20,L 1,
65,"Fri, Mar 8, 2019",10:30p,,Box Score,,Denver Nuggets,W,,122,105,45,20,W 1,
66,"Sun, Mar 10, 2019",8:30p,,Box Score,,Phoenix Suns,L,,111,115,45,21,L 1,
67,"Wed, Mar 13, 2019",9:30p,,Box Score,@,Houston Rockets,W,,106,104,46,21,W 1,
68,"Sat, Mar 16, 2019",8:30p,,Box Score,@,Oklahoma City Thunder,W,,110,88,47,21,W 2,
69,"Mon, Mar 18, 2019",8:00p,,Box Score,@,San Antonio Spurs,L,,105,111,47,22,L 1,
70,"Tue, Mar 19, 2019",8:00p,,Box Score,@,Minnesota Timberwolves,W,,117,107,48,22,W 1,
71,"Thu, Mar 21, 2019",10:30p,,Box Score,,Indiana Pacers,W,,112,89,49,22,W 2,
72,"Sat, Mar 23, 2019",8:30p,,Box Score,,Dallas Mavericks,L,,91,126,49,23,L 1,
73,"Sun, Mar 24, 2019",8:30p,,Box Score,,Detroit Pistons,W,,121,114,50,23,W 1,
74,"Wed, Mar 27, 2019",8:00p,,Box Score,@,Memphis Grizzlies,W,,118,103,51,23,W 2,
75,"Fri, Mar 29, 2019",8:00p,,Box Score,@,Minnesota Timberwolves,L,OT,130,131,51,24,L 1,
76,"Sun, Mar 31, 2019",8:30p,,Box Score,,Charlotte Hornets,W,,137,90,52,24,W 1,
77,"Tue, Apr 2, 2019",10:30p,,Box Score,,Denver Nuggets,W,,116,102,53,24,W 2,
78,"Thu, Apr 4, 2019",10:30p,,Box Score,@,Los Angeles Lakers,W,,108,90,54,24,W 3,
79,"Fri, Apr 5, 2019",10:30p,,Box Score,,Cleveland Cavaliers,W,,120,114,55,24,W 4,
80,"Sun, Apr 7, 2019",8:30p,,Box Score,,Los Angeles Clippers,W,,131,104,56,24,W 5,
G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
81,"Tue, Apr 9, 2019",8:00p,,Box Score,@,New Orleans Pelicans,W,,112,103,57,24,W 6,
82,"Wed, Apr 10, 2019",8:00p,,Box Score,@,Memphis Grizzlies,L,,117,132,57,25,L 1,
