,Date,Game Location,ID,Tweet,User
0,2018-10-20 03:12:33+00:00,Milwaukee,1053484086562578432," @giannis_an34!!!! #onmilwaukee #fearthedeer #bucks #milwaukee #nba #openingnight : @TheEarlyReg @Milwaukee, Wisconsin https://www.instagram.com/p/BpI689enRkn/?utm_source=ig_twitter_share&amp;igshid=1hu7vvx039oel",onmilwaukee
1,2018-10-23 03:25:33+00:00,Milwaukee,1054574520386838528,"@giannis_an34 31 points 15 rebounds now has 12 career games with at least 25 points and 15 rebounds, the most by any Bucks player since 1984. #FearTheDeer #NewYorkForever . . . #nba… https://www.instagram.com/p/BpQqZJiAz1A/?utm_source=ig_twitter_share&amp;igshid=11ujiiz57fvu1",MikeandDrewShow
2,2018-10-25 03:06:52+00:00,Minneapolis,1055294594739367936,"Things have changed! You actually want to watch these 2 teams again!! Franchise players of the future! #GIANNIS #BEN #JOEL @Plymouth, Minnesota https://www.instagram.com/p/BpVx5bGH3so/?utm_source=ig_twitter_share&amp;igshid=16yayei3dlnnc",OnelevelSports
3,2018-10-28 00:54:36+00:00,Milwaukee,1056348473384157184,@giannis_an34 being introduced to a nice Saturday crowd! @bucks versus orlandomagic at the fiservforum Date night! #fiservforum #fearthedeer #bucks #winning #greekfreakstreak @Fiserv Forum https://www.instagram.com/p/BpdRhZvgwIA/?utm_source=ig_twitter_share&amp;igshid=1lad8wwd5nj6w,missphaven
4,2018-11-19 22:02:56+00:00,Milwaukee,1064640190071754752,Look what i Won From the @wilottery!! A @nike @giannis_an34 Icon Jersey!! Hopefully next time I'll win a Billion Dollars!! Thanks Wisconsin Lottery!! #WisconsinLottery… https://www.instagram.com/p/BqYMBdPhg7C/?utm_source=ig_twitter_share&amp;igshid=1livcby88as7c,MISTAMARCUS
5,2018-11-22 01:09:44+00:00,Milwaukee,1065411978661953538,We have Giannis. @Milwaukee Bucks at Bradley Center https://www.instagram.com/p/BqdrH9DH6x-/?utm_source=ig_twitter_share&amp;igshid=1lu82xgyr61sy,ColinDeval
6,2018-11-22 03:54:04+00:00,Milwaukee,1065453331781480448,#Giannis :). @Bucks win by 43 points over Portland! @Fiserv Forum https://www.instagram.com/p/Bqd97smnTR-/?utm_source=ig_twitter_share&amp;igshid=1nxfry3rox88z,emwizzle
7,2018-11-26 03:59:52+00:00,Milwaukee,1066904345340518400,paid $37 to see @giannis_an34 and compny blow out the sacramentokings in the first half @Milwaukee Bucks at Bradley Center https://www.instagram.com/p/BqoRwn_n_At/?utm_source=ig_twitter_share&amp;igshid=o7bhfg0v3oxz,ericluis_
8,2018-12-06 02:49:18+00:00,Milwaukee,1070510464935825409,@giannis_an34 bullies Blake in the paint for the poster you ain’t have to do my boy like that #DetroitBasketball #FearTheDeer . . . #nba #thisiswhyweplay #mikeanddrewsports… https://www.instagram.com/p/BrB5MSKAD0A/?utm_source=ig_twitter_share&amp;igshid=11ecj6u82s7jh,MikeandDrewShow
9,2018-12-30 00:18:42+00:00,Milwaukee,1079169872674910210,Bucket list check! Watching #GreekFreak @giannis_an34 play #fiservforum ! He is unreal in person @bucks! #hoopdreams #ballers @Fiserv Forum https://www.instagram.com/p/Br_bfrBF_1h/?utm_source=ig_twitter_share&amp;igshid=ugqwz4xx603e,AndreaMockSC
10,2018-12-30 00:29:11+00:00,Milwaukee,1079172511743598592,Another MVP triple-double performance from Giannis! Another Bucks Win! Best record in the NBA Baby! #fearthedeer #CantStopGiannis @Fiserv Forum https://www.instagram.com/p/Br_csaABSC_V49Fg1CYBlS8_oxYMqu_d2J7ud00/?utm_source=ig_twitter_share&amp;igshid=kqib5sivjvja,AshleyGameOver
11,2018-12-30 02:00:57+00:00,Milwaukee,1079195605560307712,First game at the new arena and saw a Giannis triple double. Needless to say it was a good day. #FearTheDeer @Fiserv Forum https://www.instagram.com/p/Br_nMezl9VFw8N-FHiSQThH4m8DkS48KVdGWtg0/?utm_source=ig_twitter_share&amp;igshid=dm6wagdzfcuq,JCaroline21
12,2019-01-02 01:53:22+00:00,Milwaukee,1080280860807651333,Welcome to 2019 @giannis_an34 did my boy dirty #DetroitBasketball #FearTheDeer . . . #nba #thisiswhyweplay #mikeanddrewsports #antetokounmpo #giannisantetokounmpo #blakegriffin… https://www.instagram.com/p/BsHUnpdAj9k/?utm_source=ig_twitter_share&amp;igshid=a20qepuj69xj,MikeandDrewShow
13,2019-01-02 03:01:56+00:00,Milwaukee,1080298114274263041,The level of disrespect @giannis_an34 shows when he posterizes people is insane lol. Here he is starting the year off right. . . . . #giannisantetokounmpo #thegreekfreak #milwaukeebucks… https://www.instagram.com/p/BsHb2_rFi4V/?utm_source=ig_twitter_share&amp;igshid=tzygqt4bqs4o,Jboltonshow
14,2019-01-02 03:27:52+00:00,Milwaukee,1080304642238623745,Had to bring Grandpa to see a #Bucks win #NBA #mke #Buckswin #newyearsameme #gobucks #bucksinsix #splashmountain #Giannis #2019 #bestteamintheNBA @Fiserv Forum https://www.instagram.com/p/BsHff14l9vJ/?utm_source=ig_twitter_share&amp;igshid=1dovirobqi205,aicwebbtmac
15,2019-01-02 04:46:10+00:00,Milwaukee,1080324347145916416,Watching @bucks vs detroitpistons #fearthedeer #NBA @nba @giannis_an34 vs @blakegriffin32 #happynewyear #2019 #milwaukee #winsconsin @Fiserv Forum https://www.instagram.com/p/BsHoe5djHdF/?utm_source=ig_twitter_share&amp;igshid=1x7jo4enzbk77,StalinRamirez
16,2019-01-02 05:07:43+00:00,Milwaukee,1080329770141855744,"Giannis with the free throw and its good. Reggie Jackson with the ball dribbling down the court, crosses over takes the screen by Andre Drummond cuts to the basket passes it, cut inside… https://www.instagram.com/p/BsHqyhrDt0E/?utm_source=ig_twitter_share&amp;igshid=26wr2zbuzf66",StalinRamirez
17,2019-01-02 05:33:53+00:00,Milwaukee,1080336356784652289,Great way to witness one of the greatest Giannis dunks ever. #fearthedeer @Fiserv Forum https://www.instagram.com/p/BsHt8vQl7kH5oFkSbrF_Mvrsh26yRrc1p45a280/?utm_source=ig_twitter_share&amp;igshid=102z6srdomq76,DSox
18,2019-01-02 09:30:25+00:00,Milwaukee,1080395880383959040,Oh my... GIANNIS! . Victoria de los Bucks ante los Pistons (98-121). . ( Video: @RajaThat_) . #giannisantetokounmpo #antetokounmpo #milwaukee #bucks #dunk #mate #slam #posterdunk #nba… https://www.instagram.com/p/BsII2gaFHY5/?utm_source=ig_twitter_share&amp;igshid=oem9nhdblej8,whataplaynba
19,2019-01-06 03:01:19+00:00,Milwaukee,1081747510870315008,Taking in a little Bucks vs Raptors action with these two. Impressive mental stamina by by both teams so far this season. #beastsoftheast #raptors #bucks #fiservforum #kawhi #giannis… https://www.instagram.com/p/BsRvqzhnJ_4/?utm_source=ig_twitter_share&amp;igshid=16hwil9tdkmry,courtexperform
20,2019-01-06 04:30:38+00:00,Milwaukee,1081769987759587329,Kawhi Leonard 30 points 6 rebs and 6 assists in Battle of the East in Milwaukee #WeTheNorth #FearTheDeer . . . #nba #thisiswhyweplay #giannisantetokounmpo #kawhileonard #giannis… https://www.instagram.com/p/BsR5qAzg6Qp/?utm_source=ig_twitter_share&amp;igshid=k3glypjbmdoz,MikeandDrewShow
21,2019-01-06 04:31:17+00:00,Milwaukee,1081770154218975232,Saw my first Bucks game tonight. It’s incredible how much Giannis brings to this team and this franchise. Tough loss but couldn’t hit the shots in the 3rd or 4th. #GoBucks,BryantPlano
22,2019-01-21 20:25:05+00:00,Milwaukee,1087446002200649728,I came to see Dirk & Doncic. She came to see Giannis... for the third time. @Fiserv Forum https://www.instagram.com/p/Bs6NJ_eBO_Q/?utm_source=ig_twitter_share&amp;igshid=15gl0hr5mevl8,StevenAdams_Jr
23,2019-01-21 21:43:39+00:00,Milwaukee,1087465773377966081,Giannis adds Luka to the long list of Posters he has dished out so far this season! . . . . #giannisantetokounmpo #greekfreak #milwaukeebucks #posterized #facial #lukadoncic #nba #mlkday… https://www.instagram.com/p/Bs6XeNbFSBZ/?utm_source=ig_twitter_share&amp;igshid=2rvx86myqk1q,Jboltonshow
24,2019-01-22 00:48:51+00:00,Milwaukee,1087512379829731328,"@giannis_an34 with 31pts, 15rebs &amp; 5asts vs the Mavs on #MLKDAY! Final Score: (34-12) 1st MIL 116 (20-26) 13th DAL 106 @Fiserv Forum https://www.instagram.com/p/Bs6aQl8gvuy/?utm_source=ig_twitter_share&amp;igshid=1h89w2kzab0qt",atbnews_
25,2019-02-03 22:31:29+00:00,Brooklyn,1092188853614465024,Pick your starting 5 vs Brooklyn tomorrow night. Someone has to step in for Giannis! #Milwaukee #Bucks #NBA @Brookfield Place New York https://www.instagram.com/p/Btb72HBBZUd/?utm_source=ig_twitter_share&amp;igshid=30d8dbd59he2,cph90
26,2019-02-18 01:41:43+00:00,Milwaukee,1097310160014307328,Since im at work i wont be able to Watch the WHOLE 2019 @nba All Star Game but thanks to my Phone im able to Catch SOME of the All Star Game! Lets Go Team Giannis! Hope @Khris22m gets… https://www.instagram.com/p/BuAUvtbhjFv/?utm_source=ig_twitter_share&amp;igshid=16nnafas2i8v4,MISTAMARCUS
27,2019-02-20 15:34:27+00:00,Milwaukee,1098244497220255745,"90% dm me to purchase. #Milwaukee @giannis_an34 @Milwaukee, Wisconsin https://www.instagram.com/p/BuG9fcwhHzv/?utm_source=ig_twitter_share&amp;igshid=1s49rah5kheji",OGLandonK
28,2019-02-21 11:47:28+00:00,Milwaukee,1098549763925004288," Giannis. I believe this style perfectly fits the Greek Freak, who looks like a classic statue. ~ ~ #nba #nbaita #nbatipo #nike #nikebasketball #bucks #giannis #milwaukee #antetokounmpo… https://www.instagram.com/p/BuJIdLylRnK/?utm_source=ig_twitter_share&amp;igshid=pm6r03xgqg7c",fabbcaso
