,Date,Game Location,ID,Tweet,User
0,2018-10-10 21:52:18+00:00,Milwaukee,1050142000819912704,At picknsavestores getting ready to Meet Eric Bledsoe aka Mr 4th Quarter aka @EBled2!!! Really Excited about this Upcoming Season! #WelcomeToTheBledshow #Mr4thQuarter #PicknSave… https://www.instagram.com/p/BoxLJMlhjkH/?utm_source=ig_twitter_share&amp;igshid=q27wm6v6n9ii,MISTAMARCUS
1,2018-10-10 23:49:29+00:00,Milwaukee,1050171490719723521,"Just got back from Meeting Mr 4th Quarter aka @EBled2 at Pick 'n Save!!! When i called him ""Mr. Bledshow"" He started cheesin!! Lol! #WelcomeToTheBledshow #Mr4thQuarter #PicknSave… https://www.instagram.com/p/BoxYjeJhDsw/?utm_source=ig_twitter_share&amp;igshid=1auipnv9yyobp",MISTAMARCUS
2,2018-10-14 00:56:08+00:00,Milwaukee,1051275426222526467,I met Milwaukee Bucks point guard Eric Bledsoe earlier this week at an autograph signing. Really nice guy who I hope has a great season. He noticed my hat I was wearing and we talked… https://www.instagram.com/p/Bo5OkW2nQQQ/?utm_source=ig_twitter_share&amp;igshid=1xv9cxvq8qvxd,vtdman94
3,2018-11-07 13:03:37+00:00,Portland,1060155815343124480,@CJMcCollum went off for 40 points 6 rebounds and 5 assists #FearTheDeer #RipCity . . . #nba #evanturner #damianlillard #damedolla #cjmccollum #sethcurry #antetokounmpo #ericbledsoe… https://www.instagram.com/p/Bp4UU0IAxl-/?utm_source=ig_twitter_share&amp;igshid=v9qddqe7mv8v,MikeandDrewShow
4,2018-11-24 04:17:56+00:00,Milwaukee,1066184114171199490,Familiar territory for JCrossover #FearTheDeer #TimeToRise . . . #nba #jamalcrawford #devinbooker #antetokounmpo #ericbledsoe #thisiswhyweplay #deandreayton… https://www.instagram.com/p/BqjJWDEgiQj/?utm_source=ig_twitter_share&amp;igshid=6482pc3t3w0l,MikeandDrewShow
5,2018-11-25 03:04:39+00:00,Milwaukee,1066528058797146112,@giannis_an34 on a different level #FearTheDeer #GoSpursGo . . . . #nba #demarderozan #spursnation #dejountemurray #lamarcusaldridge #antetokounmpo #ericbledsoe… https://www.instagram.com/p/BqlmMHLgLR_/?utm_source=ig_twitter_share&amp;igshid=2aj8ib3xxs0j,MikeandDrewShow
6,2018-11-29 02:49:10+00:00,Milwaukee,1067973716565508096, bro @giannis_an34 barley has to jump bangs on former teammate @jabariparker #FearTheDeer #BullsNation . . . #nba #bobbyportis #laurimarkkanen #zachlavine #antetokounmpo #ericbledsoe… https://www.instagram.com/p/Bqv31xygQwi/?utm_source=ig_twitter_share&amp;igshid=155lho5vyhea9,MikeandDrewShow
7,2018-12-10 01:07:26+00:00,Toronto,1071934382099914753,@giannis_an34 throws down the huge flush #WeTheNorth #FearTheDeer . . . . #nba #thisiswhyweplay #giannisantetokounmpo #kawhileonard #giannis #malcolmbrogdon #ericbledsoe… https://www.instagram.com/p/BrMA86TgKjg/?utm_source=ig_twitter_share&amp;igshid=1fxrchq8j9cv2,MikeandDrewShow
8,2018-12-11 04:51:07+00:00,Phoenix,1072353058535940106,Don’t care too much for either teams so I just got a picture of Brittany griner and yes I still wear my Eric Bledsoe shirt from 4 years ago @Talking… https://www.instagram.com/p/BrO_kFVBZr_s6cuq1gSgRqTltuH36uEOyVWVIs0/?utm_source=ig_twitter_share&amp;igshid=18nb90bb2fu75,Conner21D
9,2018-12-13 02:26:04+00:00,Indianapolis,1073041330861830145,18-10 Let's Go!! #PacersWin #MILvsIND #Milwaukee #Bucks #MilwaukeeBucks #Indiana #Pacers #IndianaPacers #EricBledsoe {26 pts} #BrookLopez {15 pts} #GiannisAntetokounmpo {12 pts 10 rebs}… https://www.instagram.com/p/BrT4gJuAzt_/?utm_source=ig_twitter_share&amp;igshid=3g70x6i054lx,Randy_Little
10,2018-12-14 17:10:13+00:00,Cleveland,1073626223585026053,Nothing but S/O my bro @EBled2 #nevernomore #klutchsports @The Duck Island Club https://www.instagram.com/p/BrYCZmnFLu3/?utm_source=ig_twitter_share&amp;igshid=1mx2m2wy64p4n,81smallz
11,2018-12-20 03:56:15+00:00,Milwaukee,1075600743724433413,@giannis_an34 abusing the rim #DoItBig #FearTheDeer . . . . #nba #thisiswhyweplay #giannisantetokounmpo #giannis #malcolmbrogdon #ericbledsoe #jrueholiday #khrismiddleton… https://www.instagram.com/p/BrmEKaRAlj8/?utm_source=ig_twitter_share&amp;igshid=1vbvx1fyhdnq3,MikeandDrewShow
12,2018-12-22 03:59:36+00:00,Milwaukee,1076326361080451075,@giannis_an34 The Greek Freak #FearTheDeer #CUsRise . . . . #nba #kyrieirving #terryrozier #gordonhayward #dontedivincenzo #kyrie #antetokounmpo #ericbledsoe #thisiswhyweplay… https://www.instagram.com/p/BrrOSMDgnBh/?utm_source=ig_twitter_share&amp;igshid=17m9efiva08ku,MikeandDrewShow
13,2018-12-22 04:01:37+00:00,Milwaukee,1076326868050214912,Jaylen Brown stares down Giannis after he dunks on him #FearTheDeer #CUsRise . . . . #nba #kyrieirving #terryrozier #gordonhayward #dontedivincenzo #kyrie #antetokounmpo #ericbledsoe… https://www.instagram.com/p/BrrOeDZgxLF/?utm_source=ig_twitter_share&amp;igshid=141r49zcqmew,MikeandDrewShow
14,2019-01-12 00:21:00+00:00,Washington D.C.,1083881493745721344,"After a Brook Lopez blocked shot, @EBled2 cruises in for a layup. #wizbucks @washinformer @Capital One Arena https://www.instagram.com/p/Bsg5-quBEtc/?utm_source=ig_twitter_share&amp;igshid=5rgtxxc12ntg",jabariwill
15,2019-01-12 01:29:28+00:00,Washington D.C.,1083898725725073409,@EBled2 knocks down second 3-pointer to tie game at 63 in 3rd quarter. #wizbucks @washinformer @Capital One Arena https://www.instagram.com/p/BshBzvJBOtG/?utm_source=ig_twitter_share&amp;igshid=19d7vtr7xygzc,jabariwill
16,2019-01-12 01:36:41+00:00,Washington D.C.,1083900539795062786,@EBled2 scores his 10th point of the 3rd quarter on this tough layup. #wizbucks @washinformer @Capital One Arena https://www.instagram.com/p/BshCpJChH6M/?utm_source=ig_twitter_share&amp;igshid=vkb9aogg2y6g,jabariwill
17,2019-01-12 01:54:41+00:00,Washington D.C.,1083905070939467776,Did @EBled2 miss 2nd free throw??? #wizbucks @washinformer @Capital One Arena https://www.instagram.com/p/BshEvQLhSP-/?utm_source=ig_twitter_share&amp;igshid=vx632cq9jrzi,jabariwill
