,Date,Game Location,ID,Tweet,User
0,2018-10-08 20:07:45+00:00,Brooklyn,1.0494664113981153e+18,The Knicks still suck #gobulls @Madison Square Garden (1890) ,itsthatmanhowie
1,2018-10-08 20:13:07+00:00,Brooklyn,1.049467764237357e+18,Knicks tip-off!!! @The Garden ,petercbernstein
2,2018-10-08 21:14:43+00:00,New York,1.049483264757588e+18,I’m bad luck for the Knicks. Thanks @tchristopoul! @Madison Square Garden ,APTheAngel
3,2018-10-08 22:15:42+00:00,Brooklyn,1.049498613481726e+18,NY KNICKS vs WASHINGTON WIZARDS #evaedavide #instamoment #picoftheday #evaedavideweddingedition #noi #love #honeymoon #viaggiodinozze #travel #ny #usa #preseason #nba @Madison Square Garden ,EvaCoppola
4,2018-10-09 05:05:06+00:00,Brooklyn,1.049601639286358e+18,Chris Bosh: Fizdale will land Knicks free-agent star they need ,Sigmaairnyc
5,2018-10-09 14:16:13+00:00,New York,1.0497403342075617e+18,"Madison Square garden Home of the Knicks. @New York, New York ",Mobisprings
6,2018-10-09 18:34:26+00:00,Brooklyn,1.0498053168572211e+18,Last night it was the New York Knicks tonight is game 4!!!!!! @Yankee Stadium ,bronx427
7,2018-10-09 23:11:14+00:00,Brooklyn,1.0498749765289902e+18,Knicks’ expensive G-League team adds an Ivy League dreamer ,Sigmaairnyc
8,2018-10-09 23:31:00+00:00,Brooklyn,1.0498799515273462e+18,"Baseball over, which means that Knicks season is officially BACK! #OneTeamOneNewYork #TB @The Garden ",The_LeKnicks
9,2018-10-10 16:52:14+00:00,Brooklyn,1.0501419844118036e+18,jimmy butler to the knicks b,ipee_blacklabel
10,2018-10-10 17:14:58+00:00,Brooklyn,1.0501477066922312e+18,Knicks’ tricky plan to get Mitchell Robinson a ton of playing time ,Sigmaairnyc
11,2018-10-10 21:14:32+00:00,Brooklyn,1.0502079939697377e+18,Hawks open the season at MSG against the Knicks. I might have to pull up,brandonjhill
