,Date,Game Location,ID,Tweet,User
0,2018-10-20 02:41:36+00:00,Los Angeles,1053476296263520256,I Got You! Anytime you fall I am there to pick you up! Win Or Lose! @lakers #PRMoGalWhoLOVESSports @kingjames rajonrondo @ZO2_ stephensonlance @javalemcgee34 @michael8easley @B_Ingram13… https://www.instagram.com/p/BpI2Bg8BYca/?utm_source=ig_twitter_share&amp;igshid=ex7ps7eyjwo7,PR_MoGal
1,2018-10-21 05:59:30+00:00,Los Angeles,1053888486435184640,"In this corner, fighting in the red trunks we’ve got Chris “CP3-piece” Paul vs the new comer, in the yellow trunks Rajon “Right-Left” Rondo. Who ya got in the fair one @cp3 or rajonrondo?… https://www.instagram.com/p/BpLyFvlg3Op/?utm_source=ig_twitter_share&amp;igshid=28uaka6cd17u",TheSource
2,2018-10-21 06:14:45+00:00,Los Angeles,1053892327817637888,The @lakers go down in @kingjames deput at home 124-115. Things got a little heated near the end of the game as @B_Ingram13 pushed @jharden13 then rajonrondo &amp; @cp3 exchanged punches. @… https://www.instagram.com/p/BpL0Gs8AYF0/?utm_source=ig_twitter_share&amp;igshid=otawqbbu9qtc,wwsportsguy
3,2018-10-21 06:45:09+00:00,Los Angeles,1053899975678017536,On sight! . . #CP3 and #Rondo always ready to throw hands #htown ain’t got no punks tho . #houston #rockets #lakers #lebronjames #rajonrondo #chrispaul #beef #nba @Staples Center https://www.instagram.com/p/BpL4FAon0aP/?utm_source=ig_twitter_share&amp;igshid=15wromtoof7fp,HTagBlackoutPod
4,2018-10-21 08:48:42+00:00,Los Angeles,1053931068745629697,Great Laker Game @staplescenter #lakersnation #lakers4life #lakers #lakersgame #l4l rajonrondo @B_Ingram13 @kingjames @lakers #openingnight @floydmayweather #fightnight @Staples Center https://www.instagram.com/p/BpMFxi8h48e/?utm_source=ig_twitter_share&amp;igshid=1xrm7bynlrjpv,rocko714
5,2018-10-21 11:18:02+00:00,Los Angeles,1053968650435215360,Great Laker Game @staplescenter #lakersnation #lakers4life #lakers #lakersgame #l4l rajonrondo @B_Ingram13 @kingjames @lakers #openingnight @floydmayweather #fightnight #wwlg4l… https://www.instagram.com/p/BpMXL3HBg3C/?utm_source=ig_twitter_share&amp;igshid=1hyc98m6aas8d,rocko714
6,2018-10-21 12:45:30+00:00,Los Angeles,1053990660762554368,#Rockets @jharden13 on @cp3 saying rajonrondo spit on him #LakeShow . . . . #nba #thisiswhyweplay #lalakers #labron #bigballerbrand #lonzoball #lakernation #clintcapela… https://www.instagram.com/p/BpMhM6BgxGJ/?utm_source=ig_twitter_share&amp;igshid=1vpkgayudzxgg,MikeandDrewShow
7,2018-10-21 13:32:55+00:00,Los Angeles,1054002595734454272,@B_Ingram13 you a real one! That was #instinctual you went to get #boutthatlife he didn’t want NONE of Debo rajonrondo went to #UK he stay ready @cp3 let me host a celebrity fight for… https://www.instagram.com/p/BpMl-RDAViG/?utm_source=ig_twitter_share&amp;igshid=bkqw0tgwvhyi,MrInfinityTTE
8,2018-10-21 13:55:56+00:00,Los Angeles,1054008385371324416,"#Repost @BBallSociety_ with get_repost ・・・ Chris Paul, Rajon Rondo, and Brandon Ingram throwing punches, mayhem in LA tonight. @Staples Center https://www.instagram.com/p/BpMpTZVno9e/?utm_source=ig_twitter_share&amp;igshid=1srgrrkhwl0hm",Rparksjr85
9,2018-10-21 14:03:03+00:00,Los Angeles,1054010178960527360,guess who has Stupid azz #brandoningram on his #espnfantasy team? smh #nba #fight #chrispaul #cp3 #rondo #rajonrondo #lebronjames #nipseyhussle #travisscott @Staples Center https://www.instagram.com/p/BpMp8SzgRJ3/?utm_source=ig_twitter_share&amp;igshid=u829ljjuiil3,POWTV
