,Date,Game Location,ID,Tweet,User
0,2018-10-16 15:25:57+00:00,Toronto,1052219099911094272,NBA IS BACK! : ( tolecover ) . . . . #torontoraptors #kawhileonard #nba #canada #raptors #sethcurry #kawhi #derozan #dannygreen #kylelowry #jusufnurkic #sergeibaka… https://www.instagram.com/p/Bo_7iYwg2rp/?utm_source=ig_twitter_share&amp;igshid=14na9kf9c438n,MikeandDrewShow
1,2018-10-17 15:44:55+00:00,Toronto,1052586262681542658,Happy home opener day . . . #toronto #raptors #rtz #homeopener #october #17 #legalizeit #yyz #torontoraptors #nba #kawhileonard #kylelowry #nhl #leafs #basketball #fan #scotiabank… https://www.instagram.com/p/BpCiq2kF4FI/?utm_source=ig_twitter_share&amp;igshid=1u5kbittjaxtc,Mr_Fernandes
2,2018-10-17 22:27:46+00:00,Toronto,1052687640238202881,Game #1 . Home opener . . . #toronto #raptors #rtz #homeopener #17 #legalizeit #yyz #torontoraptors #nba #kawhileonard #kylelowry #nhl #leafs #basketball #fan #scotiabank #instagram #abc… https://www.instagram.com/p/BpDQvNxlY59/?utm_source=ig_twitter_share&amp;igshid=5afbz1uokrjl,Mr_Fernandes
3,2018-10-18 01:23:08+00:00,Toronto,1052731772541263872,Kawhi almost caught a body #WeTheNorth #BeTheFight . . . #torontoraptors #kawhileonard #nba #canada #raptors #cleveland #tristanthompson #kawhi #derozan #dannygreen #kylelowry… https://www.instagram.com/p/BpDkxaAg_yq/?utm_source=ig_twitter_share&amp;igshid=5xudpbhxc534,MikeandDrewShow
4,2018-10-19 03:50:55+00:00,Toronto,1053131353087193088,Happy to be a part of the @Klow7 camp! Another great experience. • • • #NBA #KyleLowry #Raptors #WeTheNorth #RTZ #northsidepride #Toronto #northyork #yorkuniversity #the6 #allstar… https://www.instagram.com/p/BpGajHQANNg/?utm_source=ig_twitter_share&amp;igshid=pb4gukubf1e0,tootoo_1
5,2018-10-20 20:22:27+00:00,Toronto,1053743269606293506,Get you a girl that can ball whose tryna 1v1 @tangerinehoops #tangerinehoops #raptors #basketball #raptors #kylelowry #nba @Yonge-Dundas Square https://www.instagram.com/p/BpKwzZdHP0W/?utm_source=ig_twitter_share&amp;igshid=cirgcyh9xiho,chudeardaniel
6,2018-10-21 02:10:38+00:00,Washington D.C.,1053830889854119936,@RealDealBeal23 32 points #WeTheNorth #DCFamily . . . . #torontoraptors #kawhileonard #nba #canada #raptors #markieffmorris #austinrivers #kawhi #bradleybeal #dannygreen #kylelowry… https://www.instagram.com/p/BpLX5jrg531/?utm_source=ig_twitter_share&amp;igshid=xlvzkuwd0acu,MikeandDrewShow
7,2018-10-31 02:20:44+00:00,Toronto,1057457312196149249,Kawhi Leonard having his way with Philly 31 points 7 rebounds #WeTheNorth #HereTheyCome . . . . #nba #wilsonchandler #thisiswhyweplay #philadelphia76ers #kawhileonard #kylelowry… https://www.instagram.com/p/BplJW3OA9Z_/?utm_source=ig_twitter_share&amp;igshid=14964v712x9vu,MikeandDrewShow
8,2018-11-01 21:27:44+00:00,Toronto,1058108354026004480,129-112 win for the Raptors against 76'ers. 10/30/18 #WeTheNorth #Toronto #Raptors #CanadasTeam #Ontario #Basketball #NBA #Philadelphia #AirCanadaCentre #Sports #KyleLowry #KawhiLeonard @… https://www.instagram.com/p/Bppx0hvgWE6/?utm_source=ig_twitter_share&amp;igshid=10b8puq9vox3,Y2INDIAN
9,2018-11-05 03:14:43+00:00,Los Angeles,1059282835620663298,@sergeibaka_7 20 points 8-8 in the first quarter vs @lakers #LakeShow #WeTheNorth . . . #nba #thisiswhyweplay #lalakers #labron #bigballerbrand #lonzoball #lakernation #kylelowry… https://www.instagram.com/p/BpyHyiQgfeE/?utm_source=ig_twitter_share&amp;igshid=1x9w5erh28jzl,MikeandDrewShow
10,2018-11-05 03:14:43+00:00,Los Angeles,1059282835620663298,@sergeibaka_7 20 points 8-8 in the first quarter vs @lakers #LakeShow #WeTheNorth . . . #nba #thisiswhyweplay #lalakers #labron #bigballerbrand #lonzoball #lakernation #kylelowry… https://www.instagram.com/p/BpyHyiQgfeE/?utm_source=ig_twitter_share&amp;igshid=1x9w5erh28jzl,MikeandDrewShow
11,2018-11-12 22:31:48+00:00,Toronto,1062110742797783040,Guess who the B Ball player is?? You’re right Toronto Raptors Kyle Lowry takes some free throws during warm up before a game against the New Orleans Pelicans… https://www.instagram.com/p/BqGN5zUlNs0FrAHnZT4caYGe24i6eGXP2SHdpw0/?utm_source=ig_twitter_share&amp;igshid=1l100qnfsmx2i,nturchiarophoto
12,2018-11-15 03:26:45+00:00,Toronto,1062909743428198401,@Reggiebullock25 gettin off hits the game winner to give us the W! #DetroitBasketball #WeTheNorth . . . #nba #dwyanewade #thisiswhyweplay #andredrummond #blakegriffin #kylelowry… https://www.instagram.com/p/BqL45jhA_Et/?utm_source=ig_twitter_share&amp;igshid=dus4ua0hpq1h,MikeandDrewShow
13,2018-11-15 20:57:17+00:00,Toronto,1063174117170573313,Drake interviews Kyle Lowry Post-game #ao #nba #lol #madlipz #raptors #toronto @Somewhere In Toronto https://www.instagram.com/p/BqNxB7AAxFi/?utm_source=ig_twitter_share&amp;igshid=1rb6nwz74bo7y,yungoat_
14,2018-11-21 02:33:18+00:00,Orlando,1065070619413409797,@DGreen_14 dagger 3 for the win! #WeTheNorth #PureMagic . . . #nba #thisiswhyweplay #aarongordon #mikeanddrewsports #kawhileonard #kylelowry #sergeibaka #kawhi #nikolavucevic… https://www.instagram.com/p/BqbPljiBoTN/?utm_source=ig_twitter_share&amp;igshid=1e993zaqe1lwt,MikeandDrewShow
15,2018-11-22 00:39:05+00:00,Atlanta,1065404265055817729,Caught @raptors guards @Klow7 and @fredvanvleet greeting the fans before tipoff. #truetoatlanta #kylelowry #fredvanfleet #torontoraptors #theseurbantimes… https://www.instagram.com/p/BqdnnrtA7mVr7eoKgzsDsaCqBgOpoOziiYsPP00/?utm_source=ig_twitter_share&amp;igshid=ul2mzogs0iz9,ChevelleCruz
