,Date,Game Location,ID,Tweet,User
0,2018-10-10 14:35:30+00:00,Toronto,1050032078052503552,Let’s goooo . . #tangerine #scotiabankarena #acc #basketball #raptors #corporate #rally @Scotiabank Arena https://www.instagram.com/p/BowY96sgj9u/?utm_source=ig_twitter_share&amp;igshid=1vgvww9cqmlnp,AlexHPLai
1,2018-10-10 14:42:30+00:00,Toronto,1050033837592535040,Excited to get onto the court! . . #tangerine #scotiabankarena #acc #raptors #basketball #corproate #rally #goodtimes #nba @Scotiabank Arena https://www.instagram.com/p/BowZ9N_AHjI/?utm_source=ig_twitter_share&amp;igshid=8zpu1b6d47py,AlexHPLai
2,2018-10-10 14:53:25+00:00,Orlando,1050036587801833472,"Meeting Trezos was AWESOME Check out our YouTube channel ""Raptor Adventures ""to see our Gatorland Vlog @Gatorland Orlando https://www.instagram.com/p/BowbNfcHfSA/?utm_source=ig_twitter_share&amp;igshid=sim9ygi18h5h",RAPtorENTMusic
3,2018-10-10 18:25:37+00:00,Toronto,1050089985922220032,"@fyinktattoos has tatted Drake, Justin Bieber, the Toronto Raptors...and now this knucklehead. #inktober #inktober2018 #tattoo #tattoos #mannyfacestattoo #fyink mannyfacestattoo #basquiat… https://www.instagram.com/p/BowzfbcHPzc/?utm_source=ig_twitter_share&amp;igshid=1mgqb4gjbclc8",Dannysmithxx
4,2018-10-10 20:50:06+00:00,Toronto,1050126348491116544,Shooting at the practice court and meeting Muggsy Bogues . . #teamtangerine #tangerine #nba #raptors #basketball #hoops #poundtherock @Scotiabank Arena https://www.instagram.com/p/BoxEB2Yg2Zj/?utm_source=ig_twitter_share&amp;igshid=j7lo082j1yr,AlexHPLai
5,2018-10-10 22:03:12+00:00,Philadelphia,1050144744565694464,We fought out a good mid-week 2-1 win over Lancaster Bible @rutgers_camden d3soccer @RUC_Raptors #ncaa #college #collegesoccer #rutgers #camden #rutgerscamden #ruc #camdennj #nj #newjersey… https://www.instagram.com/p/BoxMZCrFYMz/?utm_source=ig_twitter_share&amp;igshid=fzo9gg634kje,rucms
6,2018-10-10 23:31:54+00:00,Toronto,1050167065586425858,Next Wednesday's shirt for our Raptors first season game of 2019!! We can't wait for basketball season #letsgoraptors #raptorgirl #NilehElla #thepressleys… https://www.instagram.com/p/BoxWi6DleoXgdby1gA8-uqV31bWGR3J-cN7MKM0/?utm_source=ig_twitter_share&amp;igshid=1jf0b5ax89q5f,watgwanriri
7,2018-10-11 18:25:03+00:00,Chicago,1050452233110863873,Tentative Draft Line-Up These are all subject to change (but things are looking pretty insane.) • American Solera - Goodberry American Solera - Magic Jar Aslin - Laser Raptors Aslin -… https://www.instagram.com/p/BozYOBWFjb2/?utm_source=ig_twitter_share&amp;igshid=19vs43tfbmhzr,TheBeerTemple
8,2018-10-11 20:38:52+00:00,New Orleans,1050485908674367489,2 free @pelicansnba tix v @raptors tonight #courtside behind bench to first patron who asks for them from truck dosjefesbar tonight. 5:00. @Dos Jefes Uptown Cigar Bar https://www.instagram.com/p/BozniNeFnbC/?utm_source=ig_twitter_share&amp;igshid=1v9anwyaqtbx4,TLNola
9,2018-10-11 23:36:55+00:00,Toronto,1050530718516948994,The Cadillac in leg recovery! @RosedaleClubFit nikerunning torontorunner2018 torontorunningcompany @rehabtoq @raptors @mapleleafs fitnessbyjohnny @DavideManca @framefitness… https://www.instagram.com/p/Boz74xghXnc/?utm_source=ig_twitter_share&amp;igshid=nzrv238k217r,FitnessChrisR
