,Date,Game Location,ID,Tweet,User
0,2018-10-16 15:25:57+00:00,Toronto,1052219099911094272,NBA IS BACK! : ( tolecover ) . . . . #torontoraptors #kawhileonard #nba #canada #raptors #sethcurry #kawhi #derozan #dannygreen #kylelowry #jusufnurkic #sergeibaka… https://www.instagram.com/p/Bo_7iYwg2rp/?utm_source=ig_twitter_share&amp;igshid=14na9kf9c438n,MikeandDrewShow
1,2018-10-17 21:59:56+00:00,Toronto,1052680637231054848,New season of @raptors basketball on @OverDrive1050 from 7pm. Really looking forward to Kawhi wearing Raptors Red. A first-look in 90 minutes. #WeTheNorth @Scotiabank Arena https://www.instagram.com/p/BpDNlhrHuwJ/?utm_source=ig_twitter_share&amp;igshid=i3w4liozpg7s,GarethWheeler
2,2018-10-17 22:31:42+00:00,Toronto,1052688630140084224,Is this gonna be our year? 18/19 let gooo @raptors : mffdjky . . . . #raptors #kawhi #rtz #wethenorth #nba #basketball #ballislife #toronto #the6ix #tdot #thesix #northovereverything… https://www.instagram.com/p/BpDRHjxAozo/?utm_source=ig_twitter_share&amp;igshid=nqkxfxzqkn55,DjTriniShotta
3,2018-10-17 22:58:08+00:00,Toronto,1052695284248190977,The calm before the storm. Soooo happy to be back home again!!! This will always be the Air Canada Centre to me. Let’s go Kawhi! Let’s go Raptors!!! @Scotiabank Arena https://www.instagram.com/p/BpDUPoIAnFX/?utm_source=ig_twitter_share&amp;igshid=4o0siqijxgza,jaymleung
4,2018-10-17 23:07:03+00:00,Toronto,1052697529840586757,Kawhi Leonard suiting up for first game with @raptors opening night #WeTheNorth #BeTheFight . . . . #torontoraptors #kawhileonard #nba #canada #raptors #cleveland #tristanthompson… https://www.instagram.com/p/BpDU8MFAqq_/?utm_source=ig_twitter_share&amp;igshid=1jwbut1lr3hkt,MikeandDrewShow
5,2018-10-18 01:23:08+00:00,Toronto,1052731772541263872,Kawhi almost caught a body #WeTheNorth #BeTheFight . . . #torontoraptors #kawhileonard #nba #canada #raptors #cleveland #tristanthompson #kawhi #derozan #dannygreen #kylelowry… https://www.instagram.com/p/BpDkxaAg_yq/?utm_source=ig_twitter_share&amp;igshid=5xudpbhxc534,MikeandDrewShow
6,2018-10-18 04:01:45+00:00,Toronto,1052771692890664960,"The entire @raptors season opener introduction was amazing tonight. The noise when Kawhi Leonard was called, another level. #Toronto brought it tonight. Awesome moment. #wethenorth @… https://www.instagram.com/p/BpD2fsDFMH4/?utm_source=ig_twitter_share&amp;igshid=iff8smk6hf3n",GarethWheeler
7,2018-10-18 11:25:54+00:00,Toronto,1052883463643127808,Kawhi very serious !! . . #kawhileonard #torontoraptors #basketballvideos #viral #nba #basketball #likeforlikes #likevideos #followforfollowback #jamz #slam #thehammer #baloncesto… https://www.instagram.com/p/BpEpBNTjoZo/?utm_source=ig_twitter_share&amp;igshid=18ryx53njwgox,allbasketb0ll
8,2018-10-18 18:56:22+00:00,Toronto,1052996829728538624,"Repost from @raptors “I loved it” Kawhi heard you, TO. #WeTheNorth @Toronto, Ontario https://www.instagram.com/p/BpFdQWNB9lW/?utm_source=ig_twitter_share&amp;igshid=1qg7pr79wn541",KateBeirness
9,2018-10-20 01:45:35+00:00,Toronto,1053462199555911680,Kawhi Leonard is the MVP for tonight,esaliba2
10,2018-10-20 02:57:51+00:00,Toronto,1053480386221760517,Kawhi in bully mode 31 points 10 rebounds #WeTheNorth #CUsRise . . . . #torontoraptors #kawhileonard #nba #canada #raptors #kyrieirving #terryrozier #kawhi #gordonhayward #dannygreen… https://www.instagram.com/p/BpI4g0WgTVR/?utm_source=ig_twitter_share&amp;igshid=fxghii6yyk96,MikeandDrewShow
11,2018-10-20 03:00:29+00:00,Toronto,1053481050297565184,Headband @kyrieirving 21 points and 6 assists #WeTheNorth #CUsRise . . . . #torontoraptors #kawhileonard #nba #canada #raptors #kyrieirving #terryrozier #kawhi #gordonhayward… https://www.instagram.com/p/BpI5b_6gVRQ/?utm_source=ig_twitter_share&amp;igshid=198xap6poxsjq,MikeandDrewShow
12,2018-10-20 14:50:59+00:00,Toronto,1053659852944347136,"Check it out at: https://onblastpodcast.wordpress.com/ @Regran_ed from @shelalexander - LINK IN BIO - Kawhi heard MVP chants, Serge dug into his OKC archives and the #Raptors won their… https://www.instagram.com/p/BpKK4FCg_Lf/?utm_source=ig_twitter_share&amp;igshid=zftl7akcnj4a",Simply_Just_Q
13,2018-10-23 01:11:17+00:00,Toronto,1054540732009246720,Meanwhile down at the Kawhi Leonard show #beastmode #wethenorth #letsgoraptors @Scotiabank Arena https://www.instagram.com/p/BpQa_hFBK1MdoHg9VlHbjAmzCYIq8Yc7ghCTfU0/?utm_source=ig_twitter_share&amp;igshid=gnklp8a0zsp7,aarontoronto
14,2018-10-23 14:20:03+00:00,Toronto,1054739231501733889,Raps vs Hornets night with my other bestie serenaaz__ our newest Kawhi fan! #kawhiordie #dadanddaughterdate #raptorsvshornets @Scotiabank Arena https://www.instagram.com/p/BpR1uPwlKDvXE3xUNHUZalwAjP_gCIE9Sx2NZ40/?utm_source=ig_twitter_share&amp;igshid=1jx4mic75ctcr,kmoniz23
15,2018-10-25 02:16:06+00:00,Toronto,1055281817190842368,Kawhi Leonard another clutch performance 35 points 5 rebounds @raptors nowb4-0 #WeTheNorth #AllEyesNorth . . #torontoraptors #kawhileonard #nba #canada #raptors #twolves… https://www.instagram.com/p/BpVsRv3ghHd/?utm_source=ig_twitter_share&amp;igshid=1d2p8je1tcs07,MikeandDrewShow
16,2018-10-25 22:46:02+00:00,Toronto,1055591340107620357,Toronto Raptors Kawhi Leonard warms up prior to the start of a game against the Charlotte Hornets at the Scotiabank Arena. #kawhileonard #torontoraptors… https://www.instagram.com/p/BpX5NpCgTMgNsZsxQh4qYhq1qX68Rc5rB885gM0/?utm_source=ig_twitter_share&amp;igshid=1lci0rm4f6wn4,nturchiarophoto
17,2018-10-29 19:19:55+00:00,Toronto,1056989022529183749,Yo I swear I saw this guy in line at #Timmys . . . . #raptors #kawhi #rtz #wethenorth #nba #basketball #ballislife #toronto #the6ix #tdot #thesix #northovereverything… https://www.instagram.com/p/Bph0z3Zn2NB/?utm_source=ig_twitter_share&amp;igshid=7feuhkpirdui,DjTriniShotta
18,2018-11-08 19:02:11+00:00,Toronto,1060608437782949889,"Basically Kawhi and me attached at the hip. From nbatvcanada @nbatvcanada last night. Thanks @blackdragonroll @Toronto, Ontario https://www.instagram.com/p/Bp7iukYBLpi/?utm_source=ig_twitter_share&amp;igshid=1sgbl3bkqs0ut",GarethWheeler
19,2018-11-12 23:34:36+00:00,Toronto,1062126543802064901,Toronto Raptors Kawhi Leonard looks to be all business as he warms up before a game against the New Orleans Pelicans at Scotiabank Arena. #kawhileonard… https://www.instagram.com/p/BqGVEh5F4YRR_X8HRWsAj7M_Nm9Quv6u023Ti00/?utm_source=ig_twitter_share&amp;igshid=71wwyufv1pqb,nturchiarophoto
20,2018-11-23 20:16:59+00:00,Toronto,1066063080810061824,"Presenting our new @raptors inspired cocktail at Pai... the Kawhian Punch!!! This is Pai’s welcome drink for Our newest Toronto Raptor Kawhi Leonard! Gin, St Germain, Lemongrass syrup,… https://www.instagram.com/p/BqiTNe5h-pP/?utm_source=ig_twitter_share&amp;igshid=670sp4plenha",PaiToronto
21,2018-11-24 01:55:27+00:00,Toronto,1066148256823083009,Young Drizzy @Drake in the building for @raptors - @washwizards #DCFamily #WeTheNorth . . . . #thisiswhyweplay #kawhi #nba #johnwall #beadleybeal #kellyoubrejr #ovo #drake #ottoporter… https://www.instagram.com/p/Bqi5bkMAHIx/?utm_source=ig_twitter_share&amp;igshid=1p01jmuru6eg3,MikeandDrewShow
22,2018-11-24 03:23:36+00:00,Toronto,1066170443214790656,The Klaw Kawhi Leonard 27 points and 10 rebounds #DCFamily #WeTheNorth . . . . #thisiswhyweplay #kawhi #nba #johnwall #beadleybeal #kellyoubrejr #ovo #drake #ottoporter #kylelowry… https://www.instagram.com/p/BqjD0POgmjq/?utm_source=ig_twitter_share&amp;igshid=17r9h9wgjfi31,MikeandDrewShow
23,2018-11-24 18:03:35+00:00,Toronto,1066391896090714114,"Hungout with my two best friends, Drake and Kawhi Leonard, last night. @Scotiabank Arena https://www.instagram.com/p/BqkovjNnjg0/?utm_source=ig_twitter_share&amp;igshid=1hes31huj9kdv",Nigrelli93
24,2018-12-02 15:28:02+00:00,Toronto,1069251855375626241,nbymp_foundation NBYMP Christmas Raffle! . . MLSE has provided us with a brand new Kawhi Leonard jersey (Size: Adult Small) and we want to give it to 1 lucky winner for Christmas!!… https://www.instagram.com/p/Bq43RDdlcz8/?utm_source=ig_twitter_share&amp;igshid=17nq8zior7x07,ITSCHANTYY
25,2018-12-02 16:04:18+00:00,Toronto,1069260982390792192,The Kawhi Effect is real @Scotiabank Arena https://www.instagram.com/p/Bq5Bc_5gW9k/?utm_source=ig_twitter_share&amp;igshid=yb1nwt0qhzkd,_kishanmistry
26,2018-12-18 00:49:56+00:00,Toronto,1074829078958616577,Pleased to be a guest on the @WaterBoyReport Podcast with Luca. Will Kawhi Leonard remain a Raptor inspite of all the rumors? your thoughts? - - - #kawhileonard #raptors #wethenorth… https://www.instagram.com/p/Brgk2GCho_9/?utm_source=ig_twitter_share&amp;igshid=1nfoysaba6lqk,Sebypodcast
27,2018-12-31 03:29:45+00:00,Toronto,1079580341977997312,Toronto Raptors Kawhi Leonard drives to the basket between Chicago Bulls Justin Holiday and Chicago Bulls Robin Lopez at Scotiabank Arena. #kawhileonard… https://www.instagram.com/p/BsCWJ1hnryYPRliPVcji2Hw7mpIxMYy9d-YhoA0/?utm_source=ig_twitter_share&amp;igshid=w2k8lwphcg11,nturchiarophoto
28,2019-01-09 03:51:54+00:00,Toronto,1082847405215756288,Hello Kawhi! Got there just in time! @Scotiabank Arena https://www.instagram.com/p/BsZjwVThbdAj6DHWDyTpwOBgM3AGUReQ-lzLGo0/?utm_source=ig_twitter_share&amp;igshid=17lq5rhygt88d,rhenriques24
29,2019-01-18 05:26:18+00:00,Toronto,1086132651541577729,@pskills43 1st game winner ” #WeTheNorth #TimeToRise . . . . . #torontoraptors #kawhileonard #nba #canada #raptors #kawhi #dannygreen #kylelowry #devinbooker #sergeibaka… https://www.instagram.com/p/Bsw5QN-g4KU/?utm_source=ig_twitter_share&amp;igshid=1grrbpe66humt,MikeandDrewShow
30,2019-02-13 01:52:48+00:00,Toronto,1095501009495834624,#tbtuesday to when DeMar was a #torontoraptor and Kawhi was w the #SanAntonioSpurs. Credit to tonecollector for #Seeing &amp; #Believing @Air Canada Centre https://www.instagram.com/p/BtzeChtF95U/?utm_source=ig_twitter_share&amp;igshid=4phbalkn7hbi,The_Fanchize
31,2019-02-14 01:26:04+00:00,Toronto,1095856670037721088,jlin7 gets a standing ovation from Toronto fans s/o J. Lin #WeTheNorth #DCFamily . . . . #thisiswhyweplay #nba #johnwall #bradleybeal #dwighthoward #canada #kawhileonard #kawhi #the6ix… https://www.instagram.com/p/Bt1_cNCgZnB/?utm_source=ig_twitter_share&amp;igshid=amuqyl8lrl4s,MikeandDrewShow
32,2019-02-16 15:21:19+00:00,Toronto,1096791640402874373,2016 NBA All-Star charity dinner in Toronto with Matt Bonner! Went home with signed PE Jordan’s from Kawhi and LaMarcus! (link in bio) * * * #spursinthe6 #nbaallstar #nba… https://www.instagram.com/p/Bt8o89XFlqs/?utm_source=ig_twitter_share&amp;igshid=dym5b442ps9h,spursinthe6
33,2019-02-22 12:36:54+00:00,Toronto,1098924590888235008,Kawhi Leonard &amp; DeMar DeRozan: Both #kawhileonard &amp; #demarderozan have #revenge on their mind tonight vs their former teams the #sanantoniospurs &amp; the #torontoraptors… https://www.instagram.com/p/BuLy6JhFOwH/?utm_source=ig_twitter_share&amp;igshid=mbkh4hltb7tr,DaRealDraftKing
34,2019-02-23 01:41:10+00:00,Toronto,1099121960263401472,@demar_derozan gets a standing ovation from Toronto fans for his return #WeTheNorth #GoSpursGo . . . . #thisiswhyweplay #kawhi #nba #greggpopovich #ovo #drake #sanantoniospurs… https://www.instagram.com/p/BuNMiRsg0gw/?utm_source=ig_twitter_share&amp;igshid=1116gt9dpadqi,MikeandDrewShow
35,2019-02-24 23:02:54+00:00,Toronto,1099806904157523968,San Antonio Spurs DeMar DeRozan appears to have a showdown with Toronto Raptors Kawhi Leonard at the Scotiabank Arena. #demarderozan #kawhileonard #nba… https://www.instagram.com/p/BuSEIvOAguAz58zYstLC2j6f_ptCc9ODLqY-pU0/?utm_source=ig_twitter_share&amp;igshid=f4mafie4ugdh,nturchiarophoto
36,2019-02-27 00:08:44+00:00,Toronto,1100548251164524545,Welcome back Kawhi!! #raptors @Scotiabank Arena https://www.instagram.com/p/BuXVQxXnMnZxkRkE-VlCtZTdgUktZOtyCuXdkQ0/?utm_source=ig_twitter_share&amp;igshid=n9rs765brk7g,megucciardi
37,2019-02-27 11:45:47+00:00,Toronto,1100723665690333185,Are the celtics still your favorite to come out the East? #WeTheNorth #CUsRise . . . . #torontoraptors #kawhileonard #nba #canada #raptors #kyrieirving #terryrozier #kawhi… https://www.instagram.com/p/BuYkuhEgrkx/?utm_source=ig_twitter_share&amp;igshid=1u6e6mt8v2nn2,MikeandDrewShow
38,2019-03-11 22:02:43+00:00,Toronto,1105227579211042816,Oh yea definitely don’t rest Kawhi vs Cavs ,itzhamid
39,2019-03-12 01:35:36+00:00,Toronto,1105281153781575680,The @Raptors down 5 in the 3rd &amp; Kawhi to the line to make it 3; he misses both free throws. The Cavs come back and make a 3: the beginning of the end. Dumb punches &amp; Lowry looked like he hurt something. I hope this isn’t this season’s Bam game.,TheCourthawk
40,2019-03-12 18:12:56+00:00,Toronto,1105532137959124992,"if kawhi leaves, do we call 2014-2019 the Kyle Lowry era or the Demar era?",mattpasquale16
41,2019-03-17 01:27:32+00:00,Toronto,1107091062110203906,"Leave that load management for Raps and NBA. Kawhi is a complete joke, hope they change their contracts to per game",PMurphy1788
42,2019-03-17 21:21:17+00:00,Toronto,1107391478324776960,Kawhi The Only 1 Playing,Miss_Angel_Baby
43,2019-03-17 21:34:02+00:00,Toronto,1107394688741453825,Kawhi Leonard is the best player in the Association.,ZahidPtl
44,2019-03-17 22:12:01+00:00,Toronto,1107404244737556480,Good D On Kawhi,Miss_Angel_Baby
45,2019-03-17 22:29:39+00:00,Toronto,1107408683925942272,YoUr TeAm WoN cAuSE KaWhI WaSnT pLaYinG? ,Miss_Angel_Baby
46,2019-03-20 18:57:21+00:00,Toronto,1108442419496927233,It's not Kawhi tmrw.........,SiakamSpin
47,2019-03-21 01:46:39+00:00,Toronto,1108545425945100289,Pls give MVPGDPOY the business tonight @Kawhileonard,SiakamSpin
48,2019-03-21 01:58:26+00:00,Toronto,1108548387400503296,That Kawhi pass was elite holy shit,SiakamSpin
49,2019-03-21 01:59:42+00:00,Toronto,1108548707182616576,The magnetism between Kawhi and Danny Green is polarizing #RTZ #WeTheNorth,Slimsunbeam
50,2019-03-21 02:02:49+00:00,Toronto,1108549494348697601,1. We got swept 2. Superstition vs Insecurity 3. Imagine losing to Detroit and losing Kawhi? That would spell the end of this team for Yrs to come! ,snkrbox_inc
51,2019-03-21 02:18:05+00:00,Toronto,1108553334586118144,"Kawhi leads the league in the 'in and out"" 3pt shots",JAG_Q
52,2019-03-21 02:51:23+00:00,Toronto,1108561712762900480,Halfway there. #RTZ Pts: Skills (17) Reb: Kawhi (6) Ast: Kawhi (4) #Raptors #WeTheNorth,BigSexy2019
53,2019-03-21 03:45:33+00:00,Toronto,1108575345547055104,"Man kawhi’s work with coach Phil handy shows. His handles are so tight now- dude has such a tight dribble and quick reaction time now. Phil has worked with guys like kyrie, so it’s no surprise kawhi is showing improvement in his handles",mchaudhry3
54,2019-03-21 04:00:10+00:00,Toronto,1108579022752137216,Idk what the fuck Kawhi was doing there,SiakamSpin
55,2019-03-21 04:16:15+00:00,Toronto,1108583070398062592,Thank you Kawhi,SiakamSpin
56,2019-03-21 04:17:43+00:00,Toronto,1108583442185367552,We put Kawhi on Westbrook in overtime and we are Locking up. Who is suprised ?,SiakamSpin
57,2019-03-21 04:20:38+00:00,Toronto,1108584176561860608,Kawhi load management incoming on Friday,SiakamSpin
58,2019-03-21 04:22:14+00:00,Toronto,1108584577071747074,Kawhi made Westbrook his bitch in overtime LMFAOO,SiakamSpin
59,2019-03-21 13:51:56+00:00,Toronto,1108727947245031430,Kawhi’s face when he sees Tony Brothers reffing the raps game ,MazharHasham
60,2019-03-21 15:27:26+00:00,Toronto,1108751979029774337,"I think the Raps are going to come out swinging in the playoffs... this is a very different beast than our last few outings. The addition of Kawhi/Danny, Siakam’s rise and all business Kyle will dominate.",PMFogolin
61,2019-03-22 14:25:31+00:00,Toronto,1109098788302532608,Kawhi most likely today ,SiakamSpin
62,2019-03-22 23:11:15+00:00,Toronto,1109231090630303744,Cold windy days like today are the reason Kawhi isn't resigning.,dannno
63,2019-03-23 00:15:21+00:00,Toronto,1109247222317805569,Kawhi gets no respect from the refs man. CALL A FOUL,SiakamSpin
64,2019-03-23 00:16:07+00:00,Toronto,1109247415658446848,Kawhi pissed at the refs,SiakamSpin
65,2019-03-23 01:01:23+00:00,Toronto,1109258807111233537,SIAKAM LETS GO AND KAWHI GAVE HIM A HALF ASSED HUG LETS GOOOOOO,SiakamSpin
66,2019-03-23 01:21:57+00:00,Toronto,1109263981758291970,KAWHI!!! Good play by Norm,SiakamSpin
67,2019-03-23 01:39:24+00:00,Toronto,1109268376638156801,I don't understand how kawhi gets no calls,SiakamSpin
68,2019-03-23 01:45:14+00:00,Toronto,1109269842882781184,I don’t wanna hear no more of this Paul George can guard kawhi,_JaayRose
