,Date,Game Location,ID,Tweet,User
0,2019-02-07 19:13:44+00:00,New York,1093588640465182720,"Its the end of an era in Memphis! Marc Gasol has been traded to the @raptors in exchange for Jonas Valanciunas, Delon Wright, CJ Milles and a 2024 second-round pick to the the Grizzlies… https://www.instagram.com/p/Btl4ZczlMOL/?utm_source=ig_twitter_share&amp;igshid=ufi56h5ta9rm",Jboltonshow
1,2019-02-10 14:47:20+00:00,Toronto,1094608762239774721,Welcome to Toronto @marcgasol from all of us @raptors fans at Pai! #tbt #crazyraptorsfans #torontoraptors #goraptors #basketball #paitoronto @Pai Toronto https://www.instagram.com/p/BttISx2hcoO/?utm_source=ig_twitter_share&amp;igshid=125qphuryltqx,PaiToronto
2,2019-02-12 00:33:33+00:00,Toronto,1095118677412696066,There be Marc Gasol. #NBA #Raptors @Scotiabank Arena https://www.instagram.com/p/BtwwLDygm0T/?utm_source=ig_twitter_share&amp;igshid=1q7bwr7x588wj,mcauz56
3,2019-02-12 02:21:21+00:00,Toronto,1095145804615110656,"Marc Gasol, will you be my valentine?",delajed
4,2019-02-12 03:42:28+00:00,Toronto,1095166217579458560,Wow what a game! @raptors win in final seconds #wethenorth @marcgasol @Klow7 kawhi2ground @pskills43 @sergeibaka_7 @Drake @Scotiabank Arena https://www.instagram.com/p/BtxFyrYAkiy/?utm_source=ig_twitter_share&amp;igshid=a017pfrxruhn,jenncroke
5,2019-02-12 04:13:14+00:00,Toronto,1095173963897102338,We get the WIN and big games from #theklaw @Klow7 The Big Spain @marcgasol all while fricken STING WAS AT COURTSIDE!!! #raptors 127 #Brooklyn 125 . . Me and @matterofkat loved the… https://www.instagram.com/p/BtxJT-xgB1F/?utm_source=ig_twitter_share&amp;igshid=d0qq3z0xd6yz,strizzzy
6,2019-02-12 16:16:37+00:00,Toronto,1095356008384188416,"@marcgasol makes his home debut for the Raptors, scoring 16pts, 6rebs &amp; 2asts off the bench! @Scotiabank Arena https://www.instagram.com/p/BtybswZAqRf/?utm_source=ig_twitter_share&amp;igshid=1b2k93h8yzj55",atbnews_
7,2019-02-12 17:47:57+00:00,Toronto,1095378991291060224,Welcome to Canada @marcgasol @Scotiabank Arena https://www.instagram.com/p/BtymjPfA1cu/?utm_source=ig_twitter_share&amp;igshid=1gdy8io8oay2y,_kishanmistry
8,2019-02-14 06:26:57+00:00,Toronto,1095932389388443648,"About to add this to my collection. @marcgasol @Raptors #WeTheNorth #LetsGoRaptors @Toronto, Ontario https://www.instagram.com/p/Bt2iNdJAYZA/?utm_source=ig_twitter_share&amp;igshid=lg7uuqh5d3ta",MCBonde1
9,2019-03-17 02:53:04+00:00,Toronto,1107112586544324609,Cannot wait to see @MarcGasol in Detroit along with all the other @Raptors fan!!! #WeTheNorth #raptornationindetroit,nazsyed
10,2019-03-30 23:49:06+00:00,Toronto,1112139719456915458,Man of the people. @MarcGasol | #WeTheNorth,BigSexy2019
11,2019-03-31 09:02:13+00:00,Toronto,1112278917270757377,We love this man even before he came to Toronto just as we still love José Calderon.,MohamedSekkak
12,2019-04-06 18:23:31+00:00,Toronto,1114594500578562048,"lowry’s role this year has significantly changed compared to the iso years with demar. we got kawhi, blossoming siakam. our team top 5 in offensive and defensive rating since marc gasol trade. kawhi finna turn up in the playoffs.",madvilIainy
