,level_0,index,Date,Game Location,ID,Tweet,User
0,0,287,2018-10-15 00:37:08+00:00,Toronto,1051633036477886464,"Hundreds packed into @realsports for the @raptors Tip-Off event for the fans. Shouts out to @delonwright and @npowell2404 meeting the fans, Q&amp;A, pictures and more! . . The full… https://www.instagram.com/p/Bo7xLohlag2/?utm_source=ig_twitter_share&amp;igshid=1efjlq41u56q1",strizzzy
1,1,288,2018-10-15 17:16:42+00:00,Toronto,1051884585427132421,2 days... #Mood . .. #Raptors Home Opener Wednesday and #WeTheNorth welcomes #TheKlaw to #The6ix #Toronto #rtz @Scotiabank Arena https://www.instagram.com/p/Bo9jlUBFRXD/?utm_source=ig_twitter_share&amp;igshid=11s2r848q2kg,strizzzy
2,2,289,2018-10-15 21:02:26+00:00,Toronto,1051941392434393088,Are you ready for the next @raptors champion. Join us on Yonge-Dundas Square with #TangerineHoops booths. You might win some free tickets to the opening game this Wednesday. @Yonge-Dundas… https://www.instagram.com/p/Bo99aY-FH06/?utm_source=ig_twitter_share&amp;igshid=rqt94ehmtv67,hqaddomi
3,3,290,2018-10-15 22:29:58+00:00,Toronto,1051963420671598592,Going to the @Raptors home opener would be a great opportunity! @TangerineHoops please hook me up with some nice seats #Tangerinehoops,Adelraptors
4,4,291,2018-10-15 22:58:46+00:00,Toronto,1051970669188186117,"from twilighteventsto - #WineDownWednesday presents #RaptorsNight inside twilightfamilyrestaurant Come enjoy good people, great vibez, and of course our Raptors in the ur 1st… https://www.instagram.com/mixxx4u/p/Bo-KuoFnim2/?utm_source=ig_twitter_share&amp;igshid=1qiknm8doy0g9",mixxx4u
5,5,292,2018-10-16 15:00:35+00:00,Toronto,1052212716994211840,Who’s ready!?!?! #tbt #wethenorth #raptors @Kensington Market https://www.instagram.com/p/Bo_4yrflyeB/?utm_source=ig_twitter_share&amp;igshid=pl56i8ftwece,coryleemusic
6,11,1276,2018-10-16 15:25:57+00:00,Toronto,1052219099911094272,NBA IS BACK! : ( tolecover ) . . . . #torontoraptors #kawhileonard #nba #canada #raptors #sethcurry #kawhi #derozan #dannygreen #kylelowry #jusufnurkic #sergeibaka… https://www.instagram.com/p/Bo_7iYwg2rp/?utm_source=ig_twitter_share&amp;igshid=14na9kf9c438n,MikeandDrewShow
12,12,294,2018-10-16 18:49:53+00:00,Toronto,1052270421347917824,Slam dunk the funk #tangerinehoops #wethenorth #raptors #homeopener @Yonge-Dundas Square https://www.instagram.com/p/BpATCoIATDj/?utm_source=ig_twitter_share&amp;igshid=4t9fnjl9l0mo,Jayo1987
13,13,295,2018-10-16 23:39:57+00:00,Toronto,1052343420675600384,Are you excited for the most hyped #Raptors season in franchise history? • • • I know I am. #WeTheNorth #Toronto #TheCity #SixSide #Canada #NorthOverEverything #RiseUp #OneTeam… https://www.instagram.com/p/BpA0PNKgI0T/?utm_source=ig_twitter_share&amp;igshid=7vttty5ed3q,TimMorrell1
14,14,296,2018-10-17 11:50:20+00:00,Toronto,1052527228326678530,"Today is the day. #canada #raptors #weedthenorth #nba @Toronto, Ontario https://www.instagram.com/p/BpCH0irgT3l/?utm_source=ig_twitter_share&amp;igshid=evfb2b25rjg8",Bmwpromo
