,Date,Game Location,ID,Tweet,User
0,2018-10-21 07:16:55+00:00,Houston,1053907970600460288,@jharden13 @cp3 @CapelaClint @TheofficialEG10 @carmeloanthony ・・・ Ayeee @jharden13 This Dance Class 101 Omg princess_filayyyy #nba #espn #sports #basketball #hoopdreams #lit… https://www.instagram.com/p/BpL7tKmHJEh/?utm_source=ig_twitter_share&amp;igshid=1u4319qyenfdm,BatesRickey
1,2018-10-22 16:13:57+00:00,Houston,1054405505928425472,g.green14 @jharden13 @cp3 @CapelaClint @TheofficialEG10 @carmeloanthony ・・・ Ayeee @jharden13 This Dance Class 101 Omg princess_filayyyy #nba #espn #sports #basketball… https://www.instagram.com/p/BpPd5cOHX_i/?utm_source=ig_twitter_share&amp;igshid=93ibcd1aq2vj,BatesRickey
2,2018-10-22 19:24:23+00:00,Houston,1054453430696185856,"Mood @cp3 @Houston, Texas https://www.instagram.com/p/BpPzlegHWzB/?utm_source=ig_twitter_share&amp;igshid=151jujunftxln",Prince_JayP
3,2018-10-23 19:36:13+00:00,Houston,1054818796710486016,I believe Rondo in this shit. I think Chris Paul is a bitch ass nigga. He’s gotten away with a lot of dirty shit.,WinkWestwood
4,2018-10-23 21:52:43+00:00,Houston,1054853149108789249,Chris Paul on his 2 game suspension and his fight with Rondo #LakeShow #Rockets . . . . #nba #thisiswhyweplay #lalakers #labron #bigballerbrand #lonzoball #lakernation #clintcapela… https://www.instagram.com/p/BpSpPdsg8Bb/?utm_source=ig_twitter_share&amp;igshid=vrcqb7vrabcj,MikeandDrewShow
5,2018-10-25 16:34:19+00:00,Houston,1055497796822986753,@jharden13 @cp3 @CapelaClint @TheofficialEG10 @carmeloanthony ・・・ Ayeee @jharden13 This Dance Class 101 Omg princess_filayyyy #nba #espn #sports #basketball #hoopdreams #lit… https://www.instagram.com/p/BpXOo7Fn1Er/?utm_source=ig_twitter_share&amp;igshid=byqwdgxerdez,BatesRickey
6,2018-10-25 16:37:11+00:00,Houston,1055498517358219264,@jharden13 @cp3 @CapelaClint @TheofficialEG10 @carmeloanthony ・・・ Ayeee @jharden13 This Dance Class 101 Omg princess_filayyyy #nba #espn #sports #basketball #hoopdreams #lit… https://www.instagram.com/p/BpXO9Lvn494/?utm_source=ig_twitter_share&amp;igshid=1mrhr0x1x9cd4,BatesRickey
7,2018-10-27 03:11:58+00:00,Houston,1056020655232217093,Chris Paul says the Rockets just have to get better. #houstonrockets #rockets #nba #clippers #houston @Houston Toyota Center https://www.instagram.com/p/Bpa7xKuByCO/?utm_source=ig_twitter_share&amp;igshid=k5awo248edro,kimydavis
8,2018-10-29 01:02:24+00:00,Houston,1056712822569132033,"My waiters ... somebody said they hoop as a side gig! #cp3serves ... #jamesharden #chrispaul #michaelcarterwilliams @Houston, Texas https://www.instagram.com/p/Bpf3NaLBNhF/?utm_source=ig_twitter_share&amp;igshid=di520f9zraup",KevinFrazier
9,2018-10-29 05:55:32+00:00,Houston,1056786591463571456,What a wonderful evening with @jada_ap @cp3 and the #chrispaulfamilyfoundation for their annual #cp3 #celebrityserver dinner hosted @mastrosofficial It was an honor to work with… https://www.instagram.com/p/BpgYwAehmGO/?utm_source=ig_twitter_share&amp;igshid=baw8wl3sbpv4,MichelleHargrov
10,2018-11-14 05:54:29+00:00,Houston,1062584533416054784,@jharden13 @cp3 @CapelaClint @TheofficialEG10 @carmeloanthony ・・・ Ayeee @jharden13 This Dance Class 101 Omg princess_filayyyy #nba #espn #sports #basketball #hoopdreams #lit… https://www.instagram.com/p/BqJlVaWnWGZ/?utm_source=ig_twitter_share&amp;igshid=nn03d6x8ujd9,BatesRickey
11,2018-11-15 00:59:08+00:00,Houston,1062872594058231814,@jharden13 @cp3 @CapelaClint @TheofficialEG10 @carmeloanthony ・・・ Ayeee @jharden13 This Dance Class 101 Omg princess_filayyyy #nba #espn #sports #basketball #hoopdreams #lit… https://www.instagram.com/p/BqLoTPyHGo4/?utm_source=ig_twitter_share&amp;igshid=1ezytxdak82u8,BatesRickey
12,2018-11-16 03:49:44+00:00,Houston,1063277915750768641,@jharden13 @cp3 @CapelaClint @TheofficialEG10 @carmeloanthony ・・・ Ayeee @jharden13 This Dance Class 101 Omg princess_filayyyy #nba #espn #sports #basketball #hoopdreams #lit… https://www.instagram.com/p/BqOgnJhH1Vm/?utm_source=ig_twitter_share&amp;igshid=lst7o8lrjweh,BatesRickey
13,2018-11-16 03:51:33+00:00,Houston,1063278370853740544,@jharden13 @cp3 @CapelaClint @TheofficialEG10 @carmeloanthony ・・・ Ayeee @jharden13 This Dance Class 101 Omg princess_filayyyy #nba #espn #sports #basketball #hoopdreams #lit… https://www.instagram.com/p/BqOg1lXn1Sk/?utm_source=ig_twitter_share&amp;igshid=s3pp839yrlmv,BatesRickey
14,2018-11-16 03:54:24+00:00,Houston,1063279088058667008,@jharden13 @cp3 @CapelaClint @TheofficialEG10 @carmeloanthony ・・・ Ayeee @jharden13 This Dance Class 101 Omg princess_filayyyy #nba #espn #sports #basketball #hoopdreams #lit… https://www.instagram.com/p/BqOhJ0knCVm/?utm_source=ig_twitter_share&amp;igshid=1vvw8eh7dbxhp,BatesRickey
15,2018-11-18 02:26:34+00:00,Houston,1063981761741418496,@jharden13 @cp3 @CapelaClint @TheofficialEG10 @carmeloanthony ・・・ Ayeee @jharden13 This Dance Class 101 Omg princess_filayyyy #nba #espn #sports #basketball #hoopdreams #lit… https://www.instagram.com/p/BqTguBnnTeb/?utm_source=ig_twitter_share&amp;igshid=1gi134xov27u8,BatesRickey
16,2018-11-18 02:29:00+00:00,Houston,1063982372897599488,@jharden13 @cp3 @CapelaClint @TheofficialEG10 @carmeloanthony ・・・ Ayeee @jharden13 This Dance Class 101 Omg princess_filayyyy #nba #espn #sports #basketball #hoopdreams #lit… https://www.instagram.com/p/BqTgkHkHkvX/?utm_source=ig_twitter_share&amp;igshid=1rsnj6d94s6e4,BatesRickey
17,2018-11-18 03:49:45+00:00,Houston,1064002696531886080,@jharden13 @cp3 @CapelaClint @TheofficialEG10 @carmeloanthony ・・・ Ayeee @jharden13 This Dance Class 101 Omg princess_filayyyy #nba #espn #sports #basketball #hoopdreams #lit… https://www.instagram.com/p/BqTqORAHhLc/?utm_source=ig_twitter_share&amp;igshid=1g88idhzlikew,BatesRickey
18,2018-11-27 04:25:34+00:00,Houston,1067273199031738368,@jharden13 @cp3 @CapelaClint @TheofficialEG10 @carmeloanthony ・・・ Ayeee @jharden13 This Dance Class 101 Omg princess_filayyyy #nba #espn #sports #basketball #hoopdreams #lit… https://www.instagram.com/p/Bqq5b25nLzY/?utm_source=ig_twitter_share&amp;igshid=1f97b4zqt1s0b,BatesRickey
