,Date,Game Location,ID,Tweet,User
0,2018-11-14 14:02:21+00:00,Houston,1062707311309918208,SO GOOOD @atreyuofficial @Daniel_L_Jacobs @hobhouston #rocknroll #concert #livemusic @House of Blues Houston https://www.instagram.com/p/BqKdMKtASkI/?utm_source=ig_twitter_share&amp;igshid=1jzak4zor7w7m,polinakashina
1,2019-01-17 02:07:14+00:00,Houston,1085720167517020161,"Halftime at the Toyota Center. The Rockets are playing without Chris Paul, Clint Capela, James Ennis III, Danuel House Jr., and Brandon Knight. #houstonrockets #nba #houston #sports… https://www.instagram.com/p/Bst9aF0BkyP/?utm_source=ig_twitter_share&amp;igshid=1jvztzhd4q8eb",kimydavis
2,2019-03-11 14:00:37+00:00,Houston,1105106252655484930,Are we waiting until March 24th to bring back Danuel House? Or is he going to stay with RGV? #askfeigen,rpuig205
3,2019-03-12 20:59:52+00:00,Houston,1105574149810987009,Danuel House is getting his contracted converted tomorrow.,Sammy5586
4,2019-03-12 21:04:26+00:00,Houston,1105575297678663681,Danuel House is back ,ThaBestOps
5,2019-03-12 21:44:26+00:00,Houston,1105585366201966592,danuel house back ,itsdtrain
6,2019-03-14 04:30:16+00:00,Houston,1106049882731745280,really didn’t play danuel house but kept shumpert in forever,juicegodjake
7,2019-03-14 23:40:08+00:00,Houston,1106339256094654470,Danuel House at Hank’s Crawfish rn. I wanna congratulate the man but he with his family and im not tryna fan boy this nigga.,DJAudiTory
8,2019-03-15 18:56:31+00:00,Houston,1106630269199622145,"UH got better recruits prior to Sampson...they just didn't get the results. Danuel House, Joseph Young, Chicken Knowles, &amp; Tashawn Thomas were all more highly rated than anyone on the current roster, save Hinton. Kelvin has just developed the kids. And now new facilities shd help",RolandB3
9,2019-03-16 00:20:17+00:00,Houston,1106711750987137025,Texas Aggie Damn Danuel House is back at it again,GigsandSwigs
10,2019-03-16 02:08:17+00:00,Houston,1106738928823005184,"If you don’t think Danuel House was smart to shut down the multi year at league minimum to get to free agency, you are a dumb head. He is a scorer in this game. He will have suitors.",GigsandSwigs
11,2019-03-16 02:21:15+00:00,Houston,1106742191169380352,DANUEL KENNEDY HOUSE JR,rpuig205
12,2019-03-16 02:23:24+00:00,Houston,1106742734579220480,Danuel House is gonna have a big role in the playoffs this year.. might be the difference in the Warriors series ,_ClutchCity
13,2019-03-16 02:36:07+00:00,Houston,1106745934548033538,Who's #DanuelHouse young man had a career high 18 points nice home win the beard @JHarden13 with 41 points @HoustonRockets beat the @Suns 108-102. Red Nation #RunAsOne #NBA,MsDeeReese
14,2019-03-20 01:27:57+00:00,Houston,1108178329079816193,Gerald Green Danuel House Jr.,vicky_fountains
15,2019-03-20 01:34:09+00:00,Houston,1108179889482551296,Pay Danuel House what he wants. He was created in Mike Dantoni’s dream player lab. He is +20 rn. (As per the usual) ,GigsandSwigs
16,2019-03-20 02:41:41+00:00,Houston,1108196886392041472,#DanuelHouse 6 threes I'm loving the way this young man is balling @HoustonRockets made 7 threes in the 4th James Harden put up 31 nice hone win beating the @ATLHawks 121-105. Red Nation #RunAsOne #NBA,MsDeeReese
17,2019-03-27 00:50:08+00:00,Houston,1110705528131457024,Danuel House is on fire. #Rockets,AdamGSager
18,2019-04-03 03:39:19+00:00,Houston,1113284818450755584,Danuel house! #SlamaJama #@HoustonRockets,AndrewBravo23
19,2019-04-03 03:42:31+00:00,Houston,1113285626529570817,A lot of Texas sports on this evening. And Danuel House keeps dunking on everyone’s ass.,GigsandSwigs
20,2019-04-03 03:49:22+00:00,Houston,1113287348643598341,Still quite convinced Danuel House was created in DAntoni’s lab of perfect roleplayers,GigsandSwigs
21,2019-04-04 03:19:23+00:00,Houston,1113642189865852928,Danuel House ballin @HoustonRockets,AndrewBravo23
