,Date,Game Location,ID,Tweet,User
0,2018-11-24 19:52:02+00:00,Washington D.C.,1066419188221259776,"My guy PJ Tucker &amp; friends from the Houston Rockets, host tonight at the home of the stars rosebarsaturday @rosebardc Dm for tables and birthday specials #mercilondonevents @… https://www.instagram.com/p/Bqk1JkuBrqL/?utm_source=ig_twitter_share&amp;igshid=16iaza85zkt7j",G5London
1,2018-11-25 00:54:49+00:00,Washington D.C.,1066495386179813376,[ Tonight ] PJ TUCKER + Friends hosts the World Famous #SNL at #RosebarSaturdays w/ music by @DJStevo || #BottleService (202) 695-3301 or DM @NATEHAWK —— http://www.uniquesocietydc.com @Rosebar DC https://www.instagram.com/p/BqlXzklDhNF/?utm_source=ig_twitter_share&amp;igshid=1uy4vnxyn3dy5,JustCarrington
2,2019-01-10 00:57:11+00:00,Houston,1083165822980444160,It's game night #Houston. #RunAsOne #LetsGoRockets #PJTucker bobblehead night.I got mine! @houstonrockets @Houston Toyota Center https://www.instagram.com/p/Bsb0b71HuGq/?utm_source=ig_twitter_share&amp;igshid=1m8x10vaj24t0,msnola62
3,2019-01-10 04:58:25+00:00,Houston,1083226532645081088,"Got PJ tucker to complete the 2017-18 Rockets starting 5! Clint Capela, PJ Tucker, James Harden, Trevor Ariza, and Chris Paul. 17-18 was a great season. 18-19… https://www.instagram.com/p/BscQQClF5GzAYMT3yk7oZUbWD4a9712jwQGl400/?utm_source=ig_twitter_share&amp;igshid=1i4cz7qtrmpss",Atxpeaceman
4,2019-01-11 00:49:06+00:00,Orlando,1083526177871093760,This Saturday Night The Only Place to Party is at the Rooftop of @180downtown For a Special ALTITUDE SATURDAYS We welcome PJ Tucker &amp; Houston Rocket teammates! ➤ Doors Open @… https://www.instagram.com/p/BseYcvtBytD/?utm_source=ig_twitter_share&amp;igshid=177h0r1xehjhu,DJRAYLOVE1
5,2019-01-26 04:00:45+00:00,Houston,1089010228383940608,PJ Tucker 18 pts... in the Rockets 121-119 win over the Raptors. #rockets #nba #jamesharden #houston #sports #chalktalk #sportsbites #basketball @Houston Toyota Center https://www.instagram.com/p/BtFT4FmBBv2/?utm_source=ig_twitter_share&amp;igshid=sgo1duqmfpbb,kimydavis
6,2019-01-26 04:52:12+00:00,Houston,1089023174480744448,PT Tucker talks about the Rockets defense in tonight’s win. #houstonrockets #nba #sports #basketball #houston #jamesharden #chalktalk #sportsbites #pjtucker @Houston Toyota Center https://www.instagram.com/p/BtFb_miB_b-/?utm_source=ig_twitter_share&amp;igshid=1dctrts8m0wv,kimydavis
7,2019-03-12 21:00:54+00:00,Houston,1105574408297558016, I like PJ Tucker,YoScuba713
8,2019-03-14 03:41:38+00:00,Houston,1106037647221448704,Pj tucker got that walk lol it’s game time now,ManOnTheMoon_21
9,2019-03-14 03:51:26+00:00,Houston,1106040109793714176,PJ TUCKER HAS DONE SO MUCH FOR US TONIGHT #ROCKETS,xSouder
10,2019-03-14 04:16:41+00:00,Houston,1106046467616198658,no one on this team is more committed to missing open 3s then pj tucker,itsdtrain
11,2019-03-16 02:03:38+00:00,Houston,1106737758675128320,I am really sick of PJ Tucker.,74Astros
12,2019-03-16 12:22:55+00:00,Houston,1106893605065707520,the homies are throwing a trunk show and ill be providing the soundtrack. laylasusie @nickfouquet pjtucker 1pm at the webster. #houston #nickfouquet #thewaxaholics @The Webster https://www.instagram.com/p/BvEay0uHeIU/?utm_source=ig_twitter_share&amp;igshid=1xs16wth78anz,djbigreeks
13,2019-03-27 01:41:25+00:00,Houston,1110718435317739522,Eric Bledsoe doing what he wants right now. PJ Tucker is struggling shooting the ball. #Rockets #Bucks,AdamGSager
14,2019-03-27 01:48:31+00:00,Houston,1110720220572905473,PJ Tucker needs to STOP shooting the ball,BDubb2k12
15,2019-03-27 01:49:12+00:00,Houston,1110720391998332928,Wanted: PJ Tucker’s three-point shot,BLima790
16,2019-03-27 19:03:49+00:00,Houston,1110980761392431111,"#Rockets @CP3 on playing for @CoachSampsonUH on the under-21 national team with PJ Tucker- ""Coach Sampson's fiery, man."" @UHCougarMBK #ForTheCity @KPRC2",KPRC2AdamW
17,2019-03-29 07:44:21+00:00,Houston,1111534546665771014,"Damn James Harden, PJ Tucker, Fabolous and a couple more ball players was in the building tonight ",iamDjDWells
18,2019-04-04 22:58:44+00:00,Houston,1113938984550436865,"I agree w him : ""If we're doing what we're supposed to do, nobody can beat us.” PJ Tucker",MorpheusDeZion
19,2019-04-05 20:18:12+00:00,Houston,1114260971005054977,I haven’t seen PJ Tucker get any all defensive team consideration this season and at this point it’s disrespectful,HeadHonchoo
