,Date,Game Location,ID,Tweet,User
0,2018-10-08 21:34:05+00:00,San Francisco,1049503239538954240,"“We are search lights, we can see in the dark, We are rockets, pointing up at the stars, We are billions of beautiful hearts” @San Francisco-Oakland Bay… ",LiFreyre
1,2018-10-08 23:16:47+00:00,Houston,1049529081598017536,"Shake off anything that stands in the way of your goals!! The Competition, The Haters, Fake Friends, The Devil.. Gods Got You!! @nukdabomb houstontexans @houstonrockets @astros… ",ReplenishCryo
2,2018-10-09 18:28:40+00:00,Houston,1049818966410059776,Are you Melo or Harden pregame? @houstonrockets . . . . #stayme7o #carmeloanthony #Rockets #houstonrockets #shanghai #jamesharden #houston #thisiswhyweplay #carmelo #yaoming… ,MikeandDrewShow
3,2018-10-09 18:34:31+00:00,Houston,1049820436526223361,Supporting the @houstonrockets #runitback @Houston Toyota Center ,vet5640
4,2018-10-09 19:03:50+00:00,Houston,1049827813497421830,"Let’s go Rockets! (at @ToyotaCenter for Shanghai Sharks vs Houston Rockets in Houston, TX) ",britneyIRL
5,2018-10-09 20:01:18+00:00,Houston,1049842276158070784,Yes it’s that time where all my social media will be flooded with everything #HoustonRockets #rocketsfan4life #RunItBack #RunAsOne @houstonrockets #DieHard @jharden13 @cp3 @carmeloanthony… ,noreenroxanna
6,2018-10-09 21:02:33+00:00,Houston,1049857688660631553,@jharden13 37 points and knocks down 9 triples . . . #stayme7o #carmeloanthony #Rockets #houstonrockets #shanghai #jamesharden #houston #thisiswhyweplay #carmelo #yaoming… ,MikeandDrewShow
7,2018-10-09 21:13:08+00:00,Houston,1049860354233262080,@jimmerfredette still getting buckets 41 points for Shanghai Sharks . . . . #stayme7o #carmeloanthony #Rockets #houstonrockets #shanghai #jamesharden #houston #thisiswhyweplay… ,MikeandDrewShow
8,2018-10-10 07:46:14+00:00,Houston,1050019679098560513,Blakey’s back in his bag Shoutout to @hoopculture - Great quality gym duffle You guys made have a fan out of me on site! ... Y’all already know how the Rockets are flying this… ,kynectwithBlake
9,2018-10-10 08:33:22+00:00,Miami,1050031539688538112,"Lmfao, rockets got 41 dropped on their head by Jimmer Fredette",Subtweetg0d
10,2018-10-10 09:07:34+00:00,Houston,1050040148057042944,##HoustonRockets #ShanghaiBilibiliSharks of the #ChineseBasketballAssociation #RocketsRedNight #Preseason #NBA #CBA ##JamesHarden #CP3 g.green14 #FearTheBeard #Town #RocketsGame… ,akaByrd
11,2018-10-10 12:00:13+00:00,Brooklyn,1050083596499918849,The Houston Rockets fueled for season opener ,FntsySportsCave
12,2018-10-10 16:24:14+00:00,Chicago,1050150038918193152,@jimmybutler in my eyes showed the @nba today he's a baby! Why would you want someone like him on your team #hellomcfly @houstonrockets espn @foxsports @ESPNNBA @nbaontnt @Melrose… ,johnmerced32
13,2018-10-10 16:27:05+00:00,Houston,1050150756668575744,@jharden13 let’s be honest.... a lot like my guy jcrossover.11 go to.... just a lot sloooooooower.... still ... #houstonrockets #nba #toyotacenter #tellyamommaitsatravel #mvpbullies… ,THECUT10
14,2018-10-10 22:14:11+00:00,Toronto,1050238104538353669,"I wouldn’t have the perspective without going through the experience of being affected by mental health. The feelings, ups & downs as much as they can be anchors & rockets help you… ",stro1
15,2018-10-11 07:08:54+00:00,Houston,1050372670905307136,"When the @houstonrockets and #CityofHouston look up your LinkedIn profile. let's talk!  @Houston, Texas ",risingGr8ness
16,2018-10-11 08:41:04+00:00,Chicago,1050395866064916480,"My dad got a shirt at a model rocket meet one time that said “As a matter of fact, I AM a rocket scientist.”",crimsonruari
17,2018-10-11 16:42:57+00:00,Los Angeles,1050517133778722816,Ready to run with shoes & watches &amp; #Repost @chipcali ・・・ Still have a matching problem... Breaking out the @adidashoops #MVP @jharden13 2’s to go with the @ritmo_mundo racer… ,ritmo_mundo
18,2018-10-12 06:27:06+00:00,Houston,1050724541327126530,"#CurrentMood heading into a gorgeous fall weekend in #HTown... Knowing the #Astros #NeverSettle heading into the #ALCS, the #Texans are on a roll, the #Rockets are preparing for liftoff,… ",BradGroux
19,2018-10-12 08:16:23+00:00,Houston,1050752041004531713,TIGRES Texans Astros and I'm wearing a ROCKETS Red Nation Thong thong thong thong thong.. @La Casa Del Dannyboy ,Dannyboy1112
20,2018-10-12 08:28:41+00:00,Orlando,1050755137852137477,Dr Marcus Elliott of P3 data driven sports testing discussing the special skills of pro athletes including @jharden13 @mytpi #wgfs2018 @Hyatt Regency Orlando ,PamOwensFitness
21,2018-10-12 08:59:25+00:00,Houston,1050762870458331136,Loving where you are from because it makes you who you are. We are Galo Biani!!! . . . #htown #houston #houstonaf #texas #mycity #views #HTX #astros #rockets #texans #texan #citylife… ,IamGaloBiani
22,2018-10-12 14:06:17+00:00,New Orleans,1050840098605031424,"Who doesn’t love a nice crossover. Who’s the Rudy Gobert to your Chris Paul? Tag them. @New Orleans, Louisiana ",ELEVATEUSA
23,2018-10-12 15:11:08+00:00,Memphis,1050856417337532417,"Foxbox for the Home Feed (at @FedExForum for @HoustonRockets vs @memgrizz in Memphis, TN) ",edace1
24,2018-10-12 19:08:00+00:00,Memphis,1050916025519271936,Pre season @memgrizz vs @houstonrockets #fedexforummemphis #nba with @petitecarment jvansho yeenbri @FedExForum ,CesarD_Aparicio
25,2018-10-13 03:27:01+00:00,Houston,1051041608236298240, Countdown to the 2018/19 NBA Season! Days #countdown #NBA #basketball #houston #rockets #harden #jamesharden #MVP #3 #newseason #2018 #2019 #lovethisgame #championship #usa… ,RodriguesPhelps
26,2018-10-13 11:59:42+00:00,Los Angeles,1051170629725106177,"93 to 93. James Harden with the ball; Nick Young with the lack luster defense with 40 seconds left in the game. James hits the shot &amp; directly looks at Kevin Durant @Los Angeles, California ",SeagerJoseph
27,2018-10-14 09:14:55+00:00,Chicago,1051491546929991680, @jharden13 goin to work on em 9 three pointers 34pts! NBA Season officially starts in days! Let’s get it! #NBA #NBAPreseason #NBASeason #NBA2k19 #JamesHarden… ,JerellAnthoni
28,2018-10-14 10:15:58+00:00,Houston,1051506913731596288,Former Rocket Mario Elie in the house!!! #Rednation #GOROCKETS! #MarioElie #610sportsradio @NRG Park ,HOUSTONMAUL
29,2018-10-15 07:38:24+00:00,Houston,1051829645283381249,Just completed my 5th season with the Houston Rockets Power Dancers. Such a blessing to be with such a great organization. I wanted to give a shout out to Coach Natalie Alvarado and thank… ,RickStarPhoto1
30,2018-10-15 20:10:12+00:00,Philadelphia,1052018844984860674,What improvements do you guys expect to see from Ben Simmons this season? #BballCrazy #Sixers ___________________________________________ #DerrickRose #rockets #basketball #giannis #nfl… ,BballCrazy
31,2018-10-15 21:32:19+00:00,Memphis,1052039507523104768,"""@CP3: My man @AaronRodgers12 is unreal if anybody was wondering...."" He the ",JWooTV
32,2018-10-16 12:43:14+00:00,Miami,1052268746767654912,Design your own rocket at home! @Miami Theater Center ,MTCMiami
33,2018-10-16 14:23:59+00:00,Houston,1052294103952777217,@jharden13 @Downtown Houston ,BatesRickey
34,2018-10-16 17:29:32+00:00,Boston,1052340799147528193,lmao james harden in the front row,Moomoomoo1
35,2018-10-16 20:17:03+00:00,Houston,1052382953240756226,10.20. SATURDAY NIGHT LIVE: SHOWTIME! ROCKETS VS. LAKERS VIEWING &amp; AFTER PARTY...IT'S LIBRA SEASON...NO COVER ALL NIGHT AT STORY ULTRA LOUNGE..RSVP YOUR SECTION NOW...BOTTLE… ,afewgoodmen
36,2018-10-16 20:37:34+00:00,Memphis,1052388117162921985,#Rockets was suppose to win that shit last season...,JWooTV
37,2018-10-16 20:50:28+00:00,Houston,1052391366452551680,"1. Boston trades Rozier, Brown, another player and the Kings pick to the Pelicans for Anthony Davis before the trade deadline or after the season 2. Butler won’t get traded and Thibs gets fired after the season 3. Warriors beats the T-Wolves, Rockets, Jazz and Celtics to 3-peat ",WinkWestwood
38,2018-10-16 21:11:33+00:00,Memphis,1052396669164228608,Pelicans/Rockets tomorrow night @PelicansNBA ,JWooTV
39,2018-10-17 07:11:23+00:00,Houston,1052547624618913792,Get out those rally towels! Sporting my @houstonrockets Red the as they lift off their season opener against the @pelicansnba. Tip off is at 7pm. Then don’t forget the orange for the… ,maggiesworld
40,2018-10-17 08:26:49+00:00,Houston,1052566606927278080,#DODAMAGE #RedSox @mookiebetts says wassup to @carmeloanthony @cp3 during game vs @astros #NeverSettle #Astros . . . . #mlb #houstonastros #boston #redsox #alexbregman #mlbplayoffs… ,MikeandDrewShow
