,Date,Game Location,ID,Tweet,User
0,2018-10-23 01:50:14+00:00,San Francisco,1054550531941646337,@stephencurry30 volleyball assist from moms #DubNation #TimeToRise . . . . #goldenstate #kevindurant #thisiswhyweplay #klay #warriors #stephencurry #nba #boogiecousins #draymondgreen… https://www.instagram.com/p/BpQfvXMgbN7/?utm_source=ig_twitter_share&amp;igshid=14rcq2ozod3tu,MikeandDrewShow
1,2018-10-27 07:51:51+00:00,Brooklyn,1056091088530763776,This. Is. Tremendous. In review: Fergie’s All-Star anthem was trash. Her ex-husband Josh Duhamel went on social media and then television and said that because Draymond Green chuckled… https://www.instagram.com/p/BpbbpYylbRT/?utm_source=ig_twitter_share&amp;igshid=kjgyysim8wtk,dawsonink
2,2018-11-01 01:14:25+00:00,San Francisco,1057803010540093440,@klaythompson as Jackie Moon #DubNation #DoItBig . . . #goldenstate #kevindurant #thisiswhyweplay #anthonydavis #warriors #stephencurry #nba #boogiecousins #draymondgreen #kd… https://www.instagram.com/p/BpnmNFNAj24/?utm_source=ig_twitter_share&amp;igshid=1daw2gx8dtbj2,MikeandDrewShow
3,2018-11-09 05:03:05+00:00,San Francisco,1060759659659706368,Come on #GSWarriors let's kick some #Buck A$$#NBA #basketball #gswarriors #stephcurry #klaythompson #draymondgreen @San Francisco Bay Area https://www.instagram.com/p/Bp8m8KmBDcA/?utm_source=ig_twitter_share&amp;igshid=1xi5uvuprnyys,SF_Loop
4,2018-11-25 11:31:35+00:00,San Francisco,1066655633628372992,“A WEDGIE!” #DubNation #SacramentoProud . . . . #goldenstate #kevindurant #thisiswhyweplay #williecauleystein #warriors #stephencurry #nba #boogiecousins #draymondgreen #kd #stephcurry… https://www.instagram.com/p/BqmgXchAqE2/?utm_source=ig_twitter_share&amp;igshid=1d01ziwc8lx6h,MikeandDrewShow
5,2018-12-11 14:59:32+00:00,San Francisco,1072506173553811460,"The Bay is on ! Raiders, Niners, Sharks and Warriors all winners! Had a great time with Lori Gaspar enjoying the Draymond Green return. #Bayareasports @Oracle Arena and Oakland Alameda… https://www.instagram.com/p/BrQFMPsAYHz/?utm_source=ig_twitter_share&amp;igshid=lrirvlmi4cgk",rjacobs1920
6,2018-12-23 04:19:58+00:00,San Francisco,1076693875454963712,@luka7doncic yams the dunk over Jonas Jerebko #DubNation #MFFL . . . . #goldenstate #kevindurant #thisiswhyweplay #lukadoncic #warriors #stephencurry #nba #boogiecousins #draymondgreen… https://www.instagram.com/p/Brt1fA4gnVy/?utm_source=ig_twitter_share&amp;igshid=1oo9ul0x257ed,MikeandDrewShow
7,2018-12-25 02:54:15+00:00,San Francisco,1077397080195371008,"Today's terrible, horrible no good, very bad day culminated in meeting Draymond Green in the spice aisle while looking for onion powder. (at @Lucky in Oakland, CA)",ZoraToniMaya
8,2019-01-10 20:21:08+00:00,San Francisco,1083458741624885248,Tomorrow Night... Night 1! @money23green Draymond Green official DJ @djshabazz easymoneysniper official DJ @djkeilo @Hue_SF @hennessyus @moetusa globalnetworkingroup It's about to a movie.… https://www.instagram.com/p/Bsd52GCg2Kc/?utm_source=ig_twitter_share&amp;igshid=pqrgorottg2d,dreesyf
9,2019-01-19 03:55:17+00:00,Los Angeles,1086472134967336961,Welcome Back Boogie @boogiecousins #DubNation #ClipperNation . . . . #goldenstate #kevindurant #thisiswhyweplay #louwilliams #warriors #stephencurry #nba #boogiecousins #draymondgreen… https://www.instagram.com/p/BszUHjgAGBt/?utm_source=ig_twitter_share&amp;igshid=uz6zf84gn3rs,MikeandDrewShow
