,Date,Game Location,ID,Tweet,User
0,2018-10-23 06:36:49+00:00,San Francisco,1054622654370435072,KD! @Golden State Warriors Home Game https://www.instagram.com/p/BpRAtiWFRA4/?utm_source=ig_twitter_share&amp;igshid=1s7fi0e6mcsem,chris_santini
1,2018-10-23 06:47:21+00:00,San Francisco,1054625306215100417,KD! @Golden State Warriors Home Game https://www.instagram.com/p/BpRAtiWFRA4/?utm_source=ig_twitter_share&amp;igshid=161ll3h1brbry,chris_santini
2,2018-10-27 07:14:30+00:00,Brooklyn,1056081688596570112,Doesn’t look like KD is going anyway soon 41 points easily #DubNation #NewYorkForever . . . . #goldenstate #kevindurant #thisiswhyweplay #kristapsporzingis #warriors #stephencurry #nba… https://www.instagram.com/p/BpbXjcNA3bU/?utm_source=ig_twitter_share&amp;igshid=bl190fevs4ei,MikeandDrewShow
3,2018-10-27 07:18:00+00:00,Brooklyn,1056082570939695104,The Real Easy sniper by @stephencurry30 Doesn’t look like KD is going anyway soon 41 points easily #DubNation #NewYorkForever . . . . #goldenstate #kevindurant #thisiswhyweplay… https://www.instagram.com/p/BpbYZHNgYa5/?utm_source=ig_twitter_share&amp;igshid=g6v7ll6fuqhw,MikeandDrewShow
4,2018-10-31 22:12:55+00:00,San Francisco,1057757333231624192,Anyone already in line for the KD Bobblehead?,NikJamTheMan
5,2018-11-01 01:14:25+00:00,San Francisco,1057803010540093440,@klaythompson as Jackie Moon #DubNation #DoItBig . . . #goldenstate #kevindurant #thisiswhyweplay #anthonydavis #warriors #stephencurry #nba #boogiecousins #draymondgreen #kd… https://www.instagram.com/p/BpnmNFNAj24/?utm_source=ig_twitter_share&amp;igshid=1daw2gx8dtbj2,MikeandDrewShow
6,2018-11-01 19:36:25+00:00,San Francisco,1058080338843451392,Draymond to Klay back to Draymond to KD for a top of the arc 3! Nothing but the bottom of the net! #DubNation #WarriorsGround #StrengthInNumbers @Golden State Warriors Home Game https://www.instagram.com/p/BppkvksHJWQ/?utm_source=ig_twitter_share&amp;igshid=q80xw3bndjpa,EazleyEaz
7,2018-11-07 00:39:04+00:00,San Francisco,1059968442013442048,Figured I’d do the NorCal ting one time. Big Tourist Energy. Thought I could slap KD if i walked across but was informed this the wrong bridge for that. Town bidness tomorrow @Golden Gate… https://www.instagram.com/p/Bp2_sl4AagG/?utm_source=ig_twitter_share&amp;igshid=72ejlhto98re,NurzBenny
8,2018-11-09 01:26:28+00:00,San Francisco,1060705145196027904,"Gone be a good game tonight Bucks vs Warriors! Greek Freak and KD can go at it. (at @OracleArena in Oakland, CA)",510_Boss_Lady
9,2018-11-25 11:31:35+00:00,San Francisco,1066655633628372992,“A WEDGIE!” #DubNation #SacramentoProud . . . . #goldenstate #kevindurant #thisiswhyweplay #williecauleystein #warriors #stephencurry #nba #boogiecousins #draymondgreen #kd #stephcurry… https://www.instagram.com/p/BqmgXchAqE2/?utm_source=ig_twitter_share&amp;igshid=1d01ziwc8lx6h,MikeandDrewShow
