,Date,Game Location,ID,Tweet,User
0,2019-03-12 23:34:04+00:00,Houston,1105612953687080960,We’ll have more Klay x Quinn Cook on the YouTube channel later at https://youtube.com/letsgowarriors/videos Kerr just also announced KD will not play tomorrow due to the ankle contusion. – at Toyota Center,LetsGoWarriors
1,2019-03-19 00:48:48+00:00,San Francisco,1107806089968377857,Quinn Cook about time,ButcherBoy415
2,2019-03-19 00:49:35+00:00,San Francisco,1107806288648429570,I’ll take this aggressive quinn cook tho #dubs,lupinhero
3,2019-03-21 21:25:31+00:00,San Francisco,1108842096486539264,"Quinn Cook also apparently very deeply affected today (attached pic from IG story) by the tragic death of Dixon. Here's a link to an Instagram post from August 2014 where Cook nominated his ""brothers Bradley Beal, Ben McLemore and Cliff Dixon"": https://www.instagram.com/p/rppGpgOgTi/ – at Rakuten Performance Center",LetsGoWarriors
4,2019-03-22 01:40:26+00:00,San Francisco,1108906248546578432,Kerr pregame on KD (Durant) & Quinn Cook finding “refuge” in playing tonight (with the tragic death of close friend Cliff Dixon) More: https://youtu.be/-YuDllwCRRQ – at Warriors Courtside Club,LetsGoWarriors
5,2019-03-23 10:00:04+00:00,San Francisco,1109394373245050880,Quinn Cook: #goldenstatewwarriors reserve PG #quinncook is celebrating his 26th #birthday today and will look to play BIG minutes with #stephencurry &amp; #shaunlivingston not expected to… https://www.instagram.com/p/BvWMAq8lTle/?utm_source=ig_twitter_share&amp;igshid=fho13qe98jzm,DaRealDraftKing
6,2019-03-23 23:18:13+00:00,San Francisco,1109595234793488385,"Kerr pregame on Quinn Cook, Iguodala, Draymond on KD taking over ball-handling duties in the absence of both Steph Curry and Shaun Livingston: “Gotta be able to take care of the ball and get organized.” More on Steve Nash and Nowitzki: https://youtu.be/8Wp3R4XLqfQ – at Oracle Arena",LetsGoWarriors
7,2019-03-28 19:58:27+00:00,Minneapolis,1111356901332267008,I just gave Quinn Cook of the Golden State @warriors a Uber ride!! Go figure!! #uberlife #perksofthejob,UncleDrew87
8,2019-03-31 23:21:43+00:00,San Francisco,1112495214701084673,"In the locker room, Draymond Green is giving Quinn Cook a hard time about Michigan State beating Duke. He’s recording the exchange on IG Live",MarkG_Medina
9,2019-03-31 23:24:22+00:00,San Francisco,1112495883868758016,"After the MSU-Duke game, Draymond Green came in the lockerroom on his IG Live on and went straight for Quinn Cook saying, “It’s a beautiful day, ain’t it?!?”",loganmmurdock
10,2019-04-01 01:15:34+00:00,San Francisco,1112523867371634688,"Duke may have lost, but Quinn Cook still hitting three’s ",957thegame
11,2019-04-01 01:21:06+00:00,San Francisco,1112525258672660481,"Quinn Cook is having his best half of the season so far: 9 points, 3/3 from the field.",loganmmurdock
12,2019-04-01 01:24:15+00:00,San Francisco,1112526051312197632,Quinn Cook’s a perfect 3/3 from downtown ,957thegame
13,2019-04-01 01:26:56+00:00,San Francisco,1112526728868487168,2018 Quinn Cook is putting on a fabulous performance in the first half.,loganmmurdock
14,2019-04-01 01:28:45+00:00,San Francisco,1112527186563489794,QUINN COOK 5/5 FROM THE FIELD WITH 13 POINTS ,957thegame
15,2019-04-01 03:29:11+00:00,San Francisco,1112557494843269122,Steph Curry postgame on Nipsey Hussle. More including on Quinn Cook + revealing Stephen Jackson retro jersey underneath: https://youtu.be/np-ZhfgkP6Y – at Oracle Arena,LetsGoWarriors
16,2019-04-01 03:51:24+00:00,San Francisco,1112563084416057345,"Kerr postgame on how challenging Quinn Cook’s role is: “I told him, I used to play that role... More on Durant setting the tone with passing in Q1 and Klay’s strong start as compared to other starts: https://youtu.be/fzIWzW7NUrs – at Oracle Arena",LetsGoWarriors
17,2019-04-01 04:11:58+00:00,San Francisco,1112568262552748032,Quinn Cook with the recap when your team loses to Draymond’s team (@MSU_Basketball): “No highlights.” More on Kerr and KD: https://youtu.be/fsCLhSkB-mA – at Oracle Arena,LetsGoWarriors
18,2019-04-01 04:20:15+00:00,San Francisco,1112570346303975424,"Quinn Cook on what Kerr: “He cares about us, how we’re doing. Doesn’t matter how well we’re doing on the court. He cares about our lives outside of basketball, outside of the locker room...I want to have a career like he had.” More on Durant’s work ethic: https://youtu.be/fsCLhSkB-mA – at Oracle Arena",LetsGoWarriors
19,2019-04-01 18:32:42+00:00,San Francisco,1112784873276600320,Full Quinn Cook postgame: https://youtu.be/jdw5Tl0L7fc – at Oracle Arena,LetsGoWarriors
20,2019-04-01 18:58:28+00:00,San Francisco,1112791355107864576,Andre Iguodala did not practice today. Kevin Durant and Quinn Cook went to DC for funeral. Iguodala listed as questionable,MarkG_Medina
21,2019-04-01 19:00:09+00:00,San Francisco,1112791781194625024,Kevin Durant and Quinn Cook didn’t attend today’s practice as they traveled back East for the memorial service of Cliff Dixon. Both will be back in the Bay later today.,loganmmurdock
22,2019-04-01 19:31:41+00:00,San Francisco,1112799716436107264,"Kerr’s No. 1 Oracle moment: about a minute left in Game 5 of the 2015 WCF vs the Rockets when it was apparent the Warriors would make it to the #NBAFinals. (Also: Iguodala questionable, KD &amp; Quinn Cook flew to MD for Dixon funeral.) More on GSW fanbase: https://youtu.be/Y98BaS8f1v4 – at Rakuten Performance Center",LetsGoWarriors
23,2019-04-05 04:29:39+00:00,San Francisco,1114022261843877890,Quinn Cook has been playing well lately. Respect. ,957thegame
24,2019-04-06 03:23:21+00:00,San Francisco,1114367963950268417,Quinn Cook’s hot shot continues ,957thegame
25,2019-04-06 04:27:08+00:00,San Francisco,1114384016541503488,Quinn Cook in playoff mode ,957thegame
26,2019-04-08 21:45:56+00:00,New Orleans,1115370215926374400,I know alot people think that Tre’ Jones was a pro prospect but real talk he’s not athletic guy. He’s should model his game behind Quinn Cook or Nolan Smith. He made the best choice to return for his sophomore season,bfredjones
