,Date,Game Location,ID,Tweet,User
0,2018-10-14 07:17:45+00:00,San Francisco,1051371466950733829,When someone says the Green Giant is the best green character of all time #thehulk #sfgiants #marvel #marvelcharacters #marveluniverse #hulk #hulkmad #kevindurant #warriors #onlyinsf… https://www.instagram.com/p/Bo56PlsHRc4/?utm_source=ig_twitter_share&amp;igshid=4y6350g2priu,jpsfg
1,2018-10-14 16:06:56+00:00,San Francisco,1051504638854422529, Countdown to the 2018/19 NBA Season! Days #countdown #NBA #basketball #gswarriors #warriors #curry #legend #stephencurry #MVP #2 #newseason #2018 #2019 #lovethisgame… https://www.instagram.com/p/Bo62zB4lDvZ/?utm_source=ig_twitter_share&amp;igshid=17opxaas1tjzw,RodriguesPhelps
2,2018-10-14 16:19:39+00:00,San Francisco,1051507838437199872,[ BELIEVE in YOURSELF ] and believe you CAN!!! #happysunday #motivation #goals #renal #warrior #patient #patientjourney #kidneypatient #health #staystrong #weightloss… https://www.instagram.com/p/Bo64QIFgNrj/?utm_source=ig_twitter_share&amp;igshid=znpb6lj8bsho,Renalmate
3,2018-10-14 17:14:49+00:00,San Francisco,1051521722787213315,Candy gator so kleeeeen Steph tip toeing around that thang with trophy #60impala #ffcc #warriorsvictoryparade #dubnation #downtownoakland #candygator @Golden State Warriors Home Game https://www.instagram.com/p/Bj-CuGJgdmt/?utm_source=ig_twitter_share&amp;igshid=myfwndwec6ur,TONELOCTHIZZ
4,2018-10-14 17:15:35+00:00,San Francisco,1051521916543090688,Candy gator so kleeeeen Steph tip toeing around that thang with trophy #60impala #ffcc #warriorsvictoryparade #dubnation #downtownoakland #candygator @Golden State Warriors Home Game https://www.instagram.com/p/Bj-CuGJgdmt/?utm_source=ig_twitter_share&amp;igshid=qcxiitsa3u09,TONELOCTHIZZ
5,2018-10-14 17:15:38+00:00,San Francisco,1051521926164824065,Candy gator so kleeeeen Steph tip toeing around that thang with trophy #60impala #ffcc #warriorsvictoryparade #dubnation #downtownoakland #candygator @Golden State Warriors Home Game https://www.instagram.com/p/Bj-CuGJgdmt/?utm_source=ig_twitter_share&amp;igshid=1h7fseeddr5mr,TONELOCTHIZZ
6,2018-10-15 02:38:28+00:00,San Francisco,1051663569077579777,After my trip. #Repost @mattcampos with get_repost ・・・ Footage of me dancing behind my wife @joycemontejo last night at @Drake ‘s concert after I saw @kingjames @Golden State Warriors… https://www.instagram.com/p/Bo7-mvzBS-Y/?utm_source=ig_twitter_share&amp;igshid=1j63tm6sznee4,spooncvc
7,2018-10-15 07:50:22+00:00,San Francisco,1051742059290353664,(( )) Sending you a personalized video of me twerking when you donate $100 or more to the wounded warriors fund (Link in bio) Proceeds help build veterans new homes and also helps me… https://www.instagram.com/p/Bo8iXOCF7Np/?utm_source=ig_twitter_share&amp;igshid=jnnwt8vqgaah,goddessmichala
8,2018-10-21 02:06:28+00:00,San Francisco,1053829844658806785,"Stevie Love, Cliff, Phanso, and Warrior King putting in work at the Peter Tosh birthday celebration. • EyeRee Images for World A Reggae @warriorking9 cornerstoneberkeley cliffmanswell… https://www.instagram.com/p/BpLXhhqD-5V/?utm_source=ig_twitter_share&amp;igshid=2qstxisdo0r3",EyeReeImages
9,2018-10-22 05:41:25+00:00,San Francisco,1054246324156198913,Warrior King with some elevation for the crowd at the Peter Tosh birthday celebration. • • EyeRee Images for World A Reggae @warriorking9 cornerstoneberkeley #warriorking… https://www.instagram.com/p/BpOVkpeDuX2/?utm_source=ig_twitter_share&amp;igshid=b5qfedn80v1n,EyeReeImages
10,2018-10-22 05:54:00+00:00,San Francisco,1054249492101369856,"solstafir_official at the elbo room, rocking icelandic post-metal warrior ballads into our cold hearts @Elbo Room Jack London https://www.instagram.com/p/BpOXBH1HVWG/?utm_source=ig_twitter_share&amp;igshid=1j36bgl242vkm",ericcash
11,2018-10-22 05:57:00+00:00,San Francisco,1054250246644121601,Stevie Love in the groove backing Warrior King at the Friday celebration at Cornerstone. • • EyeRee Images for World A Reggae @warriorking9 cornerstoneberkeley #stevielove… https://www.instagram.com/p/BpOXW2TDSKv/?utm_source=ig_twitter_share&amp;igshid=om79naqonhrc,EyeReeImages
12,2018-10-22 10:14:08+00:00,San Francisco,1054314957586731008,We Know Who's King Around Here @Golden State Warriors Home Game https://www.instagram.com/p/BpO0yIplyTY/?utm_source=ig_twitter_share&amp;igshid=u1ucanwa8uuv,ChazzyGoo
13,2018-10-22 18:00:34+00:00,San Francisco,1054432340108283910,"Warrior toad done on a true warrior, Rich. Who got giant tattoo after giant tattoo all weekend. Thank you for your strength and endurance bro! Done at the crushing,… https://www.instagram.com/p/BpPqKVGnyTM/?utm_source=ig_twitter_share&amp;igshid=2g2uytxon29p",BEAUxBRADY
14,2018-10-22 20:46:42+00:00,San Francisco,1054474148909604865,"I’m sooo sleepy and I been here for awhile got like 10hrs to go (at @OracleArena for @Suns vs @warriors in Oakland, CA) https://www.swarmapp.com/c/fDjPbsSzMiI",510_Boss_Lady
15,2018-10-22 23:10:29+00:00,San Francisco,1054510332578852864,"It’s Monday, which means Mo is makin’ some white bean chicken chili for #PotluckMondays, @warriors are playing the @suns at 7:30pm, AND we’re in need of a quick #CoolerCheck. L-R:… https://www.instagram.com/p/BpQNodwFrrt/?utm_source=ig_twitter_share&amp;igshid=1gboe9d28nydl",TheGoodHop
16,2018-10-23 00:25:10+00:00,San Francisco,1054529128077000704,"Happy Monday folks! Fresh beer on tap, wings by the pound from longbridgepizza, monday_night_football, and the @warriors game! See you here at the tap room! Open until 9pm!… https://www.instagram.com/p/BpQWKhzFap6/?utm_source=ig_twitter_share&amp;igshid=wf1bjt5sfs80",HarmonicBrewing
17,2018-10-23 00:39:58+00:00,San Francisco,1054532850517721090,"Pre @warriors game dinner (@Dareye Cafe in Oakland, CA w/ @mbrianaepler) https://www.swarmapp.com/c/5bh5PuPuuda",waynesutton
18,2018-10-23 00:52:48+00:00,San Francisco,1054536079217491970,"Draymond. #goldenstatewarriors #goldenstate #warriors #dubnation #nbachamps #warriorsparade #nba @Oakland, California https://www.instagram.com/p/BpQZV4wh53S/?utm_source=ig_twitter_share&amp;igshid=1x7mltp29wc5p",dc408dxtr
19,2018-10-23 01:28:40+00:00,San Francisco,1054545105611194368,Here we go again! Let’s Go Dubs!! #replicaringnight #warriorsground #strengthinnumbers #Beatthesuns @Golden State Warriors Home Game https://www.instagram.com/p/BpQdcjtBiWGwqtrJjEWcYQ-BFVIQW1gsbOGDOc0/?utm_source=ig_twitter_share&amp;igshid=1a4pk1hrdpqq8,DBG3rd
20,2018-10-23 01:30:34+00:00,San Francisco,1054545582465765376,Replica ring night! #warriorsground #oraclearena #nba #igotaring #warriors #dubnation #vscooakland #oakland #gsw #photooftheday @Oracle Arena https://www.instagram.com/p/BpQdqj4HAYE/?utm_source=ig_twitter_share&amp;igshid=o4gkawzcbav7,jpsfg
21,2018-10-23 01:50:14+00:00,San Francisco,1054550531941646337,@stephencurry30 volleyball assist from moms #DubNation #TimeToRise . . . . #goldenstate #kevindurant #thisiswhyweplay #klay #warriors #stephencurry #nba #boogiecousins #draymondgreen… https://www.instagram.com/p/BpQfvXMgbN7/?utm_source=ig_twitter_share&amp;igshid=14rcq2ozod3tu,MikeandDrewShow
