,index,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes,Capacity,Attendance Ratio,Polarized Sentiment Ratio,Positive Sentiment Ratio,Negative Sentiment Ratio,At Home
0,1,2018-10-16 22:30:00+00:00,10:30p,Oklahoma City Thunder,100,Golden State Warriors,108,Box Score,,19596,,18064,1.0,0.6256410256410256,0.26666666666666666,0.358974358974359,Home
1,24,2018-10-19 22:30:00+00:00,10:30p,Golden State Warriors,124,Utah Jazz,123,Box Score,,18306,,18306,1.0,0.6621621621621622,0.22972972972972974,0.43243243243243246,Away
2,37,2018-10-21 20:00:00+00:00,8:00p,Golden State Warriors,98,Denver Nuggets,100,Box Score,,19520,,19520,1.0,0.6451612903225806,0.1935483870967742,0.45161290322580644,Away
3,46,2018-10-22 22:30:00+00:00,10:30p,Phoenix Suns,103,Golden State Warriors,123,Box Score,,19596,,18064,1.0,0.5714285714285714,0.17142857142857143,0.4,Home
4,61,2018-10-24 22:30:00+00:00,10:30p,Washington Wizards,122,Golden State Warriors,144,Box Score,,19596,,18064,1.0,0.725,0.325,0.4,Home
5,67,2018-10-26 19:30:00+00:00,7:30p,Golden State Warriors,128,New York Knicks,100,Box Score,,19812,,19812,1.0,0.6481481481481481,0.3148148148148148,0.3333333333333333,Away
6,82,2018-10-28 17:00:00+00:00,5:00p,Golden State Warriors,120,Brooklyn Nets,114,Box Score,,17732,,17732,1.0,0.56,0.3,0.26,Away
7,90,2018-10-29 20:00:00+00:00,8:00p,Golden State Warriors,149,Chicago Bulls,124,Box Score,,21076,,20917,1.0,0.5370370370370371,0.2962962962962963,0.24074074074074073,Away
8,107,2018-10-31 22:30:00+00:00,10:30p,New Orleans Pelicans,121,Golden State Warriors,131,Box Score,,19596,,18064,1.0,0.49056603773584906,0.24528301886792453,0.24528301886792453,Home
9,123,2018-11-02 22:30:00+00:00,10:30p,Minnesota Timberwolves,99,Golden State Warriors,116,Box Score,,19596,,18064,1.0,0.6730769230769231,0.3076923076923077,0.36538461538461536,Home
10,146,2018-11-05 22:30:00+00:00,10:30p,Memphis Grizzlies,101,Golden State Warriors,117,Box Score,,19596,,18064,1.0,0.62,0.38,0.24,Home
11,165,2018-11-08 22:30:00+00:00,10:30p,Milwaukee Bucks,134,Golden State Warriors,111,Box Score,,19596,,18064,1.0,0.6415094339622641,0.1509433962264151,0.49056603773584906,Home
12,179,2018-11-10 20:30:00+00:00,8:30p,Brooklyn Nets,100,Golden State Warriors,116,Box Score,,19596,,18064,1.0,0.4230769230769231,0.23076923076923078,0.19230769230769232,Home
13,197,2018-11-12 22:30:00+00:00,10:30p,Golden State Warriors,116,Los Angeles Clippers,121,Box Score,OT,19068,,19068,1.0,0.625,0.34375,0.28125,Away
14,200,2018-11-13 22:30:00+00:00,10:30p,Atlanta Hawks,103,Golden State Warriors,110,Box Score,,19596,,18064,1.0,0.6470588235294118,0.47058823529411764,0.17647058823529413,Home
15,212,2018-11-15 20:00:00+00:00,8:00p,Golden State Warriors,86,Houston Rockets,107,Box Score,,18055,,18055,1.0,0.5098039215686274,0.2549019607843137,0.2549019607843137,Away
16,231,2018-11-17 20:30:00+00:00,8:30p,Golden State Warriors,109,Dallas Mavericks,112,Box Score,,20260,,19200,1.0,0.5434782608695652,0.2826086956521739,0.2608695652173913,Away
17,237,2018-11-18 19:00:00+00:00,7:00p,Golden State Warriors,92,San Antonio Spurs,104,Box Score,,18354,,18418,0.9965251384515148,0.5714285714285714,0.14285714285714285,0.42857142857142855,Away
18,263,2018-11-21 22:30:00+00:00,10:30p,Oklahoma City Thunder,123,Golden State Warriors,95,Box Score,,19596,,18064,1.0,0.5833333333333334,0.2916666666666667,0.2916666666666667,Home
19,276,2018-11-23 22:30:00+00:00,10:30p,Portland Trail Blazers,97,Golden State Warriors,125,Box Score,,19596,,18064,1.0,0.5757575757575758,0.3939393939393939,0.18181818181818182,Home
20,283,2018-11-24 20:30:00+00:00,8:30p,Sacramento Kings,116,Golden State Warriors,117,Box Score,,19596,,18064,1.0,0.7857142857142857,0.35714285714285715,0.42857142857142855,Home
21,299,2018-11-26 22:30:00+00:00,10:30p,Orlando Magic,110,Golden State Warriors,116,Box Score,,19596,,18064,1.0,0.5806451612903226,0.2903225806451613,0.2903225806451613,Home
22,315,2018-11-29 20:00:00+00:00,8:00p,Golden State Warriors,128,Toronto Raptors,131,Box Score,OT,20073,,19800,1.0,0.5531914893617021,0.14893617021276595,0.40425531914893614,Away
23,330,2018-12-01 19:00:00+00:00,7:00p,Golden State Warriors,102,Detroit Pistons,111,Box Score,,20332,,20332,1.0,0.6444444444444445,0.3111111111111111,0.3333333333333333,Away
24,343,2018-12-03 19:30:00+00:00,7:30p,Golden State Warriors,128,Atlanta Hawks,111,Box Score,,16631,,18118,0.9179269235014902,0.4482758620689655,0.20689655172413793,0.2413793103448276,Away
25,354,2018-12-05 19:00:00+00:00,7:00p,Golden State Warriors,129,Cleveland Cavaliers,105,Box Score,,19432,,19432,1.0,0.5945945945945946,0.40540540540540543,0.1891891891891892,Away
